Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741979716.3308108,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scienceqa,2.0,4,15,46,6.710610389709473
1741979718.2217996,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,2.0,4,57,666,8.668571710586548
1741979718.983979,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,69,555,8.537129640579224
1741979724.5478995,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,23,218,3.4684243202209473
1741979718.1208696,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,241,80,12.848148107528687
1741979717.096722,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,193,34,15.931774377822876
1741979724.152643,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,180,76,8.937091588973999
1741979717.089575,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,66,288,16.83667755126953
1741979716.0357735,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,39,305,18.096346616744995
1741979729.347236,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,guanaco,2.0,4,22,95,5.7928972244262695
1741979721.0347438,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,241,789,14.37419843673706
1741979719.4940212,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,244,113,16.893313884735107
1741979729.8018692,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,199,131,7.552386283874512
1741979734.303206,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,13,188,4.032202243804932
1741979726.8935268,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,2.0,4,108,509,12.961625814437866
1741979736.8726156,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,19,181,3.703127145767212
1741979727.449034,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,2.0,4,60,408,17.41260075569153
1741979736.109896,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,56,428,9.042181730270386
1741979741.406644,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,25,245,6.443846940994263
1741979734.3205068,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,181,73,13.732355833053589
1741979738.9358757,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,191,104,9.399842023849487
1741979739.1553924,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,221,196,9.396277666091919
1741979732.7178423,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,165,34,17.812095403671265
1741979733.5471265,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,144,735,17.432936429977417
1741979741.668377,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,65,336,11.87568187713623
1741979727.6891065,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,181,44,27.2251615524292
1741979729.9600723,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,78,347,26.330349445343018
1741979729.965264,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,43,233,29.294538021087646
1741979723.7758856,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,56,244,36.69507050514221
1741979744.5616705,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,30,586,26.16141390800476
1741979743.6202705,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,244,133,28.099783897399902
1741979729.2873259,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,61,529,43.80467104911804
1741979745.6321387,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,81,294,29.793423652648926
1741979741.3633218,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,36,291,36.68680930137634
1741979747.7924647,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,188,60,31.99205446243286
1741979746.0988896,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,28,221,42.228524923324585
1741979749.5678928,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,21,567,42.341052770614624
1741979746.3285723,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,36,642,47.519306898117065
1741979749.2062714,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,32,266,44.76996636390686
1741979751.257727,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scienceqa,2.0,4,47,54,44.11402726173401
1741979750.2437787,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,43,279,45.18935990333557
1741979724.1137288,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,59,494,74.98165774345398
1741979717.549389,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,51,173,83.60716652870178
1741979741.6688411,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,70,481,60.57599973678589
1741979741.5719125,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,2.0,4,119,156,61.21942090988159
1741979752.311051,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,2.0,4,46,452,51.53305149078369
1741979752.5284572,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,185,103,54.14698028564453
1741979753.4297764,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,52,428,53.3736515045166
1741979745.0098438,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,50,642,65.93482398986816
1741979756.034556,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scienceqa,2.0,4,20,111,55.3186674118042
1741979716.5403452,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,199,554,99.5005555152893
1741979756.66027,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,2.0,4,137,52,59.648752212524414
1741979735.4493294,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,2.0,4,42,518,81.51647424697876
1741979735.4576476,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,leetcode_ne,2.0,4,553,741,82.69425797462463
