config_id,status,reason,n_mix,seed,device,best_epoch,best_val_nll,final_train_nll,final_val_nll,final_mean_sigma,final_mean_alpha,num_train_traces,num_val_traces,num_test_traces,checkpoint_path,curve_path,norm_params_path
deepseek-r1-distill-70b_A100_tp4,trained,,1,42,cuda,400,-0.49413638313611347,-0.34913944051815915,-0.4838416824738185,0.22653905875407732,0.5890190738898057,13,3,2,results/continuous_v1/checkpoints/deepseek-r1-distill-70b_A100_tp4_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-70b_A100_tp4_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-70b_A100_tp4.json
deepseek-r1-distill-70b_A100_tp8,trained,,1,42,cuda,280,-0.8752756267786026,-0.7890235744416714,-0.8542042002081871,0.20384905518343052,0.36833581949273747,12,3,2,results/continuous_v1/checkpoints/deepseek-r1-distill-70b_A100_tp8_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-70b_A100_tp8_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-70b_A100_tp8.json
deepseek-r1-distill-70b_H100_tp4,trained,,1,42,cuda,135,-0.9189873933792114,-1.1054973375229609,-0.7995463833212852,0.10625360906124115,0.04338625321785609,21,4,5,results/continuous_v1/checkpoints/deepseek-r1-distill-70b_H100_tp4_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-70b_H100_tp4_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-70b_H100_tp4.json
deepseek-r1-distill-70b_H100_tp8,trained,,1,42,cuda,317,-2.0989412665367126,-1.8083511136827015,-2.0888115763664246,0.06602801826028597,0.0526023968344643,21,4,5,results/continuous_v1/checkpoints/deepseek-r1-distill-70b_H100_tp8_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-70b_H100_tp8_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-70b_H100_tp8.json
deepseek-r1-distill-8b_A100_tp1,trained,,1,42,cuda,109,0.1299781252940496,0.037789564048095296,0.9622425163785616,0.33721882800261177,0.46426551043987274,15,3,4,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_A100_tp1_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_A100_tp1_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_A100_tp1.json
deepseek-r1-distill-8b_A100_tp2,trained,,1,42,cuda,145,0.5040865242481232,-0.28763325268832535,1.1192063291867573,0.28443219455388874,0.4201727028076465,13,3,2,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_A100_tp2_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_A100_tp2_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_A100_tp2.json
deepseek-r1-distill-8b_A100_tp4,trained,,1,42,cuda,303,-0.3621841271718343,-0.5749319476576952,-0.13465709487597147,0.26410724566533017,0.32295547597683394,13,3,2,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_A100_tp4_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_A100_tp4_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_A100_tp4.json
deepseek-r1-distill-8b_A100_tp8,trained,,1,42,cuda,66,-0.08495648205280304,0.0011591370302167807,0.5917934738099575,0.3524749929254705,0.15564387291669846,11,2,3,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_A100_tp8_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_A100_tp8_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_A100_tp8.json
deepseek-r1-distill-8b_H100_tp1,trained,,1,42,cuda,126,-0.473432719707489,-0.8380636005174547,-0.4064386263489723,0.14381395493234908,0.1356499537470795,21,4,5,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_H100_tp1_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_H100_tp1_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_H100_tp1.json
deepseek-r1-distill-8b_H100_tp2,trained,,1,42,cuda,124,-0.7573264241218567,-0.8688866609618777,-0.31026789266616106,0.13482152635142916,0.17613569185847328,21,4,5,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_H100_tp2_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_H100_tp2_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_H100_tp2.json
