timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784422669.5493882,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422669.804466,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422670.0587456,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422670.3120883,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422670.5655327,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422670.81883,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422671.0722585,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422671.3263478,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422671.5795822,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422671.8328376,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422672.0861754,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422672.3395772,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422672.5931458,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422672.8469036,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422673.100632,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422673.3541815,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422673.6076975,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422673.8611023,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422674.114816,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422674.3685117,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422674.6220903,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422674.8757133,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422675.129392,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422675.3827856,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422675.636628,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422675.8898046,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422676.1429667,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422676.3965054,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422676.650108,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422676.9032245,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422677.156269,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422677.4093342,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422677.662929,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422677.916379,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422678.1695716,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422678.423125,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422678.6767473,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422678.9298728,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
