timestamp_s,tokens_out
0.0,16348.0
15.0,53039.0
30.0,55219.0
45.0,56966.0
60.0,60537.00000000009
75.0,58080.999999999374
90.0,58709.00000000043
105.0,57543.00000000071
120.0,63128.99999999938
135.0,51819.0
150.0,57437.0
165.0,53933.999999999985
180.0,53588.99999999959
195.0,60957.00000000042
210.0,49639.0000000001
225.0,59247.99999999923
240.0,48282.00000000072
255.0,53444.00000000019
270.0,56541.99999999681
285.0,54404.00000000124
300.0,63500.00000000182
315.0,52811.999999998356
330.0,52687.00000000155
345.0,56796.000000000335
360.0,60990.999999999665
375.0,62687.99999999993
390.0,59984.000000000015
405.0,49272.99999999963
420.0,61962.00000000131
435.0,54270.99999999912
450.0,52685.0
465.0,56275.00000000006
480.0,56947.00000000202
495.0,61769.99999999808
510.0,49192.99999999984
525.0,50695.00000000019
540.0,56722.00000000026
555.0,60783.99999999959
570.0,61503.999999999905
585.0,60672.00000000011
600.0,61892.00000000003
615.0,52002.00000000021
630.0,55254.99999999974
645.0,57981.00000000007
660.0,58466.00000000003
675.0,53061.999999994434
690.0,57986.00000000601
705.0,53680.99999999939
720.0,55238.99999999718
735.0,52340.00000000295
750.0,57146.000000000255
765.0,59733.99999999976
780.0,64744.99999999999
795.0,58053.999999999985
810.0,56999.999999999956
825.0,58765.99999999981
840.0,52249.00000000011
855.0,57546.000000000575
870.0,53368.999999995794
885.0,48625.000000003696
900.0,53531.00000000008
915.0,58040.00000000007
930.0,54295.999999999825
945.0,59046.00000000062
960.0,49606.99999999949
975.0,60273.9999999999
990.0,58414.00000000003
1005.0,46029.00000000023
1020.0,56712.00000000004
1035.0,51322.999999999935
1050.0,58248.00000000151
1065.0,44407.99999999888
1080.0,51076.999999999316
1095.0,58077.00000000022
1110.0,55404.000000000175
1125.0,65432.99999999966
1140.0,58047.00000000002
1155.0,52562.000000003725
1170.0,53706.99999999622
1185.0,55685.000000000095
1200.0,48959.00000000152
1215.0,57535.99999999884
1230.0,56972.999999999556
1245.0,54282.00000000003
1260.0,53995.99999999904
1275.0,59802.0000000014
1290.0,54043.99999999955
1305.0,54684.000000000124
1320.0,55460.99999999835
1335.0,54512.00000000151
