timestamp_s,tokens_out
0.0,14029.0
15.0,58597.0
30.0,55406.0
45.0,50549.00000000001
60.0,52957.000000000015
75.0,66548.99999999997
90.0,62333.0
105.0,60726.00000000002
120.0,58909.99999999994
135.0,59300.00000000006
150.0,51971.00000000001
165.0,59598.99999999994
180.0,53505.000000000095
195.0,60372.999999999905
210.0,65966.00000000004
225.0,59622.00000000002
240.0,56421.999999999985
255.0,62318.99999999997
270.0,49832.99999999995
285.0,54305.00000000006
300.0,56511.99999999997
315.0,58962.00000000012
330.0,57024.99999999993
345.0,58321.999999999956
360.0,54057.00000000009
375.0,54143.99999999983
390.0,53316.00000000028
405.0,57114.99999999987
420.0,56086.999999999985
435.0,57019.99999999994
450.0,55383.000000000335
465.0,64327.99999999965
480.0,58853.000000000015
495.0,56318.00000000017
510.0,60063.99999999981
525.0,60330.00000000012
540.0,61066.999999999956
555.0,62524.99999999991
570.0,49173.000000000146
585.0,64437.99999999997
600.0,52158.00000000014
615.0,59219.9999999999
630.0,60278.99999999984
645.0,59190.999999999956
660.0,54305.00000000026
675.0,62608.99999999951
690.0,58812.00000000042
705.0,62835.999999999876
720.0,55933.00000000013
735.0,59804.999999999825
750.0,59110.00000000031
765.0,54402.999999999796
780.0,54222.99999999991
795.0,63913.000000000204
810.0,58578.000000000146
825.0,55656.00000000018
840.0,61882.99999999963
855.0,56349.99999999989
870.0,49952.000000000015
885.0,55430.99999999995
900.0,46761.000000000466
915.0,58413.99999999965
930.0,64274.00000000006
945.0,53961.999999999854
960.0,61241.000000000095
975.0,53342.99999999994
990.0,53715.99999999996
1005.0,53510.999999999985
1020.0,59410.00000000003
1035.0,59822.99999999997
1050.0,62912.00000000013
1065.0,61245.99999999992
1080.0,58147.00000000034
1095.0,57694.999999999774
1110.0,62167.0
1125.0,55606.99999999949
1140.0,55114.00000000026
1155.0,61454.00000000023
1170.0,59419.99999999995
1185.0,56282.99999999886
1200.0,57323.0000000012
1215.0,58490.000000000306
1230.0,54150.99999999983
1245.0,55214.99999999994
1260.0,51376.999999999854
1275.0,53952.99999999992
1290.0,53912.000000000095
1305.0,63825.999999999854
1320.0,59115.00000000035
1335.0,55857.99999999979
1350.0,54587.99999999967
1365.0,50960.00000000025
1380.0,57911.00000000005
