timestamp_s,tokens_in
0.0,65132.0
15.0,232120.0
30.0,239244.0
45.0,254742.99999999997
60.0,247352.00000000006
75.0,252372.99999999997
90.0,271056.0
105.0,271651.0
120.0,245346.99999999985
135.0,236763.00000000032
150.0,254227.00000000012
165.0,242836.99999999974
180.0,265501.99999999994
195.0,253946.00000000006
210.0,242725.00000000006
225.0,270698.9999999998
240.0,225138.00000000012
255.0,274757.00000000023
270.0,240929.99999999965
285.0,237146.00000000023
300.0,241937.99999999974
315.0,256596.00000000006
330.0,225665.00000000006
345.0,219924.0
360.0,250289.00000000012
375.0,242581.00000000015
390.0,250500.99999999974
405.0,243861.9999999997
420.0,276247.0000000001
435.0,272051.9999999998
450.0,225779.0000000007
465.0,240159.99999999924
480.0,236615.00000000026
495.0,227131.99999999994
510.0,253554.00000000006
525.0,226067.0000000019
540.0,231384.99999999837
555.0,246681.0
570.0,242309.99999999886
585.0,227190.00000000146
600.0,232212.99999999983
615.0,233705.99999999884
630.0,272605.0000000004
645.0,222257.99999999953
660.0,260628.00000000157
675.0,276666.9999999983
690.0,226218.00000000166
705.0,257271.9999999994
720.0,245614.99999999988
735.0,233819.99999999895
750.0,243524.00000000081
765.0,238306.9999999998
780.0,214640.0000000004
795.0,235208.9999999998
810.0,241573.99999999945
825.0,245493.00000000052
840.0,258750.99999999977
855.0,239080.99999999936
870.0,231202.00000000116
885.0,259785.00000000212
900.0,264015.99999999756
915.0,253060.99999999994
930.0,231421.00000000032
945.0,212152.99999999948
960.0,234091.0000000002
975.0,216364.00000000026
990.0,260245.99999999962
1005.0,235247.00000000015
1020.0,235107.000000001
1035.0,227539.99999999904
1050.0,230801.00000000134
1065.0,266408.9999999994
1080.0,233896.99999999919
1095.0,241813.99999999965
1110.0,243624.99999999953
1125.0,224726.99999999962
1140.0,213506.00000000215
1155.0,218192.9999999995
1170.0,209683.99999999886
1185.0,217909.99999999988
1200.0,241378.00000000047
1215.0,243771.0000000001
1230.0,230897.00000000052
1245.0,245965.000000001
1260.0,253139.9999999985
1275.0,240018.99999999985
1290.0,225063.00000000178
1305.0,243395.99999999892
1320.0,230053.99999999822
1335.0,262175.00000000175
1350.0,216075.99999999846
1365.0,261222.00000000154
1380.0,215898.00000000012
1395.0,264675.9999999973
1410.0,222333.00000000378
1425.0,239719.99999999892
1440.0,230121.99999999904
1455.0,270081.9999999991
1470.0,262595.00000000093
1485.0,238727.9999999997
1500.0,229490.00000000323
1515.0,239144.99999999726
1530.0,218220.99999999852
1545.0,250800.00000000288
1560.0,241830.99999999936
1575.0,244246.99999999898
1590.0,245298.0000000017
1605.0,230228.99999999945
1620.0,243162.9999999992
1635.0,229102.00000000052
1650.0,237553.99999999942
1665.0,223183.0
1680.0,245317.0000000011
1695.0,221691.99999999913
1710.0,210598.99999999884
