timestamp_s,tokens_out
0.0,15062.0
15.0,55223.0
30.0,55060.0
45.0,62983.0
60.0,58322.99999999999
75.0,57624.99999999999
90.0,51544.000000000015
105.0,64108.999999999985
120.0,61063.99999999992
135.0,65951.00000000003
150.0,54296.00000000007
165.0,51998.00000000001
180.0,55296.99999999994
195.0,55958.00000000009
210.0,51895.999999999985
225.0,54099.00000000058
240.0,57221.9999999994
255.0,59663.99999999998
270.0,57360.999999999956
285.0,59245.00000000003
300.0,59549.99999999993
315.0,53730.00000000006
330.0,58991.000000000095
345.0,55442.999999999854
360.0,57974.00000000001
375.0,53214.000000000175
390.0,56777.99999999996
405.0,55963.999999999956
420.0,57769.00000000002
435.0,58847.99999999991
450.0,52302.00000000009
465.0,63161.9999999999
480.0,51970.00000000012
495.0,54855.0
510.0,58100.000000000015
525.0,54702.99999999979
540.0,59717.00000000047
555.0,56199.999999999825
570.0,60242.999999999774
585.0,64040.000000000044
600.0,60207.99999999994
615.0,50634.00000000031
630.0,54184.999999999796
645.0,55223.999999999985
660.0,55020.00000000007
675.0,58994.999999999956
690.0,57948.99999999988
705.0,52400.00000000014
720.0,54613.0
735.0,57404.99999999965
750.0,59779.00000000061
765.0,57599.99999999972
780.0,48516.00000000004
795.0,49332.99999999994
810.0,57831.00000000002
825.0,57205.0000000001
840.0,58741.999999999876
855.0,57430.00000000002
870.0,53331.999999999935
885.0,56559.00000000003
900.0,55126.000000000415
915.0,57097.99999999967
930.0,60218.99999999998
945.0,62758.999999999905
960.0,54094.0000000014
975.0,60695.99999999866
990.0,52433.999999999935
1005.0,52583.00000000011
1020.0,53468.00000000008
1035.0,56210.999999999854
1050.0,58260.99999999988
1065.0,58172.99999999981
1080.0,62982.00000000064
1095.0,57629.99999999954
1110.0,60362.00000000008
1125.0,52401.00000000005
1140.0,51929.99999999976
1155.0,58283.000000000626
1170.0,58560.99999999926
1185.0,56050.00000000012
1200.0,49915.00000000029
1215.0,51655.99999999995
1230.0,52848.9999999999
1245.0,53809.000000000575
1260.0,55554.999999999585
1275.0,59256.999999999956
1290.0,50370.999999999876
1305.0,63283.99999999998
1320.0,60055.00000000601
1335.0,56679.999999993444
1350.0,61040.000000001004
1365.0,60159.999999999665
1380.0,62378.00000000012
1395.0,64041.99999999973
1410.0,60022.00000000016
1425.0,60179.00000000033
1440.0,52354.00000000134
1455.0,59789.999999998145
1470.0,54258.0000000002
1485.0,57356.99999999939
1500.0,49758.000000001215
1515.0,53462.99999999943
1530.0,56040.00000000022
1545.0,55461.99999999964
1560.0,53752.00000000004
1575.0,57566.00000000053
1590.0,56276.99999999955
1605.0,52414.0000000003
1620.0,63457.99999999933
1635.0,53012.00000000413
1650.0,61044.999999996435
1665.0,59158.999999999985
1680.0,60456.99999999986
1695.0,59544.99999999998
1710.0,52914.99999999989
1725.0,54102.0000000003
1740.0,54011.99999999973
1755.0,55323.000000009015
1770.0,55401.99999999158
