timestamp_s,watts
0.0,165319.89438456274
15.0,269759.95031635126
30.0,276827.3079063026
45.0,253846.27117275007
60.0,238507.45012368003
75.0,230007.58518198688
90.0,251290.3297876542
105.0,242562.65715619567
120.0,242861.88158484726
135.0,251423.11833167766
150.0,237214.9809875996
165.0,248104.91181693063
180.0,245637.2098264122
195.0,242850.93844955886
210.0,239984.99228865217
225.0,228638.1337800171
240.0,244052.71156754237
255.0,241521.11502183822
270.0,245443.62204089112
285.0,254060.28798006815
300.0,239962.46197629927
315.0,235688.0180105335
330.0,245652.60963521877
345.0,245488.20249061837
360.0,258239.89579319992
375.0,245462.4730154591
390.0,238497.77619554754
405.0,241196.7762687541
420.0,245502.2942345626
435.0,242829.38224982718
450.0,245464.79213329576
465.0,242637.0078755178
480.0,244312.82604407347
495.0,244100.55416134564
510.0,246989.99810408283
525.0,241220.0202242732
540.0,232972.73166898117
555.0,238482.29166791376
570.0,249609.3569006927
585.0,249971.42937604515
600.0,241267.31777831475
615.0,240144.80045759134
630.0,248662.2794097648
645.0,248548.69711323554
660.0,242629.3345934305
675.0,248549.08912943114
690.0,241307.3982841838
705.0,254098.06152553292
720.0,240258.93684024288
735.0,235765.85168687097
750.0,235673.46985872625
765.0,238324.81855836406
780.0,255284.29346587532
795.0,244028.2677651849
810.0,239865.6056826313
825.0,253927.31393504713
840.0,245319.48362708712
855.0,242719.16586344253
870.0,252517.78729011057
885.0,242734.30202202004
900.0,245439.66353961092
915.0,239801.46311346153
930.0,238630.71645585442
945.0,252783.2984989909
960.0,241255.9735347928
975.0,244366.6833178911
990.0,242607.69508496934
1005.0,244174.9362674399
1020.0,227412.76058439535
1035.0,231384.64932394642
1050.0,250107.20155285235
1065.0,238689.66299959365
1080.0,245544.63582801286
1095.0,231499.49411490085
1110.0,248308.21360257783
1125.0,237058.73482188972
1140.0,239985.70386262977
1155.0,242745.49696199724
1170.0,248134.73662820453
1185.0,243174.9239977482
1200.0,242617.01775154608
1215.0,237003.2258473591
1230.0,242753.8231837881
1245.0,248325.1520387503
1260.0,247055.47643073538
1275.0,239833.27298880255
1290.0,245696.89814431863
1305.0,239965.0803456201
1320.0,248540.93343299828
1335.0,253958.14687218762
1350.0,249662.37563673232
1365.0,241165.72209686402
1380.0,242560.6755114315
1395.0,245306.38543859814
1410.0,251156.64662497945
1425.0,237246.45948311646
1440.0,238571.04148658778
1455.0,248133.903038736
1470.0,231757.64863012932
1485.0,250020.8197954746
1500.0,231525.20157998326
1515.0,232957.26235114122
1530.0,246744.71243426806
1545.0,242777.33259829282
1560.0,224396.74261060727
1575.0,258148.90931084027
1590.0,245398.62143581716
1605.0,248354.42788756546
1620.0,238668.93497019823
1635.0,252297.6137933699
1650.0,248496.6543086174
1665.0,239780.84807765458
1680.0,252360.2085420378
1695.0,239947.34390070708
1710.0,244160.7099648692
1725.0,241489.35723379898
1740.0,234340.82363669903
1755.0,250033.39439151934
1770.0,241346.29024131148
1785.0,241403.5703793212
1800.0,232659.1187557441
1815.0,238474.83645301228
1830.0,240051.58114277766
1845.0,245584.0951246339
1860.0,232638.10528557067
1875.0,241484.62030336977
1890.0,234193.42613184036
1905.0,235623.44406378517
1920.0,237021.39066373435
1935.0,246775.9167854922
1950.0,251289.2838793446
1965.0,247082.76736915257
1980.0,238658.28959717
1995.0,237149.46266825934
2010.0,251105.84308948732
2025.0,231273.13168111388
2040.0,246811.20822842268
2055.0,231818.20765987848
2070.0,249807.02544419013
2085.0,239831.12160034917
2100.0,242910.29960864663
2115.0,246690.18835058025
2130.0,248435.17746270107
2145.0,238350.54388390738
2160.0,241372.72124156557
2175.0,248247.98627010582
2190.0,242754.32280495472
2205.0,235620.5104191327
2220.0,232783.80614713408
2235.0,244258.11578473618
2250.0,235886.21626309067
2265.0,248353.55669217472
2280.0,225682.99724890926
2295.0,242568.54014766234
2310.0,239762.46369859792
2325.0,234234.90499383796
2340.0,246841.47397034586
2355.0,235774.9687416617
2370.0,239928.7961012331
2385.0,234254.45941833704
2400.0,241443.58301833068
2415.0,242831.83463071584
2430.0,247204.94066467384
2445.0,235772.90682521596
2460.0,244199.7047578228
2475.0,233023.4375384127
2490.0,249680.9227951141
2505.0,241294.99965380502
2520.0,237299.16908817235
2535.0,243975.3359790064
2550.0,239763.17815143164
2565.0,241330.6505841242
2580.0,238353.49084955623
2595.0,239742.79263467382
2610.0,229945.16645342502
2625.0,247047.34199052028
2640.0,252296.49852106566
2655.0,241525.27750343454
2670.0,249702.7465847269
2685.0,246938.13856531226
2700.0,242799.99370203004
2715.0,245595.7822631186
2730.0,244042.2366417824
2745.0,241182.13200000743
2760.0,238845.08951301116
2775.0,253820.27461589314
2790.0,232682.4047578677
2805.0,248327.27734682252
2820.0,249794.38368412384
2835.0,231617.08938869735
2850.0,246833.75190645448
2865.0,242878.4836835211
2880.0,245771.26072616133
2895.0,256578.80135535955
2910.0,242772.64535861305
2925.0,239974.82910155877
2940.0,242407.35544729768
2955.0,252616.63433294324
2970.0,235889.44841219095
2985.0,231625.71578611108
3000.0,241308.67891046673
3015.0,248303.9385542404
3030.0,237203.8276829356
3045.0,249630.56054573512
3060.0,242947.24855236275
3075.0,239940.52943219626
3090.0,235592.50570110028
3105.0,244077.48648086228
3120.0,236961.66017796315
3135.0,250765.23551827716
3150.0,235539.6557993945
3165.0,230335.8452611974
3180.0,227233.84851446326
3195.0,232753.2058226712
3210.0,251094.87593229552
3225.0,231463.31856565623
3240.0,234311.31176561292
3255.0,243846.02394627384
3270.0,244014.4087530691
3285.0,241127.48898198138
3300.0,232803.18741190262
3315.0,242365.64369134489
3330.0,235441.7079801642
3345.0,234153.25690724928
3360.0,252603.36973059675
3375.0,253956.8899559555
3390.0,246799.8883502578
3405.0,231528.6147843758
3420.0,230002.02038381805
3435.0,242734.62209751387
3450.0,237255.8715952677
3465.0,251139.9578333381
3480.0,236021.2096003065
3495.0,248445.19713034714
3510.0,232766.4918381544
3525.0,247369.3885166857
3540.0,232932.17062600906
3555.0,248574.83903658722
3570.0,237027.230896458
3585.0,245503.52839983368
3600.0,240273.80832771305
3615.0,241501.64983060615
3630.0,235577.200861099
3645.0,243940.043264349
3660.0,244339.84576787153
3675.0,245404.6864028229
3690.0,249646.21749945031
3705.0,242643.46797082576
3720.0,248490.00153456203
3735.0,239640.9214765269
3750.0,247097.62832192375
3765.0,234163.8297112991
3780.0,248452.03041275791
3795.0,237223.73283608182
3810.0,244066.51390166144
3825.0,238694.3121670749
3840.0,232993.46845810502
3855.0,249862.97067710836
3870.0,237027.83119709624
3885.0,234435.655391216
3900.0,242531.6255950831
3915.0,239828.76513708557
3930.0,230076.4826094916
3945.0,235808.125143425
3960.0,242914.65506340965
3975.0,241526.09573620887
3990.0,239909.24692234703
4005.0,249786.12314938303
4020.0,234386.47759831516
4035.0,235455.12884562608
4050.0,239816.7991390725
4065.0,247060.26403867677
4080.0,251375.23785235727
4095.0,241545.86961402535
4110.0,229907.20091266432
4125.0,252694.36611816473
4140.0,239842.0470040742
4155.0,239726.04693031547
4170.0,238493.20687840862
4185.0,249886.91935272983
4200.0,256691.4657265589
4215.0,240230.91936465303
4230.0,244167.06158259296
4245.0,234412.90874172846
4260.0,237173.71205206218
4275.0,252556.2345037279
4290.0,242330.1923894094
4305.0,249743.9060193531
4320.0,242693.3043998125
