Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741896902.8381352,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,76,360,3.097428798675537
1741896905.9190044,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.25,2,195,455,3.9277303218841553
1741896909.2869968,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,32,258,2.26702880859375
1741896911.1186295,meta-llama/Llama-3.1-8B-Instruct,theoremqa,0.25,2,526,767,6.668074369430542
1741896915.1606393,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,42,823,7.169093132019043
1741896920.1376047,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,77,230,2.0302114486694336
1741896922.1817625,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.25,2,271,460,4.04501748085022
1741896922.9839964,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,22,117,1.0668556690216064
1741896923.4417124,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,27,298,2.6227428913116455
1741896929.7660341,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,71,4454,38.96061444282532
1741896930.7046525,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.25,2,21,370,3.275979518890381
1741896932.735101,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.25,2,41,71,0.6474382877349854
1741896933.839917,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,75,365,3.2293879985809326
1741896934.8184912,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,25,290,2.564786195755005
1741896942.7073092,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.25,2,25,46,0.4274570941925049
1741896944.3995802,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,29,116,1.0509991645812988
1741896957.7500167,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.25,2,82,666,5.945314645767212
1741896968.2575984,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,196,223,1.9852313995361328
1741896968.944605,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,182,104,0.9329061508178711
1741896973.8814955,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,63,308,2.6614861488342285
1741896980.1878107,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,211,199,1.798954725265503
1741896980.7876923,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,28,2963,26.312617540359497
1741896981.8339899,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.25,2,26,82,0.7404294013977051
1741896983.5808785,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.25,2,46,5280,47.05809497833252
1741896983.7272778,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,210,295,2.6075313091278076
1741896997.5175304,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.25,2,261,647,5.916592597961426
1741896998.1444743,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,50,311,2.8947949409484863
1741896998.2533884,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,173,175,1.6462657451629639
1741897003.8394608,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.25,2,699,414,3.762831211090088
1741897011.4441376,meta-llama/Llama-3.1-8B-Instruct,scienceqa,0.25,2,64,116,1.0654990673065186
1741897014.7118793,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,66,440,4.0100274085998535
1741897015.0871744,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,83,484,4.410780668258667
1741897019.0674112,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,181,199,1.804893970489502
1741897024.087799,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,67,943,8.550946235656738
1741897024.8408334,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,14,6068,53.87276911735535
1741897033.8457487,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,186,127,1.1371002197265625
1741897038.4536176,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,35,285,2.5220112800598145
1741897051.7158158,meta-llama/Llama-3.1-8B-Instruct,guanaco,0.25,2,810,526,4.803333520889282
1741897052.0054202,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,68,550,4.975224733352661
1741897066.4204109,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,0.25,2,557,492,4.4738805294036865
1741897069.8932378,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,26,217,2.0353078842163086
1741897070.4900677,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,113,478,4.3323609828948975
1741897075.9421453,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,44,348,3.1812946796417236
1741897077.1787279,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,29,165,1.5508408546447754
1741897080.8759363,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,18,285,2.4519660472869873
1741897098.5440936,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,25,98,0.8835797309875488
1741897100.1932805,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,22,285,2.4455924034118652
1741897103.1372125,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,162,156,1.3758609294891357
1741897104.0023632,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,188,200,1.7453117370605469
1741897108.666933,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,40,196,1.7395811080932617
1741897109.9045901,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,83,338,3.0228099822998047
1741897110.4767606,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,0.25,2,555,1175,10.169751644134521
1741897110.70727,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,177,88,0.7973310947418213
1741897111.9127498,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,179,125,1.119166612625122
1741897123.891516,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,48,129,1.1419882774353027
1741897129.5481539,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,30,147,1.291672706604004
1741897133.646592,meta-llama/Llama-3.1-8B-Instruct,reclor,0.25,2,165,116,1.0297787189483643
1741897136.4779396,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,0.25,2,679,671,5.802015542984009
1741897142.5996187,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,0.25,2,53,290,2.5356011390686035
1741897143.5648563,meta-llama/Llama-3.1-8B-Instruct,airoboros,0.25,2,34,1149,9.838794946670532
