epoch,train_loss,val_loss,lr
0.0,2.448418901080177,2.3674248456954956,0.001
1.0,2.334493432726179,2.220568060874939,0.001
2.0,2.336088708468846,2.2363686859607697,0.001
3.0,2.3173419010071528,2.2293835878372192,0.001
4.0,2.3242602405093966,2.233051836490631,0.001
5.0,2.323363247371855,2.234856814146042,0.001
6.0,2.3229318062464395,2.235331118106842,0.001
7.0,2.3225796903882707,2.2354706525802612,0.001
8.0,2.3220627307891846,2.2353939712047577,0.001
9.0,2.3215943574905396,2.2352087795734406,0.001
10.0,2.3211443310692195,2.2349558770656586,0.001
11.0,2.3207260427020846,2.23466894030571,0.001
12.0,2.3203436647142683,2.2343709468841553,0.001
13.0,2.319991412616911,2.2340719401836395,0.001
14.0,2.3196662550880793,2.23377588391304,0.001
15.0,2.319366591317313,2.233486980199814,0.001
16.0,2.3190886066073464,2.233206182718277,0.001
17.0,2.318830745560782,2.232934534549713,0.001
18.0,2.318590141478039,2.2326720058918,0.001
19.0,2.318365352494376,2.2324187755584717,0.001
20.0,2.3181543974649337,2.23217436671257,0.001
21.0,2.3179562091827393,2.231938600540161,0.001
22.0,2.317769169807434,2.2317111492156982,0.0005
23.0,2.3138180119650706,2.2319098711013794,0.0005
24.0,2.3137391919181463,2.2321563363075256,0.0005
25.0,2.3135893174580167,2.232210397720337,0.0005
26.0,2.3135083005541848,2.232177585363388,0.0005
27.0,2.3134577047257197,2.23211932182312,0.0005
28.0,2.3134140173594155,2.2320520877838135,0.0005
29.0,2.3133733613150462,2.2319816946983337,0.0005
30.0,2.313335072426569,2.2319111227989197,0.0005
31.0,2.3132981856664023,2.231840580701828,0.0005
32.0,2.3132621617544267,2.2317719161510468,0.0005
33.0,2.313226501146952,2.2317042350769043,0.0005
34.0,2.3131909370422363,2.231637418270111,0.0005
35.0,2.313155458087013,2.231572061777115,0.0005
36.0,2.3131199734551564,2.2315076291561127,0.0005
37.0,2.313084505853199,2.2314438819885254,0.0005
38.0,2.313048731713068,2.231381207704544,0.0005
39.0,2.31301288377671,2.2313192188739777,0.0005
40.0,2.312976740655445,2.231257528066635,0.0005
41.0,2.3129402909960066,2.231196492910385,0.0005
42.0,2.3129035347983953,2.231135815382004,0.0005
43.0,2.3128665912719,2.231075942516327,0.00025
44.0,2.3109352815718878,2.231138586997986,0.00025
45.0,2.3109260400136313,2.2312413454055786,0.00025
46.0,2.3108896755036854,2.231307089328766,0.00025
47.0,2.3108582439876737,2.231342136859894,0.00025
48.0,2.310832284745716,2.2313568592071533,0.00025
49.0,2.310809680393764,2.2313599586486816,0.00025
50.0,2.3107886144093106,2.2313550412654877,0.00025
51.0,2.3107685986019315,2.2313451170921326,0.00025
