epoch,train_loss,val_loss,lr
0.0,2.3697083791097007,2.2437729835510254,0.001
1.0,2.020444801875523,2.088865101337433,0.001
2.0,1.88776691754659,1.9482394456863403,0.001
3.0,1.8274623042061215,1.8696874976158142,0.001
4.0,1.777300232932681,1.8417953550815582,0.001
5.0,1.7458707775388445,1.8315545618534088,0.001
6.0,1.7365323021298362,1.8462536036968231,0.001
7.0,1.7360202357882546,1.8722200393676758,0.001
8.0,1.7209782373337519,1.8367033302783966,0.001
9.0,1.7096795581635975,1.8067392408847809,0.001
10.0,1.7093340555826824,1.7960330843925476,0.001
11.0,1.6968179997943698,1.8184950053691864,0.001
12.0,1.690846051488604,1.8132334053516388,0.001
13.0,1.682976864633106,1.7938146889209747,0.001
14.0,1.6742342880793981,1.7764955759048462,0.001
15.0,1.666111741747175,1.7865054905414581,0.001
16.0,1.656561295191447,1.7660942375659943,0.001
17.0,1.6488646325610934,1.7723413705825806,0.001
18.0,1.6382632142021543,1.7405698597431183,0.001
19.0,1.6321892965407598,1.751856952905655,0.001
20.0,1.6233564672015963,1.7248935103416443,0.001
21.0,1.6181179625647408,1.731760412454605,0.001
22.0,1.6110342797778903,1.7137986719608307,0.001
23.0,1.6061378036226546,1.7176567614078522,0.001
24.0,1.6009425492513747,1.706922173500061,0.001
25.0,1.5960117464973813,1.7049348056316376,0.001
26.0,1.5913239547184534,1.6996224522590637,0.001
27.0,1.5862035751342773,1.6946446001529694,0.001
28.0,1.5807583842958723,1.6888692378997803,0.001
29.0,1.5747323149726504,1.6826517879962921,0.001
30.0,1.5680998677299136,1.676390141248703,0.001
31.0,1.5607971861248924,1.6698411703109741,0.001
32.0,1.553152430625189,1.663719117641449,0.001
33.0,1.545777576310294,1.6582381427288055,0.001
34.0,1.5392711559931438,1.6533512473106384,0.001
35.0,1.533855432555789,1.6492644846439362,0.001
36.0,1.5292440085184007,1.6457500755786896,0.001
37.0,1.524978030295599,1.6423989236354828,0.001
38.0,1.520828706877572,1.6392222940921783,0.001
39.0,1.5167016245069957,1.6368100047111511,0.001
40.0,1.5127578065508889,1.6394028961658478,0.001
41.0,1.5112155278523762,1.6355589032173157,0.001
42.0,1.5081186918985277,1.6590530276298523,0.001
43.0,1.5056176412673223,1.6338526010513306,0.001
44.0,1.5003796475274223,1.628050535917282,0.001
45.0,1.498489192553929,1.6241044998168945,0.001
46.0,1.4955767676943825,1.6321524679660797,0.001
47.0,1.4972971393948509,1.6366724371910095,0.001
48.0,1.496468600772676,1.6385517418384552,0.001
49.0,1.4983592601049514,1.6463494896888733,0.001
50.0,1.496092819032215,1.6305681765079498,0.001
51.0,1.4956639040084112,1.6433110535144806,0.001
52.0,1.493693436895098,1.6238391995429993,0.001
53.0,1.4908195506958735,1.6282618939876556,0.001
54.0,1.4890267224538893,1.621777355670929,0.001
55.0,1.4882827202479045,1.6260386109352112,0.001
56.0,1.4870258683250064,1.6200937330722809,0.001
57.0,1.4867860362643288,1.6275263130664825,0.001
58.0,1.4856959865206765,1.6197880804538727,0.001
59.0,1.4862798622676305,1.6345223784446716,0.001
60.0,1.4856562557674589,1.619617760181427,0.001
61.0,1.4853421052296956,1.6353329718112946,0.001
62.0,1.4847892295746576,1.619764357805252,0.001
63.0,1.483962064697629,1.6353814899921417,0.001
64.0,1.4840010631652105,1.6226670145988464,0.001
65.0,1.4834002313159762,1.6426180601119995,0.001
66.0,1.4840353102911086,1.6295487582683563,0.001
67.0,1.4841002452941168,1.655253291130066,0.001
68.0,1.4852933372770036,1.641308456659317,0.001
69.0,1.4857634930383592,1.6722692847251892,0.001
70.0,1.488962281317938,1.6552387177944183,0.001
71.0,1.4866665715263003,1.6555956900119781,0.001
72.0,1.484109918276469,1.6194395422935486,0.001
73.0,1.4789114509310042,1.6290719211101532,0.001
74.0,1.4769519453956967,1.6207308769226074,0.001
75.0,1.4771632977894373,1.6276191174983978,0.001
76.0,1.475055149623326,1.6172573566436768,0.001
77.0,1.4759494406836373,1.6246448755264282,0.001
78.0,1.4738857008161999,1.6143144369125366,0.001
79.0,1.4747344993409657,1.6220535933971405,0.001
80.0,1.4726922001157488,1.6120695173740387,0.001
81.0,1.473373810450236,1.6195096671581268,0.001
82.0,1.4718340805598669,1.6096285283565521,0.001
83.0,1.4724649077370053,1.6202626526355743,0.001
84.0,1.4711246433712186,1.6063336730003357,0.001
85.0,1.4718575818198067,1.6181481778621674,0.001
86.0,1.470278223355611,1.605897217988968,0.001
87.0,1.4667591935112363,1.6118852496147156,0.001
88.0,1.4659960383460635,1.6034612953662872,0.001
89.0,1.4644580227988107,1.6071802377700806,0.001
90.0,1.4639175846463157,1.6007535457611084,0.001
91.0,1.4627342848550706,1.603161334991455,0.001
92.0,1.4626206159591675,1.5999387204647064,0.001
