epoch,train_nll,val_nll,mean_sigma,mean_alpha,noise_std,lr
0.0,0.9262323170900345,0.7194672077894211,0.895384994149208,0.4662880301475525,0.0,0.001
1.0,0.3164551829919219,0.7183692008256912,0.4917798198759556,0.3981315612792969,0.0,0.001
2.0,1.0068558856844902,-0.4103090586140752,0.11137964129447937,0.16824182830750942,0.0,0.001
3.0,-0.5033247850835323,-0.35075513273477554,0.18094741851091384,0.09044522661715745,0.0,0.001
4.0,-0.3293395757675171,-0.5332822203636169,0.1224580980837345,0.042803964018821715,0.0,0.001
5.0,-0.6053937040269375,-0.5105142006650567,0.17918446529656648,0.0438460030592978,0.0,0.001
6.0,-0.5239091452211142,-0.6153432056307793,0.13228914365172387,0.03258982291445136,0.0,0.001
7.0,-0.6374647282063961,-0.6424561366438866,0.17066454514861107,0.03453427953645587,0.0,0.001
8.0,-0.648222652822733,-0.6152191162109375,0.16478427164256573,0.027845191583037377,0.0,0.001
9.0,-0.6223369746934623,-0.6721899509429932,0.14478422105312347,0.02378227673470974,0.0,0.001
10.0,-0.6793115347623825,-0.6868057586252689,0.16619840767234564,0.025183098297566174,0.0,0.001
11.0,-0.7074558343738317,-0.6520514339208603,0.16465263701975347,0.025062861386686563,0.0,0.001
12.0,-0.7155490884557366,-0.6719085909426212,0.1517206473276019,0.02426088908687234,0.0,0.001
13.0,-0.7236236559227109,-0.7248359011136927,0.15618426110595465,0.0225394687615335,0.0,0.001
14.0,-0.7520553856506013,-0.7294607711955905,0.145734228938818,0.02330818250775337,0.0,0.001
15.0,-0.7686456407420337,-0.7679689908400178,0.14833121113479136,0.027685987902805208,0.0,0.001
16.0,-0.7928670985158532,-0.7981100531760603,0.1493004759773612,0.023296379996463657,0.0,0.001
17.0,-0.8304828076623381,-0.8158175149001181,0.1451079687103629,0.022061268473044036,0.0,0.001
18.0,-0.8201652951538563,-0.23121802508831024,0.1400014220736921,0.019547238014638424,0.0,0.001
19.0,-0.6267563514411449,-0.7279037926346064,0.15187808740884065,0.032298787916079166,0.0,0.001
20.0,-0.558048241166398,-0.6422688690945506,0.1340312512591481,0.006188113312236965,0.0,0.001
21.0,-0.7225647062063217,-0.3206717073917389,0.15594291985034942,0.005819090700242668,0.0,0.001
22.0,-0.49569792225956916,-0.7811552183702588,0.09901536107063294,0.0059765690937638285,0.0,0.001
23.0,-0.789855883270502,-0.8378182806773111,0.13682670779526235,0.008449874422512948,0.0,0.001
24.0,-0.8530556478654034,-0.8607760630548,0.149872387945652,0.011358017288148402,0.0,0.001
25.0,-0.8947688931599259,-0.42777416855096817,0.13084777146577836,0.014978165132924914,0.0,0.001
26.0,-0.7741466207429767,-0.8335393536835909,0.12546902000904084,0.014985228655859828,0.0,0.001
27.0,-0.893382340669632,-0.88862444460392,0.13318616561591626,0.02006554347462952,0.0,0.001
28.0,-0.7971986841410399,-0.6836502104997635,0.11242472659796476,0.014428720995783805,0.0,0.001
29.0,-0.7419485114514828,-0.5705946907401085,0.21046741250902415,0.025518643204122782,0.0,0.001
30.0,-0.5950056977570057,-0.8437278270721436,0.08521362841129303,0.01323196399025619,0.0,0.001
31.0,-0.9547251462936401,-0.7106914417818189,0.13011306785047055,0.018889487627893685,0.0,0.001
