hardware,model,tp,f1_score,transition_mae,power_mape,autocorr_r2_mean,autocorr_r2_std,num_samples
a100,llama-3-8b,1,0.5972,13.5342,8.5944,0.9897,0.0000,15
a100,llama-3-8b,2,0.5900,21.0656,9.0214,0.9951,0.0000,15
