config,P_idle_w,P_busy_w,rho_star,rho_star_measured,p_bar_w_per_node,F_prefill_tps,G_decode_tps,ell_power_knee,r2_ramp
deepseek-r1-distill-70b-a100_tp4,286,1291,0.53,True,2442,1708,1211,0.04,0.65
deepseek-r1-distill-70b-a100_tp8,560,2042,0.55,True,3710,1681,1237,0.08,0.7
deepseek-r1-distill-70b-h100_tp4,486,1953,0.8,False,2441,1776,1274,0.12,0.67
deepseek-r1-distill-70b-h100_tp8,944,2996,0.8,False,3745,1767,1372,0.14,0.71
deepseek-r1-distill-8b-a100_tp1,73,303,0.8,False,379,1569,1351,0.16,0.72
deepseek-r1-distill-8b-a100_tp2,141,531,0.8,False,664,1584,1392,0.25,0.77
deepseek-r1-distill-8b-a100_tp4,278,859,0.8,False,1073,1681,1443,0.31,0.81
deepseek-r1-distill-8b-a100_tp8,554,1374,0.8,False,1717,1680,1565,0.32,0.81
deepseek-r1-distill-8b-h100_tp1,119,466,0.8,False,582,1569,1509,0.3,0.75
deepseek-r1-distill-8b-h100_tp2,239,779,0.8,False,973,1680,1588,0.34,0.79
deepseek-r1-distill-8b-h100_tp4,472,1288,0.8,False,1609,1658,1609,0.48,0.79
deepseek-r1-distill-8b-h100_tp8,943,2053,0.8,False,2566,1617,1702,0.53,0.81
gpt-oss-120b-a100_tp4,267,947,0.87,True,1093,1871,1579,0.6,0.85
gpt-oss-120b-a100_tp8,516,1378,0.8,False,1723,1879,1645,0.46,0.81
gpt-oss-20b-a100_tp1,68,303,0.43,True,698,1871,1506,0.49,0.89
gpt-oss-20b-a100_tp2,136,503,0.91,True,554,1755,1558,0.63,0.84
llama-3-405b-h100_tp8,1007,4030,0.65,True,6240,1621,1205,0.04,0.44
llama-3-70b-a100_tp4,290,1289,0.55,True,2366,1628,1204,0.03,0.62
llama-3-70b-a100_tp8,552,1986,0.55,True,3619,1614,1235,0.08,0.67
llama-3-70b-h100_tp4,492,1985,0.8,False,2481,1680,1276,0.13,0.66
llama-3-70b-h100_tp8,955,3009,0.8,False,3761,1776,1399,0.15,0.71
llama-3-8b-h100_tp1,120,466,0.8,False,583,1779,1503,0.27,0.78
llama-3-8b-h100_tp2,238,781,0.8,False,977,1583,1591,0.35,0.77
llama-3-8b-h100_tp4,483,1309,0.8,False,1637,1682,1618,0.47,0.81
llama-3-8b-h100_tp8,958,2067,0.8,False,2584,1673,1645,0.52,0.81
