timestamp,query.start,query.end,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu
2026/07/24 16:36:17.160,2026/07/24 16:36:17.147,2026/07/24 16:36:17.174,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,90.16,1410,1593,0,0,73511,44
2026/07/24 16:36:17.160,2026/07/24 16:36:17.147,2026/07/24 16:36:17.174,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.46,1410,1593,0,0,73511,36
2026/07/24 16:36:17.409,2026/07/24 16:36:17.397,2026/07/24 16:36:17.421,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,90.16,1410,1593,0,0,73511,44
2026/07/24 16:36:17.409,2026/07/24 16:36:17.397,2026/07/24 16:36:17.421,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.55,1410,1593,0,0,73511,36
2026/07/24 16:36:17.659,2026/07/24 16:36:17.647,2026/07/24 16:36:17.672,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,90.16,1410,1593,0,0,73511,44
2026/07/24 16:36:17.659,2026/07/24 16:36:17.647,2026/07/24 16:36:17.672,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.73,1410,1593,0,0,73511,36
2026/07/24 16:36:17.909,2026/07/24 16:36:17.897,2026/07/24 16:36:17.921,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,90.16,1410,1593,0,0,73511,44
2026/07/24 16:36:17.909,2026/07/24 16:36:17.897,2026/07/24 16:36:17.921,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.73,1410,1593,0,0,73511,36
2026/07/24 16:36:18.159,2026/07/24 16:36:18.147,2026/07/24 16:36:18.172,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,90.16,1410,1593,0,0,73511,44
2026/07/24 16:36:18.159,2026/07/24 16:36:18.147,2026/07/24 16:36:18.172,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.73,1410,1593,0,0,73511,36
2026/07/24 16:36:18.409,2026/07/24 16:36:18.397,2026/07/24 16:36:18.420,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,90.16,1410,1593,0,0,73511,44
