timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total,nixl_xfer_time_seconds_sum,nixl_xfer_time_seconds_count,nixl_post_time_seconds_sum,nixl_post_time_seconds_count,nixl_bytes_transferred_sum,nixl_bytes_transferred_count,nixl_num_descriptors_sum,nixl_num_descriptors_count,nixl_num_failed_transfers,nixl_num_failed_notifications,nixl_num_kv_expired_reqs
1785000952.243406,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000952.4935088,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000952.7435997,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000952.9936948,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000953.2437847,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000953.4938893,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000953.7440257,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000953.9941187,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000954.2441995,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000954.4942803,0.0,0.0,0.0,2710823.0,324.0,2711147.0,324.0,192.89363635331392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
