config,n_windows,F_prefill_tps,G_decode_tps,P0_w,P_max_w,c1_j_per_prefill_tok,c2_j_per_decode_tok,c1_over_c2,p_pre_w_per_busy_s,p_dec_w_per_busy_s,r2_linear,r2_saturating,ell_power_knee,ell_latency_knee,latency_knee_found,rho_star,s_plat_w_per_ell,p_amort_w_per_ell,amort_over_plat
deepseek-r1-distill-70b-a100_tp4,2202,1394.0603708409808,985.6700000000001,257.4215325807853,1316.822599463026,0.07875948375681906,0.47211440794633885,0.16682287689421876,109.79547513327537,465.34900848046783,0.24095102248598688,0.9325603276017318,0.09072386949906908,0.7819554592592523,True,0.7819554592592523,37.112704241619966,1645.8231098718377,44.34662317132182
deepseek-r1-distill-70b-a100_tp8,2183,1451.3941209902098,1017.1160000000001,511.1226260663589,2200.7688455628945,0.040754259217178575,1.02869274367631,0.03961752376276348,59.150492233124055,1046.299848677074,0.273544000600658,0.9291861287630129,0.14477040411968964,0.8112294430061555,True,0.8112294430061555,85.15615857992412,2623.925521870738,30.813103428192193
deepseek-r1-distill-70b-h100_tp4,3641,1394.0534694290257,1033.8379999999995,446.80765294651394,2031.5104263149692,0.10851980636168232,1.0027735093676975,0.10821965812610056,151.28241256026928,1036.7053593776811,0.3473574598295771,0.9423303684170834,0.19304423349497787,nan,False,0.8,106.28833397582932,2426.687714554813,22.831176515633953
deepseek-r1-distill-70b-h100_tp8,3629,1406.498000000002,1053.8289999999988,888.6419332680312,3243.336581249393,0.1171988767367456,1.6815688209790198,0.06969615235165438,164.83998573247945,1772.0859890434974,0.3769783282079484,0.9257870281441064,0.2829694113032908,nan,False,0.8,219.7023784957763,3815.0405190956885,17.364584512993936
deepseek-r1-distill-8b-a100_tp1,2648,1368.2,1101.1269999999997,67.98902967259971,323.50846089944474,0.017306561319474476,0.20031127469542725,0.08639833851483925,23.67883719730498,220.56815297155168,0.4562485422746254,0.9548407728905367,0.3170004753780047,nan,False,0.8,26.193828689890413,375.5969173885826,14.339137734894988
deepseek-r1-distill-8b-a100_tp2,2168,1382.8399889185243,1207.469999999999,131.24928355926406,590.6378694564581,0.035507450690347706,0.3407411868950103,0.10420651232070843,49.101122719165474,411.4347609401177,0.5262631796581922,0.950603021644297,0.4908032605770591,nan,False,0.8,66.20729427565354,661.9354313247704,9.997923016893086
deepseek-r1-distill-8b-a100_tp4,2169,1386.3539999999973,1234.2429999999997,269.0811902611442,961.4659158369705,0.05745133941589854,0.5389178652858587,0.10660500071829049,79.64789420458845,665.1556028040139,0.6142808480003283,0.9579679398957202,0.7203586075042729,nan,False,0.8,129.80894775422544,1042.801886777666,8.03335906205835
deepseek-r1-distill-8b-a100_tp8,2168,1458.164000000001,1234.3899999999992,548.9677929893284,1524.13648981372,0.08037726981598887,0.7703387999429443,0.10434015503560522,117.20324126396167,950.8985112615704,0.6451788880109868,0.9655752037453517,0.7787139028560986,nan,False,0.8,191.8811217519392,1666.595585139005,8.685563071147524
deepseek-r1-distill-8b-h100_tp1,3609,1440.4399999999987,1191.1899999999957,112.69384202364236,520.4692266054627,0.034351224721958944,0.3136545152433042,0.10951930564529715,49.4808781384985,373.62212201267016,0.5865033990327455,0.9421983822675036,0.6365284117085328,nan,False,0.8,70.5378069509722,566.0176893608857,8.024316516592306
deepseek-r1-distill-8b-h100_tp2,3607,1463.0,1225.272,229.90718784065396,892.4366775006231,0.061669095713729506,0.5100260586539609,0.12091361738748009,90.22188702918626,624.9206489390559,0.6546782755045074,0.9441554616471708,0.9059010214816793,nan,False,0.8,142.40623441191858,932.8252520828864,6.5504523445556
deepseek-r1-distill-8b-h100_tp4,3479,1417.5280000000025,1231.3010000000002,465.1052339548486,1530.675705737361,0.08011153996967577,0.8346433788673964,0.09598295750981264,113.56035103013475,1027.6972270428041,0.7375239782593541,0.9462715629214928,1.4934384286645697,nan,False,0.8,288.96632914142987,1489.5178591146635,5.154641592812162
deepseek-r1-distill-8b-h100_tp8,3604,1418.0400000000045,1275.902,936.3535772928444,2426.9497867451646,0.13606536893174687,1.0758772849840148,0.12646922732806698,192.94613575997494,1372.7139796656745,0.7704748399292153,0.9476489251128183,1.7426363419352664,nan,False,0.8,425.3137805105379,2376.7586870948107,5.58824753865675
gpt-oss-120b-a100_tp4,3604,1452.7189864859172,1269.820999999999,276.78048634161416,1285.6728915396952,0.05981129573067641,0.6948561063945605,0.08607723984901376,86.88900491427769,882.3428758780466,0.8869151375437494,0.9880106297007587,2.6144796975568996,1.2570570647022374,True,1.2570570647022374,180.63237349215333,748.2100840394642,4.142170473511308
gpt-oss-120b-a100_tp8,3604,1475.2639999999992,1305.4890000000005,536.2603843048214,1681.2023420058767,0.061589114744960885,0.8695456470800716,0.07082907602582648,90.86020377510992,1135.1822772609162,0.8258532404780133,0.9784784306364605,1.7028162079529892,nan,False,0.8,324.4292564525723,1604.435109735531,4.9454082140402775
gpt-oss-20b-a100_tp1,3725,1448.319999999999,1260.3799999999999,67.12041959182154,424.44649546305266,0.028197803044670608,0.25745287802176875,0.10952607429110334,40.839442105657305,324.48845840107685,0.846222697569438,0.990062987485255,2.0527780176849793,0.534657100938009,True,0.534657100938009,167.01179389947603,466.5474725275923,2.793500157290724
gpt-oss-20b-a100_tp2,3603,1470.369498923539,1380.3,138.82164656538095,678.8477348491219,0.025590316967867826,0.3778436272288121,0.06772726896455239,37.62722153733835,521.5375586639293,0.8621613141701777,0.9822717059751883,2.3765822961423564,1.1942929431943543,True,1.1942929431943543,100.31354489929414,418.1914748784308,4.168843552465998
llama-3-405b-h100_tp8,3668,1399.5165002016483,969.7560000000001,937.9508354078856,3941.849895570414,0.28954699219737373,1.5203134699246437,0.19045216524439892,405.2257931639825,1474.3331093402428,0.3102479044126637,0.9106035822050633,0.09227911326538359,0.9995818970714014,True,0.9995818970714014,66.26333469645154,3875.7060293675745,58.48945041963187
llama-3-70b-a100_tp4,3666,1447.4,991.9590000000001,256.64439853771955,1320.792054783186,0.08194282562416602,0.5033130947149705,0.16280686213930273,118.60404580841791,499.2659541203675,0.24633764604135933,0.9368979734026914,0.09017552237142505,0.7348937951702916,True,0.7348937951702916,41.81544867936124,1754.157494588424,41.94998618905696
