timestamp,query.start,query.end,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu,pstate,power.limit [W],clocks_event_reasons.sw_power_cap,clocks_event_reasons.hw_slowdown,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown
2026/07/25 10:23:37.681,2026/07/25 10:23:37.668,2026/07/25 10:23:37.694,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.47,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:37.681,2026/07/25 10:23:37.668,2026/07/25 10:23:37.694,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:37.933,2026/07/25 10:23:37.918,2026/07/25 10:23:37.948,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.38,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:37.933,2026/07/25 10:23:37.918,2026/07/25 10:23:37.948,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.183,2026/07/25 10:23:38.168,2026/07/25 10:23:38.197,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.71,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.183,2026/07/25 10:23:38.168,2026/07/25 10:23:38.197,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.433,2026/07/25 10:23:38.418,2026/07/25 10:23:38.448,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.38,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.433,2026/07/25 10:23:38.418,2026/07/25 10:23:38.448,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.87,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.682,2026/07/25 10:23:38.668,2026/07/25 10:23:38.695,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.38,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.682,2026/07/25 10:23:38.668,2026/07/25 10:23:38.695,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.05,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.933,2026/07/25 10:23:38.918,2026/07/25 10:23:38.949,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.47,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:38.933,2026/07/25 10:23:38.918,2026/07/25 10:23:38.949,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.183,2026/07/25 10:23:39.168,2026/07/25 10:23:39.198,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.79,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.183,2026/07/25 10:23:39.168,2026/07/25 10:23:39.198,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.87,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.432,2026/07/25 10:23:39.418,2026/07/25 10:23:39.446,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.38,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.432,2026/07/25 10:23:39.418,2026/07/25 10:23:39.446,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.682,2026/07/25 10:23:39.668,2026/07/25 10:23:39.696,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.47,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.682,2026/07/25 10:23:39.668,2026/07/25 10:23:39.696,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.05,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.933,2026/07/25 10:23:39.918,2026/07/25 10:23:39.949,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.38,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:39.933,2026/07/25 10:23:39.918,2026/07/25 10:23:39.949,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:40.183,2026/07/25 10:23:40.168,2026/07/25 10:23:40.198,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.79,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:40.183,2026/07/25 10:23:40.168,2026/07/25 10:23:40.198,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:40.432,2026/07/25 10:23:40.418,2026/07/25 10:23:40.446,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.71,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:40.432,2026/07/25 10:23:40.418,2026/07/25 10:23:40.446,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73511,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:23:40.682,2026/07/25 10:23:40.668,2026/07/25 10:23:40.696,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,86.47,1410,1593,0,0,73511,34,P0,500.00,Not Active,Not Active,Not Active,Not Active
