epoch,train_total_loss,train_nll,train_mu_loss,val_total_loss,val_nll,val_mu_loss,mean_sigma,mean_alpha,noise_std,lr
0.0,1.0255716897192455,0.9421803780964443,0.8339130878448486,0.7637756317853928,0.7004604935646057,0.6331512928009033,0.9009801717031569,0.46240576675959993,0.0,0.001
1.0,0.5329494902065822,0.4779758659147081,0.5497362372421083,0.7366952672600746,0.6870707869529724,0.496244840323925,0.4890246448062715,0.3858787914117177,0.0,0.001
2.0,0.13998223211438882,0.10206379058460395,0.3791844113951638,0.36408211290836334,0.32194970548152924,0.4213240221142769,0.24647692200683413,0.1712502915234793,0.0,0.001
3.0,0.18739433338244757,0.15366203160513014,0.3373230113869622,0.3200779939070344,0.2785131959244609,0.41564802825450897,0.26933150702998754,0.11721753204862277,0.0,0.001
4.0,0.06273399710300423,0.02871517189556644,0.3401882534935361,0.24733054265379906,0.20968517661094666,0.3764536939561367,0.2217338610263098,0.07035135708394505,0.0,0.001
5.0,0.05262667783314273,0.02594120975672489,0.2668546920730954,0.24607772286981344,0.21006127260625362,0.36016447842121124,0.25680069838251385,0.07708922986473356,0.0,0.001
6.0,0.027925337709131696,0.0020736115319388254,0.25851722274507793,0.21913496125489473,0.1852237731218338,0.339111864566803,0.22044244479565395,0.06314882299020178,0.0,0.001
7.0,0.027643577328750064,0.004857470946652549,0.22786108972061248,0.2500775456428528,0.2176998406648636,0.32377706468105316,0.22282481690247855,0.0641719964998109,0.0,0.001
8.0,-0.007631301525093261,-0.029469206929206848,0.21837903275376275,0.20903337001800537,0.17781691439449787,0.3121646046638489,0.2111376410438901,0.061108073308354334,0.0,0.001
9.0,0.007168017682575044,-0.013526829935255506,0.2069484648250398,0.2280084230005741,0.1973736546933651,0.30634767562150955,0.2209840551728294,0.06521959478656451,0.0,0.001
10.0,-0.035340077110699246,-0.05588405614807492,0.20543982088565826,0.19692561775445938,0.16638518124818802,0.3054043650627136,0.20745878773076193,0.06298641416998137,0.0,0.001
11.0,-0.03350357143651871,-0.05391381751923334,0.20410245656967163,0.18995771184563637,0.15963122062385082,0.30326487869024277,0.20937941045988173,0.06670920834654853,0.0,0.001
12.0,-0.09819316154434568,-0.11885744546140943,0.20664284520205997,0.18252722173929214,0.1447305865585804,0.3779663220047951,0.2150563100973765,0.07329653487319038,0.0,0.001
13.0,-0.07983494656426567,-0.10336940842015403,0.2353446331052553,0.16214345395565033,0.13254019990563393,0.29603251442313194,0.21890947506541297,0.07543209053221203,0.0,0.001
14.0,-0.1661976362977709,-0.18708892947151548,0.2089129083213352,0.20479550771415234,0.15950330905616283,0.4529220014810562,0.22057645661490305,0.08087017972554479,0.0,0.001
15.0,-0.08717570595798038,-0.11821471544958297,0.3103900658232825,0.1548813432455063,0.12571271881461143,0.2916863039135933,0.2270247560171854,0.07369324210144225,0.0,0.001
16.0,-0.19003911387352718,-0.2116778986085029,0.21638787821644828,0.1566227450966835,0.11720428615808487,0.3941846191883087,0.22892086917445773,0.07189580673972766,0.0,0.001
17.0,-0.1418632630790983,-0.1735640647155898,0.3170080220415479,0.11640357971191406,0.08909774012863636,0.2730583995580673,0.21009694926795505,0.05670935589642752,0.0,0.001
18.0,-0.24254886167390005,-0.25982787105299177,0.172790109756447,0.12352412939071655,0.095138443633914,0.2838568314909935,0.2128355921733947,0.06277579512624513,0.0,0.001
19.0,-0.23366992885158175,-0.25633459112473894,0.22664664224499748,0.07891118340194225,0.055194671265780926,0.2371651828289032,0.21392138444242023,0.06068798970608484,0.0,0.001
20.0,-0.27818653945411953,-0.29427637354958625,0.1608983196672939,0.08063302002847195,0.0569883668795228,0.2364465296268463,0.20610653467121579,0.06845555809282121,0.0,0.001
21.0,-0.31536754894824254,-0.33194718456694056,0.16579631786970866,0.059741961769759655,0.030257771024480462,0.2948419451713562,0.20870937407016754,0.07672929373525438,0.0,0.001
22.0,-0.2873310958523126,-0.31081323186489973,0.23482140011730648,0.01407588878646493,-0.004606809467077255,0.18682695925235748,0.21187703630753926,0.08024507033683005,0.0,0.001
23.0,-0.3191601434899938,-0.33143375563668087,0.12273608077140082,0.07576312124729156,0.056416078470647335,0.19347048178315163,0.1757080750096412,0.10318733396984282,0.0,0.001
24.0,-0.3158969490655831,-0.3293056833069949,0.13408734809075082,-0.0028446847572922707,-0.04284165799617767,0.3999697342514992,0.2441797529657682,0.15059614252476466,0.0,0.001
25.0,-0.3178286147525623,-0.34465498180084286,0.26826370720352444,0.03495959239080548,0.016263156197965145,0.18696436658501625,0.156301339112577,0.09288142089332853,0.0,0.001
26.0,-0.31084392215347006,-0.32220772303463446,0.11363801466567176,-0.05733884684741497,-0.08282581530511379,0.25486965849995613,0.2517010129633404,0.12498429807878676,0.0,0.001
27.0,-0.3953793815204075,-0.411212903048311,0.15833514485330807,-0.0017051473259925842,-0.022961975075304508,0.2125682458281517,0.155611433443569,0.10517272459609169,0.0,0.001
28.0,-0.3389086907818204,-0.3507896706994091,0.11880977629196077,-0.10982733219861984,-0.12904898822307587,0.19221651554107666,0.24025746825195493,0.160971893795899,0.0,0.001
29.0,-0.4572215234594686,-0.46854917013219427,0.11327645448701722,-0.06797383166849613,-0.08695251308381557,0.18978683464229107,0.15148728553737914,0.13670344189518974,0.0,0.001
