timestamp,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu
2026/07/18 16:09:47.503,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,85.59,1410,1593,0,0,73879,36
2026/07/18 16:09:47.753,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,498.03,1410,1593,14,7,73879,46
2026/07/18 16:09:48.003,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,177.56,1410,1593,74,28,73879,40
2026/07/18 16:09:48.253,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.47,1410,1593,28,23,73879,38
2026/07/18 16:09:48.503,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,85.95,1410,1593,0,0,73879,41
2026/07/18 16:09:48.753,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,301.39,1410,1593,67,23,73879,45
2026/07/18 16:09:49.003,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.79,1410,1593,49,33,73879,40
2026/07/18 16:09:49.254,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.47,1410,1593,0,0,73879,38
2026/07/18 16:09:49.504,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,325.62,1410,1593,0,0,73879,38
2026/07/18 16:09:49.754,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,295.67,1410,1593,71,27,73879,47
2026/07/18 16:09:50.004,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.63,1410,1593,34,27,73879,40
2026/07/18 16:09:50.254,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.19,1410,1593,0,0,73879,39
2026/07/18 16:09:50.569,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,346.92,1410,1593,0,0,73879,48
2026/07/18 16:09:50.819,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.85,1410,1593,73,25,73879,45
2026/07/18 16:09:51.069,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.12,1410,1593,0,0,73879,40
2026/07/18 16:09:51.319,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.38,1410,1593,0,0,73879,39
2026/07/18 16:09:51.569,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,400.29,1410,1593,0,0,73879,48
2026/07/18 16:09:51.819,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,295.04,1410,1593,78,28,73879,45
2026/07/18 16:09:52.069,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.39,1410,1593,0,0,73879,40
2026/07/18 16:09:52.320,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.79,1410,1593,0,0,73879,39
2026/07/18 16:09:52.570,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,392.92,1410,1593,0,0,73879,40
2026/07/18 16:09:52.820,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.16,1410,1593,82,28,73879,48
2026/07/18 16:09:53.070,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.30,1410,1593,0,0,73879,40
2026/07/18 16:09:53.320,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.79,1410,1593,0,0,73879,39
2026/07/18 16:09:53.570,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,482.85,1410,1593,0,0,73879,49
2026/07/18 16:09:53.820,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,159.79,1410,1593,86,35,73879,43
2026/07/18 16:09:54.070,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,88.23,1410,1593,27,22,73879,40
2026/07/18 16:09:54.320,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.03,1410,1593,0,0,73879,39
2026/07/18 16:09:54.570,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.71,1410,1593,0,0,73879,48
2026/07/18 16:09:54.820,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,110.07,1410,1593,89,40,73879,43
2026/07/18 16:09:55.071,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.30,1410,1593,20,16,73879,40
2026/07/18 16:09:55.321,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.03,1410,1593,0,0,73879,39
2026/07/18 16:09:55.571,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.71,1410,1593,0,0,73879,39
2026/07/18 16:09:55.821,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,298.69,1410,1593,30,10,73879,43
2026/07/18 16:09:56.071,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.63,1410,1593,54,34,73879,40
2026/07/18 16:09:56.321,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.03,1410,1593,0,0,73879,39
2026/07/18 16:09:56.571,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.71,1410,1593,0,0,73879,49
2026/07/18 16:09:56.821,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,161.75,1410,1593,0,0,73879,53
2026/07/18 16:09:57.071,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.21,1410,1593,0,0,73879,41
2026/07/18 16:09:57.321,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.94,1410,1593,0,0,73879,39
2026/07/18 16:09:57.571,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,474.30,1410,1593,3,2,73879,43
2026/07/18 16:09:57.822,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.16,1410,1593,96,52,73879,42
2026/07/18 16:09:58.072,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,87.21,1410,1593,0,0,73879,40
2026/07/18 16:09:58.322,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.71,1410,1593,0,0,73879,39
2026/07/18 16:09:58.572,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.61,1410,1593,5,2,73879,48
