epoch,train_loss,val_loss,lr
0.0,2.239515244960785,2.1253923773765564,0.001
1.0,2.0684749126434325,1.973606526851654,0.001
2.0,2.0326557517051698,1.9770323038101196,0.001
3.0,2.02176913022995,1.9611389935016632,0.001
4.0,2.0222561717033387,1.962351679801941,0.001
5.0,2.0209039568901064,1.960022896528244,0.001
6.0,2.021035486459732,1.9601899087429047,0.001
7.0,2.020640504360199,1.9593247473239899,0.001
8.0,2.0204996049404143,1.9588853418827057,0.001
9.0,2.02027143239975,1.95830038189888,0.001
10.0,2.02009636759758,1.9578089714050293,0.001
11.0,2.0199125468730927,1.9572994709014893,0.001
12.0,2.0197460532188414,1.9568181931972504,0.001
13.0,2.019585299491882,1.9563478827476501,0.001
14.0,2.0194342494010926,1.9558960497379303,0.001
15.0,2.01928995847702,1.9554572701454163,0.001
16.0,2.019152343273163,1.955032229423523,0.001
17.0,2.019020473957062,1.9546189904212952,0.001
18.0,2.0188940107822417,1.9542172849178314,0.001
19.0,2.0187723517417906,1.9538269340991974,0.001
20.0,2.0186546623706816,1.9534464180469513,0.001
21.0,2.0185462296009065,1.9530997276306152,0.001
22.0,2.018445688486099,1.9528038501739502,0.001
23.0,2.0183517277240752,1.9525819718837738,0.001
24.0,2.0182622373104095,1.9524079263210297,0.001
25.0,2.018174934387207,1.9522588551044464,0.001
26.0,2.0180926084518434,1.9521390497684479,0.001
27.0,2.018011724948883,1.9520305693149567,0.001
28.0,2.0179308533668516,1.9519231915473938,0.001
29.0,2.017848628759384,1.9518142640590668,0.001
30.0,2.01776407957077,1.9517032206058502,0.001
31.0,2.017674672603607,1.951588124036789,0.001
32.0,2.0175772488117216,1.9514644145965576,0.001
33.0,2.0174758970737456,1.9513338208198547,0.001
34.0,2.0173697412014007,1.9511983096599579,0.001
35.0,2.017253565788269,1.951054573059082,0.001
36.0,2.01712988615036,1.950902909040451,0.001
37.0,2.0169988334178925,1.9507465362548828,0.001
38.0,2.016858732700348,1.9505873620510101,0.001
39.0,2.016708368062973,1.9504254460334778,0.001
40.0,2.016546595096588,1.9502623081207275,0.001
41.0,2.0163720190525054,1.950098842382431,0.001
42.0,2.0161834359169006,1.9499343931674957,0.001
43.0,2.015980964899063,1.9497675895690918,0.001
44.0,2.0157683372497557,1.9496018290519714,0.001
45.0,2.0155538499355314,1.9494501948356628,0.001
46.0,2.0153424382209777,1.9493243396282196,0.001
47.0,2.015124815702438,1.949197232723236,0.001
48.0,2.014859175682068,1.9490222334861755,0.001
49.0,2.0145603835582735,1.9490387439727783,0.001
50.0,2.014398217201233,1.948824405670166,0.001
51.0,2.014004623889923,1.9489099383354187,0.001
52.0,2.013861060142517,1.9475963711738586,0.001
53.0,2.013010197877884,1.9461108446121216,0.001
54.0,2.0126985907554626,1.9466218650341034,0.001
55.0,2.0119928061962127,1.945949375629425,0.001
56.0,2.014177495241165,1.94480961561203,0.001
57.0,2.0117350101470945,1.9457158148288727,0.001
58.0,2.010550540685654,1.944493442773819,0.001
59.0,2.010168033838272,1.9435343742370605,0.001
60.0,2.009625881910324,1.9434834718704224,0.001
61.0,2.0097955048084257,1.9449865520000458,0.001
62.0,2.0090357065200806,1.9439749717712402,0.001
63.0,2.0087038457393644,1.9432136714458466,0.001
64.0,2.0083080649375917,1.9429127275943756,0.001
65.0,2.007645756006241,1.9432052969932556,0.001
66.0,2.0077954828739166,1.9425660371780396,0.001
67.0,2.007683831453323,1.9422944784164429,0.001
68.0,2.0072076618671417,1.9418561458587646,0.001
69.0,2.006456398963928,1.942230075597763,0.001
70.0,2.0066536962985992,1.9419568479061127,0.001
71.0,2.0060339629650117,1.9419594705104828,0.001
72.0,2.0056201934814455,1.9416313469409943,0.001
73.0,2.005331188440323,1.9413432776927948,0.001
74.0,2.005118817090988,1.9411384761333466,0.001
75.0,2.0048520982265474,1.9409358501434326,0.001
76.0,2.004629063606262,1.940786212682724,0.001
