t_bin,time_s,power_w
0,0.0,515.1135248992001
1,0.25,518.4437222939796
2,0.5,816.4678372965238
3,0.75,840.7209990276215
4,1.0,1359.8636693179942
5,1.25,1459.1679542879153
6,1.5,1516.616878734639
7,1.75,1488.6612954786324
8,2.0,1469.6286376744297
9,2.25,1528.7811816822834
10,2.5,1599.225281823416
11,2.75,1465.388918895902
12,3.0,1557.8135750596118
13,3.25,1537.5773657015127
14,3.5,1477.7179932147299
15,3.75,1498.0328689894009
16,4.0,1416.4472504542787
17,4.25,1435.2389795706126
18,4.5,1487.5544565494101
19,4.75,1333.9013416342725
20,5.0,1388.2194290376037
21,5.25,1395.3115940001387
22,5.5,1454.204550931158
23,5.75,1434.062285571565
24,6.0,1329.7151542946542
25,6.25,1539.5147465639354
26,6.5,1400.826860417546
27,6.75,1521.1862022262933
28,7.0,1436.942432176362
29,7.25,1452.519677272325
30,7.5,1529.9435119862535
31,7.75,1538.752105143293
32,8.0,1632.3278350104035
33,8.25,1577.9525250605673
34,8.5,1461.5038142464334
35,8.75,1450.5695952556882
36,9.0,1370.377685143453
37,9.25,1305.9971476748287
38,9.5,1342.8227754123386
39,9.75,1226.4665537575013
40,10.0,1169.7409464472169
41,10.25,1253.3426567101928
42,10.5,1359.3454398301985
43,10.75,1283.828385828244
44,11.0,1294.2849928154676
45,11.25,1236.8571646648404
46,11.5,1160.9125701819285
47,11.75,1195.0142707848504
48,12.0,1218.145827709064
49,12.25,1215.7167281029674
50,12.5,1334.2229146472228
51,12.75,1352.3140136369486
52,13.0,1425.7690875348344
53,13.25,1317.0121812956645
54,13.5,1419.4128313818683
55,13.75,1390.5660979185923
56,14.0,1318.632526666756
57,14.25,1341.2461916409393
58,14.5,1310.747618557912
59,14.75,1386.0862783760292
60,15.0,1339.8156840718027
61,15.25,1367.4645768962835
62,15.5,1319.9219752939293
63,15.75,1384.8570558330987
64,16.0,1258.927114060387
65,16.25,1428.8738612616385
66,16.5,1549.66367065851
67,16.75,1488.7997275633838
68,17.0,1527.6361369179517
69,17.25,1748.1141901073604
70,17.5,1479.3551259226426
71,17.75,1414.228270185637
72,18.0,1336.906554443362
73,18.25,1285.9716436489673
74,18.5,1305.112507578139
75,18.75,1306.6849637911216
76,19.0,1308.8515631886894
77,19.25,1259.970296378491
78,19.5,1522.921221380534
79,19.75,1421.5327443461492
80,20.0,1540.3495721367333
81,20.25,1375.8666617601455
82,20.5,1506.5776528602996
83,20.75,1557.6546460848401
84,21.0,1385.8607396878822
85,21.25,1517.1228582921601
86,21.5,1501.2725548041667
87,21.75,1700.2506568908827
88,22.0,1516.781804942966
89,22.25,1554.9081680673237
90,22.5,1428.9576891926797
91,22.75,1376.123721144171
92,23.0,1450.6988307302852
93,23.25,1371.9396039139467
94,23.5,1490.4905556739755
95,23.75,1527.3770242254996
96,24.0,1367.209587893534
97,24.25,1239.0248038399036
98,24.5,1371.6097992904863
99,24.75,1197.7673276187238
100,25.0,1258.4288587889027
101,25.25,1298.1189516234278
102,25.5,1334.0705352268483
103,25.75,1281.6469628527166
104,26.0,1505.1400193333222
105,26.25,1384.6713468312512
106,26.5,1557.858278266155
107,26.75,1396.8330135891347
108,27.0,1349.1665722178561
109,27.25,1333.081348429428
110,27.5,1192.4300012080116
111,27.75,1389.0960355260681
112,28.0,1321.4564986749788
113,28.25,1561.4571319601766
114,28.5,1415.5241167164006
115,28.75,1428.6274671920316
116,29.0,1376.5795243959392
117,29.25,1508.006778034354
118,29.5,1529.3256327426661
119,29.75,1347.8301782641518
120,30.0,1154.6713145476751
121,30.25,1191.0017977615255
122,30.5,1433.5584231142184
123,30.75,1368.759599024138
124,31.0,1264.4551888796511
125,31.25,1457.5532444209937
126,31.5,1322.9264066804112
127,31.75,1568.2319365585752
128,32.0,1768.4634142916896
129,32.25,1561.4374609074887
130,32.5,1568.517631401568
131,32.75,1515.51305106283
132,33.0,1435.6164575678056
133,33.25,1507.0507524952736
134,33.5,1500.471630853603
135,33.75,1536.9024435765607
136,34.0,1510.9575900864822
137,34.25,1543.5784796953492
138,34.5,1662.4998694558
139,34.75,1740.5428249815088
140,35.0,1589.019633694232
141,35.25,1477.186672209678
142,35.5,1464.4934712861907
143,35.75,1453.0802767221912
144,36.0,1413.747991935889
145,36.25,1374.8363212614772
146,36.5,1490.6916638913206
147,36.75,1669.9743362458169
148,37.0,1501.1142737401283
149,37.25,1534.9248989813973
150,37.5,1451.9885418296353
151,37.75,1538.322022278399
152,38.0,1433.7097300517562
153,38.25,1772.3325018955622
154,38.5,1601.4126250914708
155,38.75,1454.859715224676
156,39.0,1593.5900951553028
157,39.25,1453.9160474502182
158,39.5,1509.2145376073329
159,39.75,1466.8867921800822
160,40.0,1610.3506849406153
161,40.25,1454.8912288954707
162,40.5,1359.37470514308
163,40.75,1560.4863574064163
164,41.0,1402.3053143044144
165,41.25,1355.2192220903933
166,41.5,1708.951542048629
167,41.75,1486.517970489088
168,42.0,1661.7496289374642
169,42.25,1459.6009842611013
170,42.5,1567.7054076818276
171,42.75,1413.4383294388554
172,43.0,1291.9763544757304
173,43.25,1366.76458708219
174,43.5,1440.6095137144807
175,43.75,1381.4699659584842
176,44.0,1458.6289889221243
177,44.25,1631.125445489899
178,44.5,1395.4203759793902
179,44.75,1446.7288564395228
180,45.0,1548.8568993295962
181,45.25,1577.146604676123
182,45.5,1499.5517650869012
183,45.75,1460.057567984089
184,46.0,1508.355541976413
185,46.25,1585.1219900905426
186,46.5,1591.4051317671222
187,46.75,1483.6066722476537
188,47.0,1730.244948875542
189,47.25,1588.3420604118749
190,47.5,1419.3132068919915
191,47.75,1484.2950616169578
192,48.0,1565.109592177885
193,48.25,1697.4971238140809
194,48.5,1501.9647592122988
195,48.75,1531.0724753613008
196,49.0,1471.781550860088
197,49.25,1499.1192956395264
198,49.5,1424.2836327603686
199,49.75,1458.9121538371244
200,50.0,1667.3202537017535
201,50.25,1501.1457387394253
202,50.5,1324.863293775827
203,50.75,1352.884931617134
204,51.0,1284.2015973504172
205,51.25,1531.1888291764928
206,51.5,1515.900424935713
207,51.75,1597.1784424008652
208,52.0,1405.2890827649485
209,52.25,1592.2378689095328
210,52.5,1276.5336676508825
211,52.75,1412.8977056419833
212,53.0,1417.5246310508705
213,53.25,1513.0180654468788
214,53.5,1383.2718228830506
215,53.75,1345.772061816558
216,54.0,1462.8538516057733
217,54.25,1538.2450946578397
218,54.5,1652.279218454435
219,54.75,1708.8401523901364
220,55.0,1606.7521614323036
221,55.25,1539.9658540677694
222,55.5,1340.6723805428169
223,55.75,1713.634715432639
224,56.0,1537.510800387216
225,56.25,1383.2135318356536
226,56.5,1583.4097045568983
227,56.75,1395.3640060172215
228,57.0,1330.627343803144
229,57.25,1288.7994382578368
230,57.5,1605.7519180500306
231,57.75,1508.7261761639259
232,58.0,1492.9241201001578
233,58.25,1378.0869210970268
234,58.5,1146.6304467837833
235,58.75,1333.9330989321697
236,59.0,1463.0658825859232
237,59.25,1607.0758639946312
238,59.5,1439.5966837209344
239,59.75,1440.3337252738106
240,60.0,1390.7788102970983
241,60.25,1424.4891226044192
242,60.5,1328.7282419104795
243,60.75,1488.8405575535867
244,61.0,1461.5785538233824
245,61.25,1769.4147280772627
246,61.5,1502.5838913291875
247,61.75,1511.2835770912259
248,62.0,1554.5420243279132
249,62.25,1511.070402960409
250,62.5,1442.6260548679318
251,62.75,1381.9798895207302
252,63.0,1605.8049903675137
253,63.25,1487.4200234176449
254,63.5,1701.462526273251
255,63.75,1493.6802439884038
256,64.0,1348.138441531972
257,64.25,1574.3625620508556
258,64.5,1537.290387737919
259,64.75,1461.402010973855
260,65.0,1588.4322342713515
261,65.25,1585.6260017612722
262,65.5,1742.019451064736
263,65.75,1600.2750066401334
264,66.0,1566.0622031361445
265,66.25,1437.0664465478028
266,66.5,1406.2362941173008
267,66.75,1710.5407205627325
268,67.0,1684.6414905282666
269,67.25,1474.8243632788033
270,67.5,1509.6718230662611
271,67.75,1602.5351107080926
272,68.0,1531.869619087674
273,68.25,1538.603000568953
274,68.5,1645.08708030089
275,68.75,1449.465915669333
276,69.0,1442.4880825001624
277,69.25,1468.8281058798377
278,69.5,1472.9766454904054
279,69.75,1460.902927267776
280,70.0,1228.0053763312537
281,70.25,1358.9325737076022
282,70.5,1300.6916620107027
283,70.75,1578.2436801811418
284,71.0,1442.0655017508118
285,71.25,1720.3190700632047
286,71.5,1429.3793596234943
287,71.75,1546.3427100076076
288,72.0,1639.6030927611905
289,72.25,1456.5379550269504
290,72.5,1453.7044564001553
291,72.75,1441.5376637071327
292,73.0,1601.2943161488674
293,73.25,1404.5205209417811
294,73.5,1468.8428720098764
295,73.75,1560.2036150603474
296,74.0,1386.9251130758369
297,74.25,1490.146243717669
298,74.5,1524.2802689414875
299,74.75,1492.4411849334388
300,75.0,1525.2811659328677
301,75.25,1494.701176550096
302,75.5,1404.3115889787773
303,75.75,1493.608595746385
304,76.0,1379.6856377371178
305,76.25,1495.5164211773722
306,76.5,1738.6414523574733
307,76.75,1572.7552308517604
308,77.0,1727.7509423420336
309,77.25,1464.3233802962418
310,77.5,1573.6367157791296
311,77.75,1461.5534998452183
312,78.0,1666.9283005602852
313,78.25,1553.2855300372892
314,78.5,1635.6192798651048
315,78.75,1616.9313387561122
316,79.0,1507.4595458898782
317,79.25,1495.2740245249108
318,79.5,1473.8029019550274
319,79.75,1476.1528521116243
320,80.0,1435.3062298065986
321,80.25,1350.4726221068622
322,80.5,1505.5787280751701
323,80.75,1293.1565706008287
324,81.0,1259.2755981701698
325,81.25,1435.0952450142747
326,81.5,1506.1145677516752
327,81.75,1420.604734867267
328,82.0,1300.0051116406833
329,82.25,1522.11145639941
330,82.5,1498.3480430400668
331,82.75,1468.4608196446766
332,83.0,1651.996653091118
333,83.25,1426.65601049313
334,83.5,1509.5808146882002
335,83.75,1462.0494341757412
336,84.0,1488.1286255225377
337,84.25,1697.1963925033847
338,84.5,1470.7859595775146
339,84.75,1560.566063133618
340,85.0,1557.8447057828232
341,85.25,1504.048459604887
342,85.5,1616.9821896808553
343,85.75,1406.0630760914921
344,86.0,1473.6062843690943
345,86.25,1523.22731558215
346,86.5,1344.5630688750905
347,86.75,1540.8831662213047
348,87.0,1547.1818233166023
349,87.25,1473.1535676061321
350,87.5,1495.9957640389844
351,87.75,1492.666919288517
352,88.0,1467.5558322729335
353,88.25,1543.4607381854676
354,88.5,1457.8905410043328
355,88.75,1477.3733840908887
356,89.0,1501.6537120453343
357,89.25,1530.384996731091
358,89.5,1545.358299810165
359,89.75,1392.3458138047577
360,90.0,1359.494118050773
361,90.25,1471.8107158920243
362,90.5,1476.7412351606963
363,90.75,1415.7645403350202
364,91.0,1611.1715901454686
365,91.25,1517.2362823762776
366,91.5,1502.5675839323535
367,91.75,1745.1769159793719
368,92.0,1477.3479004152591
369,92.25,1582.9120059525428
370,92.5,1594.2817285614985
371,92.75,1648.3063959586698
372,93.0,1413.5328648799625
373,93.25,1491.7903454994287
374,93.5,1698.12491029495
375,93.75,1788.2287995488766
376,94.0,1646.5390573990853
377,94.25,1548.9982739383308
378,94.5,1413.7959578201535
379,94.75,1464.9176867127403
380,95.0,1390.3234349956376
381,95.25,1302.2885222243196
382,95.5,1222.0245856495364
383,95.75,1265.140852369779
384,96.0,1401.8854355098758
385,96.25,1471.6868760269715
386,96.5,1364.5235151431987
387,96.75,1172.9552292252536
388,97.0,1287.7046838460499
389,97.25,1171.5628869338188
390,97.5,1212.3691939435582
391,97.75,1319.098092343315
392,98.0,1362.2235290222864
393,98.25,1242.8363698231144
394,98.5,1261.1588771396428
395,98.75,1301.4546514845479
396,99.0,1343.3870128169665
397,99.25,1341.529296686238
398,99.5,1614.7990777703503
399,99.75,1152.949362977332
400,100.0,1214.4683674420346
401,100.25,1069.4659905036424
402,100.5,1150.7968707170162
403,100.75,1062.5041319982424
404,101.0,1151.9590747691598
405,101.25,1479.6634222556754
406,101.5,1218.8645722869949
407,101.75,1207.6891026230878
408,102.0,1154.4123552387975
409,102.25,1156.0781471643004
410,102.5,1234.7696668279216
411,102.75,1159.4802305293924
412,103.0,1180.1676539567068
413,103.25,1536.7749146145584
414,103.5,1419.7914034635203
415,103.75,1511.386631216658
416,104.0,1508.7790715452918
417,104.25,1636.7871217170284
418,104.5,1684.511398160778
419,104.75,1391.6992759831633
420,105.0,1638.7225728280596
421,105.25,1605.9771544980958
422,105.5,1532.5470632137153
423,105.75,1616.8598067075181
424,106.0,1529.3795102566464
425,106.25,1485.6483133204229
426,106.5,1416.509635095525
427,106.75,1524.9277650705621
428,107.0,1513.3896929538637
429,107.25,1522.4214183047775
430,107.5,1439.8674992176377
431,107.75,1587.0992141306158
432,108.0,1595.1835163201217
