Timestamp,GPU Power (W),VM SKU
1749596364.977204,278.7925400897677,Standard_ND96amsr_A100_v4
1749596365.227204,277.80093382733287,Standard_ND96amsr_A100_v4
1749596365.477204,276.80932756489796,Standard_ND96amsr_A100_v4
1749596365.727204,278.7925400897677,Standard_ND96amsr_A100_v4
1749596365.977204,277.2124090403811,Standard_ND96amsr_A100_v4
1749596366.227204,277.2124090403811,Standard_ND96amsr_A100_v4
1749596366.477204,277.92060024349024,Standard_ND96amsr_A100_v4
1749596366.727204,278.96527140160634,Standard_ND96amsr_A100_v4
1749596366.977204,279.16304446272477,Standard_ND96amsr_A100_v4
1749596367.227204,279.16304446272477,Standard_ND96amsr_A100_v4
1749596367.477204,279.7706986379205,Standard_ND96amsr_A100_v4
1749596367.727204,280.07297423165437,Standard_ND96amsr_A100_v4
1749596367.977204,279.7706986379205,Standard_ND96amsr_A100_v4
1749596368.227204,278.22390361841684,Standard_ND96amsr_A100_v4
1749596368.477204,278.62520352701534,Standard_ND96amsr_A100_v4
1749596368.727204,278.22390361841684,Standard_ND96amsr_A100_v4
1749596368.977204,277.4073366480515,Standard_ND96amsr_A100_v4
1749596369.227204,277.4073366480515,Standard_ND96amsr_A100_v4
1749596369.477204,275.1207910646075,Standard_ND96amsr_A100_v4
1749596369.727204,275.1207910646075,Standard_ND96amsr_A100_v4
1749596369.977204,276.34226827588446,Standard_ND96amsr_A100_v4
1749596370.227204,278.6617053621496,Standard_ND96amsr_A100_v4
1749596370.477204,276.34226827588446,Standard_ND96amsr_A100_v4
1749596370.727204,277.0893829944976,Standard_ND96amsr_A100_v4
1749596370.977204,278.5941174275953,Standard_ND96amsr_A100_v4
1749596371.227204,278.5941174275953,Standard_ND96amsr_A100_v4
1749596371.477204,278.5941174275953,Standard_ND96amsr_A100_v4
1749596371.727204,278.5941174275953,Standard_ND96amsr_A100_v4
1749596371.977204,278.86683666206756,Standard_ND96amsr_A100_v4
1749596372.227204,278.86683666206756,Standard_ND96amsr_A100_v4
1749596372.477204,278.5385621217463,Standard_ND96amsr_A100_v4
1749596372.727204,278.5385621217463,Standard_ND96amsr_A100_v4
1749596372.977204,290.62859660888216,Standard_ND96amsr_A100_v4
1749596373.227204,278.2506899710206,Standard_ND96amsr_A100_v4
1749596373.477204,277.80832761998556,Standard_ND96amsr_A100_v4
1749596373.727204,277.3255628793548,Standard_ND96amsr_A100_v4
1749596373.977204,277.0507524542079,Standard_ND96amsr_A100_v4
