Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741941195.4976804,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,guanaco,0.25,1,33,554,11.511701107025146
1741941218.8123617,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,34,199,12.427744150161743
1741941219.8781004,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,166,182,22.463759660720825
1741941240.8691244,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,23,217,3.4407336711883545
1741941245.7269604,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,9,228,5.089572429656982
1741941233.550459,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,122,70,18.695698261260986
1741941229.2093666,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scibench,0.25,1,50,395,27.59937882423401
1741941210.0832343,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,0.25,1,32,619,52.47412705421448
1741941222.2878013,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,leetcode_ne,0.25,1,358,528,43.49918222427368
1741941273.9967566,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,30,349,9.357776880264282
1741941263.566987,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,0.25,1,44,725,19.818702936172485
1741941279.0826619,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,airoboros,0.25,1,52,92,8.7199068069458
1741941268.271725,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,43,307,23.399243116378784
1741941240.806144,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,21,455,54.709388971328735
1741941290.5760524,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,124,172,5.939733505249023
1741941263.1372654,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,198,209,33.977020263671875
1741941250.380008,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,85,405,47.12445616722107
1741941286.9852362,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,232,162,13.353061199188232
1741941263.688396,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,48,488,37.45046830177307
1741941252.0347369,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,71,347,50.91277241706848
1741941302.668034,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scienceqa,0.25,1,41,50,5.197909116744995
1741941296.4165134,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,63,561,12.95617961883545
1741941290.6463706,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,179,99,22.60475468635559
1741941250.558446,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,ARB,0.25,1,509,304,73.63230562210083
1741941307.7796793,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,230,109,17.171527862548828
1741941301.992093,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,42,388,25.66154909133911
1741941330.68974,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,37,230,5.5632054805755615
1741941328.5967689,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,MATH/PRM-800K,0.25,1,29,367,9.46364426612854
1741941329.4909184,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reclor,0.25,1,121,88,8.708958387374878
1741941330.2249732,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,scienceqa,0.25,1,106,74,7.99284291267395
