timestamp,query.start,query.end,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu,pstate,power.limit [W],clocks_event_reasons.sw_power_cap,clocks_event_reasons.hw_slowdown,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown
2026/07/25 10:20:36.505,2026/07/25 10:20:36.490,2026/07/25 10:20:36.519,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,88.59,1410,1593,0,0,73509,33,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:36.505,2026/07/25 10:20:36.490,2026/07/25 10:20:36.519,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.05,1410,1593,0,0,73509,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:36.754,2026/07/25 10:20:36.740,2026/07/25 10:20:36.768,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,88.23,1410,1593,0,0,73509,33,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:36.754,2026/07/25 10:20:36.740,2026/07/25 10:20:36.768,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73509,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:37.008,2026/07/25 10:20:36.990,2026/07/25 10:20:37.026,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,88.23,1410,1593,0,0,73509,33,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:37.008,2026/07/25 10:20:36.990,2026/07/25 10:20:37.026,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.05,1410,1593,0,0,73509,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:37.254,2026/07/25 10:20:37.240,2026/07/25 10:20:37.268,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,88.50,1410,1593,0,0,73509,33,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:37.254,2026/07/25 10:20:37.240,2026/07/25 10:20:37.268,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.05,1410,1593,0,0,73509,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:37.506,2026/07/25 10:20:37.490,2026/07/25 10:20:37.521,0,GPU-c5d32af0-0857-3b36-6541-1a688a9ec165,88.23,1410,1593,0,0,73509,33,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/07/25 10:20:37.506,2026/07/25 10:20:37.490,2026/07/25 10:20:37.521,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.78,1410,1593,0,0,73509,31,P0,500.00,Not Active,Not Active,Not Active,Not Active
