metric,value
val_f1,0.38744830002534975
val_precision,0.48086128699433184
val_recall,0.5048671402262562
ece,0.07088850333334051
autocorr_r2,1.0
transition_mae,48.015976
final_train_loss,1.0164119166632493
final_val_loss,1.28249595562617
val_accuracy,0.5048671402262562
