metric,value
val_f1,0.6074068345896364
val_precision,0.6656922167255092
val_recall,0.6327383213064945
ece,0.05596575069267517
autocorr_r2,1.0
transition_mae,246.94199
final_train_loss,0.9425853292147318
final_val_loss,1.023890773455302
val_accuracy,0.6327383213064945
