epoch,train_loss,val_loss,lr
0.0,2.2433322497776578,2.0999284088611603,0.001
1.0,1.9196479377292452,1.9960172176361084,0.001
2.0,1.6995203154427665,1.995776742696762,0.001
3.0,1.6678664911360968,1.9940335154533386,0.001
4.0,1.615761643364316,2.0016720294952393,0.001
5.0,1.6466030677159627,2.045701026916504,0.001
6.0,1.595496995108468,2.004425436258316,0.001
7.0,1.675266180719648,1.97321355342865,0.001
8.0,1.578857504186176,1.9724806249141693,0.001
9.0,1.6149818329584031,2.0266054272651672,0.001
10.0,1.5785459734144665,1.9800443053245544,0.001
11.0,1.6361911807741438,1.95871239900589,0.001
12.0,1.5629970232645671,1.9480446577072144,0.001
13.0,1.5919955855324155,1.9935822784900665,0.001
14.0,1.565109031541007,1.9543741345405579,0.001
15.0,1.6007972898937406,1.9879890084266663,0.001
16.0,1.5653065698487418,1.9420671463012695,0.001
17.0,1.5934461922872634,1.9657134711742401,0.001
18.0,1.5603830048016138,1.9348753988742828,0.001
19.0,1.577262716633933,1.949459969997406,0.001
20.0,1.5526765272730874,1.9280792772769928,0.001
21.0,1.5684607454708643,1.9593292772769928,0.001
22.0,1.5533946468716575,1.9253564476966858,0.001
23.0,1.5649859053747994,1.9362930953502655,0.001
24.0,1.5416101898465837,1.9162718057632446,0.001
25.0,1.5494547088940938,1.9367501139640808,0.001
26.0,1.5352472152028764,1.913147121667862,0.001
27.0,1.5430019327572413,1.9273025691509247,0.001
28.0,1.53140442995798,1.8935159742832184,0.001
29.0,1.526192838237399,1.9111579060554504,0.001
30.0,1.5036197276342482,1.9159947335720062,0.001
31.0,1.5551284778685797,1.8835565149784088,0.001
32.0,1.501102986789885,1.861940324306488,0.001
33.0,1.4996334740093775,1.860569804906845,0.001
34.0,1.4848898422150385,1.8613086938858032,0.001
35.0,1.4936594736008417,1.867270678281784,0.001
36.0,1.4777880878675551,1.843279480934143,0.001
37.0,1.4859355035282316,1.8303970694541931,0.001
38.0,1.45863980338687,1.8345580697059631,0.001
39.0,1.4602104538962954,1.839893490076065,0.001
40.0,1.4491491147450037,1.8106474876403809,0.001
41.0,1.4361231185141063,1.8123071491718292,0.001
42.0,1.4420288602511089,1.8210128247737885,0.001
43.0,1.4375145179884774,1.8645269274711609,0.001
44.0,1.451922887847537,1.9088373482227325,0.001
45.0,1.452036372252873,1.910216897726059,0.001
46.0,1.4835335158166432,1.8946399986743927,0.001
47.0,1.4581903786886306,1.8686266839504242,0.001
48.0,1.468988333429609,1.9064008295536041,0.001
49.0,1.448234186286018,1.8444554507732391,0.001
50.0,1.4617001925195967,1.8209978640079498,0.001
51.0,1.4258316613378978,1.8173476457595825,0.001
52.0,1.4234726372219266,1.8208793699741364,0.001
53.0,1.4188943959417797,1.8026643097400665,0.001
54.0,1.4226924890563601,1.86910942196846,0.001
55.0,1.4271553669657027,1.8293400406837463,0.001
56.0,1.439890824613117,1.8417329788208008,0.001
57.0,1.430393397808075,1.8080706298351288,0.001
