rps,mean_power_w,std_power_w
0.0625,563.7010615525925,35.99645537180676
0.125,631.1354393053783,28.93177830665333
0.25,735.8418979921532,55.45125851350731
0.5,833.4992985658097,16.761341329543544
0.75,943.2975170124388,28.681620595714044
1.0,1023.9766651607466,59.91316363814433
1.5,1107.2468802823078,39.4383405322135
2.0,1188.4131255815585,12.932859262934384
3.0,1280.9081407305798,35.650466344000634
4.0,1359.6057133731022,21.83817946150078
6.0,1500.8843468768418,11.91008719274922
8.0,1545.8421788931264,11.24065815203124
12.0,1574.1973490076211,6.608380489361966
16.0,1576.6723965555707,8.727311387953337
24.0,1578.2416510835894,7.893772477226458
32.0,1577.8260117802072,7.726781433180313
40.0,1577.6336691690726,7.637837734596907
48.0,1577.8012242789057,7.419568013681055
56.0,1578.3292408260454,8.57696993948525
64.0,1577.3102732411166,7.269487301605083
