dense_time_s,dense_measured_w_per_gpu,dense_predicted_w_per_gpu,moe_time_s,moe_measured_w_per_gpu,moe_predicted_w_per_gpu
0,316.0575,359.2974000383625,0,252.395,244.8443295513276
1,314.86,341.7396827735396,1,279.60125,236.65789246647333
2,338.255,342.2434427216032,2,248.98999999999998,221.38697977167976
3,358.15,363.88299736201594,3,314.2625,269.5548330814188
4,326.13750000000005,363.4219242894124,4,260.78375,261.94968765270914
5,370.5725,346.1196076663104,5,331.12249999999995,293.25507659139373
6,366.04,349.8422841864394,6,375.52750000000003,296.6971678260706
7,349.0875,353.1273389784344,7,365.36375,283.8954347418251
8,327.52,346.2137615250232,8,362.6825,291.8930877910799
9,322.2075,342.02486710452513,9,368.51249999999993,285.79151781375947
10,325.98749999999995,341.6683586643832,10,355.88124999999997,276.1367835305183
11,320.39,343.1640226540486,11,355.82375,279.122693545233
12,330.5875,341.9867719968203,12,362.39375,290.34081802171147
13,368.21000000000004,352.8705331706334,13,371.26125,296.553176585596
14,330.9925,348.0381485148342,14,368.95,289.5504363035391
15,331.20750000000004,358.34008879398505,15,358.66625,228.15377384843282
16,330.59000000000003,338.88603108372365,16,267.6125,155.53134967212168
17,418.78249999999997,361.85499638390604,17,214.09749999999997,186.76122689386557
18,326.58250000000004,341.64797019836317,18,246.55124999999998,218.84153928220303
19,333.625,345.07195164953254,19,300.75374999999997,247.0590230868554
20,331.8375,344.4795818301621,20,302.7575,235.53114435939528
21,331.11,338.75012335551867,21,295.275,250.05199490482255
22,333.105,346.93886960136916,22,363.17375,287.5321156624793
23,322.28499999999997,345.18190342109455,23,360.25375,288.90513101992406
24,342.64,354.6340146252788,24,367.375,276.1725670167409
25,358.02500000000003,363.038318062911,25,306.17125,223.30674647782962
26,326.3675,354.51897401306474,26,254.85375,225.57891373782127
27,411.745,365.59711192570677,27,271.34125,234.907684707234
28,371.8525,349.9380736316,28,263.33625,202.13027315713725
29,339.27750000000003,341.3671925543591,29,277.47875,224.27854279389703
30,339.0975,350.6476159413684,30,318.3275,262.54101064125325
31,330.8,344.7205348503104,31,369.6625,310.3358201686183
32,356.11249999999995,343.5594024562896,32,373.72375,315.6544419225918
33,406.7575,373.0081501268386,33,364.1625,313.4544562081428
34,338.0425,339.1612269156594,34,372.67,319.82241311480084
35,340.1025,344.0573090204125,35,367.69750000000005,294.7238239630933
36,330.71,346.2991718434166,36,361.73625,296.56372246393676
37,345.67,339.74980317537313,37,370.24625000000003,297.3585808828966
38,331.815,347.42395128326854,38,366.4525,266.65376901852505
39,333.3025,346.1469616579585,39,326.15125,240.55203445596362
40,393.315,345.08644543914176,40,322.30875,257.2369300705718
41,336.945,342.40503251768416,41,321.3575,264.7216086921876
42,330.35499999999996,340.5514117735181,42,317.55125000000004,239.27715666799077
43,325.71750000000003,340.72737757882953,43,283.40875,221.61392154751093
44,335.0275,348.0823497930794,44,230.76624999999999,160.3906254465369
45,407.76,380.4067815580612,45,135.65125,121.93484176645052
46,328.0,345.27479272099174,46,209.24,194.63391582106578
47,331.305,339.4089385641961,47,309.1325,260.11989771886374
48,333.195,344.91690878631624,48,274.8,232.54004952423338
49,335.5175,349.2053014170325,49,236.36625,184.16631390360726
50,375.85249999999996,340.9918518260887,50,244.76,193.2153984546885
51,337.3925,349.1704023530195,51,255.1875,214.44778178580873
52,330.46999999999997,339.24466070695723,52,271.83625,233.65501250421403
53,328.28499999999997,337.0317487928225,53,256.37874999999997,218.3594672103104
54,368.5875,359.6625879551923,54,284.7625,229.75946972364682
55,338.9425,346.7277864311936,55,290.3825,249.63249141616188
56,334.84749999999997,344.2331753750043,56,333.70875,284.4645444583807
57,335.5575,341.0593648434718,57,361.10499999999996,286.6237519330407
58,337.995,352.1512159211383,58,333.895,271.1987841262494
59,337.69,347.92511836055536,59,338.135,258.74571018332836
60,339.93999999999994,347.3597983232427,60,318.75374999999997,257.61116368573676
61,336.3675,346.77449794562705,61,300.65125,237.74976642191177
62,371.25,356.65559876306037,62,315.58124999999995,258.17995215207566
63,380.34749999999997,352.89389543729345,63,301.15374999999995,205.73566824515183
64,377.8625,365.8626265343037,64,202.90875000000003,137.60205256715244
65,353.1225,371.1131571583078,65,225.945,205.58446995358418
66,364.28,345.8746893632039,66,251.6575,220.4417249475914
67,332.315,354.4589666064575,67,276.83875,239.6268426296483
68,403.0675,376.9728550923085,68,340.685,276.8165663612226
69,326.54499999999996,346.4460588737512,69,368.1,304.3099874500158
70,321.27250000000004,344.4458403289957,70,384.61125,313.402345028333
71,321.5075,349.4082474018512,71,384.9275,311.15402214929145
72,319.31,351.6524976118876,72,377.27,309.8252790236684
73,328.0525,341.8583941458395,73,376.44125,282.99638192099883
74,354.4675,364.77545270177615,74,377.54,273.16786552654594
75,335.9325,342.0668358125188,75,377.46875,292.85248597953796
76,336.0825,340.5025142727492,76,380.10749999999996,290.89354741694024
77,340.99,351.0848663362772,77,379.24125000000004,287.5438780607701
78,341.265,338.8769658751725,78,375.7725,298.6435773850417
79,381.4625,351.13393787218604,79,368.57250000000005,268.3874341278088
80,376.55,353.735605925797,80,351.77250000000004,255.77168478369367
81,328.53249999999997,332.92584654763664,81,365.01875,273.31752978098393
82,352.8125,339.82843294660387,82,378.45,292.82380452140205
83,328.295,346.094137505232,83,377.99,300.9911004338883
84,370.305,347.9811297944549,84,344.045,229.4507361088081
85,375.4125,352.2727503587207,85,305.59375,218.523398656861
86,341.30499999999995,344.85075680311377,86,328.89750000000004,261.5455408606431
87,338.64750000000004,339.1199230897317,87,357.3575,289.69302675723793
88,336.73,338.4596581960891,88,375.77874999999995,312.7611545980926
89,333.915,337.6574396028677,89,375.05125,309.9243318734352
90,330.5025,356.9450987087823,90,378.02625,303.78553121098594
91,334.6325,348.64392212333564,91,375.36875,282.4214982737176
92,426.22,358.18596756764987,92,347.09499999999997,249.37412346165547
93,333.635,338.0625847359883,93,339.515,232.6623244298271
94,337.23,337.8167186242257,94,288.51874999999995,229.96249214752697
95,333.1475,336.04560197578013,95,259.37625,215.8001187441905
96,365.40999999999997,345.4528855102049,96,208.62625000000003,153.2072110145573
97,330.015,336.9578330218271,97,206.76,183.53961400364915
98,329.38250000000005,334.6666132844945,98,240.08749999999998,211.2981207925859
99,374.94,349.79550283212825,99,260.07624999999996,221.36448947598
100,327.815,356.60534627686513,100,260.7525,220.7812466524183
101,337.06,342.87846116862636,101,246.66750000000002,213.04165481247855
102,396.835,373.1411360785122,102,243.78874999999996,212.48265920144695
103,357.225,339.94858703983584,103,253.64375,219.1430784512886
104,339.04,352.1327686620725,104,313.8975,265.18106482860367
105,336.1125,340.32345651713547,105,360.1225,301.5561692896763
106,330.96,339.57170534296796,106,376.73125,307.2455978691769
107,334.5875,350.06274654688184,107,355.23875,263.02252180837604
108,338.59,344.9070383766143,108,353.73875,269.197741040658
109,336.4525,343.5910080133766,109,327.19875,246.38144824673327
110,379.54,359.43064736007443,110,224.78125000000003,164.5167781519658
111,336.69,339.84933162374375,111,234.78625000000002,196.94203626492163
112,336.725,348.1989187786729,112,163.755,138.5653502488467
113,339.22,351.0675616855735,113,251.20999999999998,218.55662428839787
114,393.3875,349.0698656529137,114,325.41125,267.27422900960573
115,337.02,351.09708801532463,115,341.6425,255.76256937771177
116,379.4175,365.1086828132002,116,274.83625,211.78299848131246
117,433.4725,359.53348681055644,117,190.65625,129.90862861360984
118,341.0175,357.15196409908117,118,129.35875,119.87101546798658
119,337.15,357.1761661243238,119,132.59625,126.52255934437835
120,323.6975,356.0528808275429,120,196.88500000000002,172.0993516477347
121,337.29499999999996,351.4703352159647,121,226.67375,198.84290061285992
122,335.1325,341.31658080339776,122,271.98749999999995,234.9283390703131
123,338.84,351.55268828446697,123,294.9975,240.6242161248756
124,381.145,358.07027105186614,124,299.52875,251.00384128723817
125,319.3125,352.2590934436994,125,293.78125,246.76984407651253
126,323.9275,352.2482193144246,126,345.13874999999996,284.088561113228
127,337.1325,340.5120776219547,127,376.74499999999995,312.401726823794
128,337.6625,338.4958808766112,128,382.66749999999996,296.2587693214782
129,336.7325,337.97170035643705,129,356.925,252.28056004249538
130,337.85,338.8834679312005,130,293.03,230.54657321075047
131,330.67499999999995,338.1532546192992,131,281.33125,242.13211820384913
132,330.5375,336.1412503336112,132,277.28125,232.7778663984418
133,330.4225,358.37328278254955,133,283.82,228.79209688635456
134,350.865,344.8297294982289,134,261.5575,226.01589394090843
135,383.76750000000004,373.5820616470677,135,330.66375,278.1993550097304
136,399.42499999999995,357.3917635276278,136,345.0775,276.08099871017293
137,336.97749999999996,342.88084499848804,137,297.21375,229.77991125299195
138,374.47,361.06588376067236,138,275.19625,230.55794495780174
139,330.8475,338.4249837589206,139,318.0375,251.53810976090608
140,335.735,342.54377712463884,140,312.38,235.9734892109991
141,383.72499999999997,352.9155510921213,141,294.69875,252.8847412427167
142,335.175,339.79987299468985,142,314.24125000000004,251.1025155884745
143,338.475,338.9066990644694,143,330.44124999999997,276.7013276144935
144,340.3175,338.21106296943464,144,361.47875,305.40123661691905
145,341.5875,358.35610421879863,145,370.60749999999996,299.4950094633332
146,390.545,379.7251258506099,146,382.71125,298.37612344094305
147,383.56999999999994,362.5859019095446,147,367.91625,289.9882597196429
148,337.0525,346.69972583538913,148,358.2975,286.47127531535807
149,326.9625,353.2876714464161,149,363.67625,305.82426229459816
150,356.9225,353.3584638724516,150,382.115,300.0707206289826
151,368.4925,355.01035367230827,151,376.295,302.3872909392903
152,324.47,368.5825233504744,152,371.71000000000004,278.6169831962543
153,338.17499999999995,343.8255512476949,153,338.43499999999995,209.22338088565448
154,345.945,341.54955605123,154,246.24875,150.48984598840798
155,335.39,346.40499222704943,155,315.90125,260.05504901985114
156,339.9125,347.4427855899181,156,352.7475,290.8188606538406
157,339.085,341.7410938631285,157,337.16125,283.86516212878996
158,330.425,339.4824957384012,158,368.4575,291.2296673707824
159,334.3375,339.0508082145851,159,333.765,270.0375341428389
160,378.44,349.1836666338602,160,306.04125,232.895859703116
161,337.205,352.2337839004652,161,262.4925,156.57368841867537
162,338.0425,352.15397073549764,162,158.46375,127.78046280197486
163,349.1125,339.7665865231123,163,212.7025,194.41020847243453
164,378.615,350.81867183545717,164,251.75375,220.6713495354088
165,358.9575,350.25971857996507,165,278.99125,229.98414721821246
166,351.9825,348.2665259315355,166,223.68875,160.98916833316798
167,363.16249999999997,353.88413694617867,167,181.6425,158.9275927670933
168,330.72,342.4747410742494,168,272.42375000000004,225.89868298262627
