stratum_0_time_s,stratum_0_measured_w_per_gpu,stratum_0_predicted_w_per_gpu,stratum_1_time_s,stratum_1_measured_w_per_gpu,stratum_1_predicted_w_per_gpu,stratum_2_time_s,stratum_2_measured_w_per_gpu,stratum_2_predicted_w_per_gpu
0,244.0775,306.45993440904806,0,240.26000000000002,301.24210878121767,0,150.94,119.5175590118921
1,294.3625,302.07721870219075,1,188.825,93.87543108185164,1,87.355,122.37865894487346
2,288.6,305.9628637107467,2,85.36,85.36,2,85.7475,107.88122829950817
3,240.185,216.26903311464963,3,85.14999999999999,85.36,3,288.6025,306.1250179971756
4,139.855,149.5348926312231,4,85.1025,85.36,4,292.8375,304.4115167906147
5,239.82,286.3548513604338,5,85.14999999999999,85.36,5,189.0025,219.88810845857816
6,324.1775,306.1018873516417,6,85.10249999999999,85.36,6,112.28,114.48082913851604
7,290.795,301.0480381992687,7,84.9975,85.36,7,88.4675,107.26590349975646
8,285.105,301.8849298240981,8,84.99749999999999,85.36,8,91.65249999999999,113.81147753587341
9,295.96000000000004,300.4459078309759,9,84.99749999999999,85.36,9,86.9625,127.44407541076791
10,296.1775,302.5932034371784,10,85.08,85.36,10,89.6225,112.73500681978166
11,245.8075,304.8982209198076,11,84.97749999999999,90.10548550109544,11,344.085,320.83195160343735
12,254.98000000000002,225.8284951726069,12,240.9875,300.5918446794611,12,285.5525,305.6318661049246
13,242.0125,303.73866909735824,13,188.755,171.31384472885975,13,298.905,306.1791256303715
14,297.5475,300.3740194757487,14,85.725,85.36,14,282.9875,306.0407360358096
15,295.125,308.2081961752864,15,85.57750000000001,85.36,15,287.84749999999997,304.6871771924093
16,287.3725,300.87705485762575,16,85.47,85.36,16,281.5875,306.03555070933805
17,211.025,129.43797820142817,17,85.3125,85.36,17,140.97,142.88942558990098
18,241.35500000000002,307.18058898212587,18,85.5275,85.36,18,338.055,320.22102148284534
19,295.045,300.8721363602972,19,85.36,85.36,19,284.87750000000005,305.3698007900841
20,98.805,106.91511076868171,20,85.36,85.36,20,286.16249999999997,303.7626060321138
21,88.17999999999999,86.63028195775046,21,85.46249999999999,85.36,21,282.4425,306.6320733002608
22,238.975,307.2338192039622,22,85.2425,85.36,22,286.0775,305.09517178547344
23,296.715,305.9382427838125,23,85.36,85.36,23,289.03999999999996,303.30847858616846
24,241.02749999999997,258.8667624642104,24,85.36,85.36,24,258.235,306.6078025828223
25,89.17499999999998,86.88418550078474,25,85.28999999999999,85.36,25,268.0275,306.40817285876744
26,244.23000000000002,307.16531513765096,26,85.29,85.36,26,327.645,305.5459249261556
27,296.65000000000003,300.3939248606257,27,85.31,85.36,27,159.9475,216.8434270416209
28,245.20749999999998,234.18978035554522,28,85.15,85.36,28,89.32000000000001,107.14039160141724
29,184.2125,153.6435418187343,29,85.22,85.36,29,91.02,114.61872767083045
30,242.55,304.59961112302375,30,85.28999999999999,85.36,30,90.05,115.41360280549091
31,212.70250000000004,166.4280665554005,31,85.22,85.36,31,88.42250000000001,108.27745719203844
