epoch,train_total_loss,train_nll,train_mu_loss,val_total_loss,val_nll,val_mu_loss,mean_sigma,mean_alpha,lr
0.0,1.258618958791097,1.1475647608439128,1.1105420549710592,1.1738399267196655,1.0810645818710327,0.9277533491452535,1.089996886253357,0.45417303442955015,0.001
1.0,1.2046515385309855,1.0994742870330811,1.0517725050449371,1.1280053853988647,1.0374496976534526,0.9055569171905518,1.031931753953298,0.4320160349210103,0.001
2.0,1.1543427149454752,1.0534015774726868,1.0094113926092783,1.0830622911453247,0.9940552910168966,0.8900697827339172,0.9770830233891805,0.4104478081067403,0.001
3.0,1.1057791511217754,1.007917288939158,0.9786185880502065,1.0381938815116882,0.9502454996109009,0.8794837395350138,0.9240747451782226,0.3888973573843638,0.001
4.0,1.0585110584894817,0.9628720760345459,0.9563898324966431,0.9937137961387634,0.9064968824386597,0.872169017791748,0.8724612633387248,0.3674541711807251,0.001
5.0,1.013055411974589,0.919042185942332,0.9401323139667511,0.9500201145807902,0.8633359869321188,0.8668411473433176,0.8231678366661072,0.3462490240732829,0.001
6.0,0.9696815927823385,0.876893142859141,0.9278844773769379,0.9074759284655253,0.8212154507637024,0.8626046677430471,0.7764164328575134,0.32548784613609316,0.001
7.0,0.9287845730781555,0.8369573593139649,0.9182721396287282,0.866542379061381,0.78065953652064,0.8588285744190216,0.7323927760124207,0.3053815225760142,0.001
8.0,0.8908368349075317,0.7998014648755392,0.9103536347548167,0.8277320067087809,0.7422433296839396,0.85488693912824,0.6913330674171447,0.2861020028591156,0.001
9.0,0.8563524007797241,0.7660439252853394,0.9030847112337749,0.791667103767395,0.7065890431404114,0.8507806261380514,0.6536932627360026,0.2678119073311488,0.001
10.0,0.8257903615633647,0.7361424207687378,0.8964793582757314,0.758817732334137,0.6741686662038168,0.8464905718962351,0.619841440518697,0.2506686598062515,0.001
11.0,0.7993040601412456,0.7102654973665873,0.8903855462869008,0.7293786207834879,0.6451751192410787,0.8420350154240926,0.5901199539502462,0.23481717705726624,0.001
12.0,0.7765905936559041,0.6881186207135518,0.8847198108832042,0.703225314617157,0.6194784839948019,0.837468147277832,0.5645247519016265,0.2203870564699173,0.001
13.0,0.7572383403778076,0.6692934274673462,0.8794491589069366,0.6801148851712545,0.5968273083368937,0.8328758279482523,0.542812309662501,0.20748400688171387,0.001
14.0,0.7406594753265381,0.6532032529513041,0.8745622277259827,0.6596813996632894,0.5768446127573649,0.8283678491910299,0.5244377215703329,0.196075635155042,0.001
15.0,0.7266072193781535,0.6396021286646525,0.8700508534908294,0.6416095693906149,0.559203306833903,0.8240624864896139,0.5089079717795054,0.18623502155145008,0.001
16.0,0.7150656342506408,0.6284766753514608,0.8658895949522655,0.6258835196495056,0.5438927710056305,0.8199073970317841,0.49597222208976743,0.177859823902448,0.001
