epoch,train_total_loss,train_nll,train_mu_loss,val_total_loss,val_nll,val_mu_loss,mean_sigma,mean_alpha,lr
0.0,1.2356349542027427,1.0932981315113248,1.4233682357839175,1.1431902514563665,1.0327424539460077,1.1044778360260858,1.0615815321604412,0.43989354584898266,0.001
1.0,1.1153788495631445,0.9815886957304818,1.3379014893656684,1.0357904367976718,0.9302142726050483,1.055761648548974,0.9302104328359876,0.3920139209145591,0.001
2.0,0.9943034478596279,0.866684886671248,1.276185634235541,0.9304310414526198,0.828685634666019,1.0174540049499936,0.8094253398123241,0.3444873243570328,0.001
3.0,0.8747860562233698,0.7515007967040652,1.2328526704084306,0.8335442543029785,0.7348885999785529,0.9865565780136321,0.6986991308984303,0.29876769582430523,0.001
4.0,0.7632491758891514,0.6430668781201044,1.2018229546291488,0.7567907439337836,0.6607148746649424,0.9607587224907346,0.5998511044752031,0.2562564246001698,0.001
5.0,0.670989392768769,0.5530784669376555,1.1791092508605547,0.7114459673563639,0.6175649927722083,0.9388098004791472,0.5182252370175862,0.21817694178649358,0.001
6.0,0.6065843453009924,0.4901639098922412,1.164204334928876,0.6935475832886167,0.6013645198610094,0.9218306574556563,0.4594113599686396,0.18607215281753314,0.001
7.0,0.5660456032270477,0.45054053231364205,1.1550506924589474,0.6879154543081919,0.5971959928671519,0.9071945432159636,0.4219795422894614,0.16033556010751498,0.001
8.0,0.5402166992425919,0.4253418809246449,1.1487481757288887,0.6858758595254686,0.5961603389845954,0.8971552153428396,0.3990882329997562,0.14040286936575458,0.001
9.0,0.5252322416220393,0.41006803583531154,1.1516420844764936,0.6842808226744334,0.5955233441458808,0.887574682633082,0.38468637601250694,0.12550319332097257,0.001
10.0,0.5182201743480706,0.40238973116945653,1.1583043879696302,0.6829330060217116,0.5948843881487846,0.8804861605167389,0.37464612012817744,0.11441997349971816,0.001
11.0,0.5199159685344923,0.40248989553323816,1.1742607379953067,0.681462738249037,0.5941303960151143,0.8733232319355011,0.36704362006414504,0.10592737173040707,0.001
