Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency
1741937359.8583043,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,201,139,3.516752004623413
1741937360.3781414,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,21,125,3.1666579246520996
1741937359.5488906,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,66,164,4.141271591186523
1741937351.4568717,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,487,510,12.884786367416382
1741937358.5513334,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,73,233,5.86338472366333
1741937359.7032685,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,14,192,4.8082029819488525
1741937358.7898738,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,25,232,5.817799806594849
1741937358.5270345,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,47,253,6.342242479324341
1741937348.4327497,meta-llama/Llama-3.1-8B-Instruct,guanaco,2.0,2,21,653,16.460628032684326
1741937347.8572524,meta-llama/Llama-3.1-8B-Instruct,guanaco,2.0,2,30,687,17.27670931816101
1741937360.6638265,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,180,219,5.400015592575073
1741937352.5448005,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,230,572,14.311370134353638
1741937362.1196337,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,44,218,5.316940069198608
1741937365.616639,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,193,108,2.6356637477874756
1741937363.9871318,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,55,191,4.6230292320251465
1741937348.211198,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,646,821,20.51776123046875
1741937348.410658,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,357,860,21.448810338974
1741937366.795954,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,169,140,3.4280641078948975
1741937344.6863387,meta-llama/Llama-3.1-8B-Instruct,scibench,2.0,2,119,1030,25.63576364517212
1741937369.5295017,meta-llama/Llama-3.1-8B-Instruct,scienceqa,2.0,2,23,44,1.1363637447357178
1741937365.2276807,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,25,225,5.488592624664307
1741937367.1047845,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,160,188,4.612713813781738
1741937361.759162,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,41,412,10.056050062179565
1741937370.553471,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,126,124,3.0504958629608154
1741937371.1374688,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,277,120,2.9573543071746826
1741937370.30688,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,15,191,4.685952186584473
1741937373.6396506,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,155,76,1.8880867958068848
1741937333.7919004,meta-llama/Llama-3.1-8B-Instruct,airoboros,2.0,2,36,1794,43.797935009002686
1741937376.7862563,meta-llama/Llama-3.1-8B-Instruct,scienceqa,2.0,2,51,32,0.8280117511749268
1741937371.0320768,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,29,296,7.278048276901245
1741937369.0444217,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,2.0,2,140,378,9.291271209716797
1741937373.7880235,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,44,235,5.811542272567749
1741937373.1574383,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,77,283,6.993938207626343
1741937365.4882681,meta-llama/Llama-3.1-8B-Instruct,airoboros,2.0,2,37,681,16.7121102809906
1741937369.8442996,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,69,507,12.533170461654663
1741937366.7006335,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,549,638,15.702420473098755
1741937367.1280687,meta-llama/Llama-3.1-8B-Instruct,airoboros,2.0,2,52,698,17.208152294158936
1741937369.1648438,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,73,627,15.52408218383789
1741937377.9810362,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,62,276,6.960405349731445
1741937376.5758162,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,49,337,8.467962265014648
1741937378.7952235,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,115,260,6.548285722732544
1741937381.5568125,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,68,196,4.963526725769043
1741937380.0178866,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,167,266,6.730103969573975
1741937375.424843,meta-llama/Llama-3.1-8B-Instruct,airoboros,2.0,2,78,455,11.399065494537354
1741937370.1273017,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,612,681,16.924677848815918
1741937380.9289145,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,214,255,6.448011636734009
1741937386.6570055,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,134,61,1.5804359912872314
1741937378.263579,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,52,407,10.249486923217773
1741937377.483202,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,35,438,11.031648397445679
1741937384.8762965,meta-llama/Llama-3.1-8B-Instruct,airoboros,2.0,2,61,152,3.8586554527282715
1741937379.475156,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,2.0,2,213,382,9.62868618965149
1741937354.8148406,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,257,1420,35.19695806503296
1741937385.3572798,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,40,190,4.778796195983887
1741937329.359137,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,30,2507,61.14135146141052
1741937386.285471,meta-llama/Llama-3.1-8B-Instruct,reclor,2.0,2,170,173,4.338116407394409
1741937369.7950292,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,270,842,20.904558897018433
1741937385.3288054,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,50,242,6.046244859695435
1741937376.4154315,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,2.0,2,29,606,15.127856969833374
