node_id,row,rack,node,file,num_requests,seed,status,reason,num_timesteps,min_power_w,max_power_w,mean_power_w,uses_ar1
0,0,0,0,node_0_0_0.npy,12725,42,evaluated,,345600,327.6845,2186.1205704055114,888.7949847006798,False
1,0,0,1,node_0_0_1.npy,12843,1051,evaluated,,345600,327.6845,2147.098462601577,892.0099657924338,False
2,0,0,2,node_0_0_2.npy,12649,2060,evaluated,,345600,327.6845,2138.678784884404,883.361568709329,False
3,0,0,3,node_0_0_3.npy,12860,3069,evaluated,,345600,327.6845,2072.047017445472,892.8758618157647,False
4,0,1,0,node_0_1_0.npy,12891,4078,evaluated,,345600,327.6845,2053.7443511894253,892.4664649519474,False
5,0,1,1,node_0_1_1.npy,12916,5087,evaluated,,345600,327.6845,2061.8062805023906,892.1713745835959,False
6,0,1,2,node_0_1_2.npy,12611,6096,evaluated,,345600,327.6845,2046.0903433684778,889.9692819230443,False
7,0,1,3,node_0_1_3.npy,12907,7105,evaluated,,345600,327.6845,2113.2564153142016,892.3719977676582,False
8,0,2,0,node_0_2_0.npy,12603,8114,evaluated,,345600,327.6845,2016.1763889996141,883.8118342212482,False
9,0,2,1,node_0_2_1.npy,12806,9123,evaluated,,345600,327.6845,2101.632877044871,888.9480892697297,False
10,0,2,2,node_0_2_2.npy,12723,10132,evaluated,,345600,327.6845,2049.5384307033064,889.1971316022407,False
11,0,2,3,node_0_2_3.npy,12915,11141,evaluated,,345600,327.6845,2070.4999189554637,889.0031723466353,False
12,0,3,0,node_0_3_0.npy,12822,12150,evaluated,,345600,327.6845,2118.251667912474,887.5676905241025,False
13,0,3,1,node_0_3_1.npy,12689,13159,evaluated,,345600,327.6845,2027.621165355075,885.4717432982158,False
14,0,3,2,node_0_3_2.npy,12664,14168,evaluated,,345600,327.6845,2079.209939706066,884.9923722400122,False
15,0,3,3,node_0_3_3.npy,12713,15177,evaluated,,345600,327.6845,2079.8498430285317,890.5929009961419,False
16,0,4,0,node_0_4_0.npy,12601,16186,evaluated,,345600,327.6845,2162.8405707090046,883.5084626022026,False
17,0,4,1,node_0_4_1.npy,12848,17195,evaluated,,345600,327.6845,2118.088734950882,894.3780317252612,False
18,0,4,2,node_0_4_2.npy,12678,18204,evaluated,,345600,327.6845,2081.453341929261,883.3944231432038,False
19,0,4,3,node_0_4_3.npy,12948,19213,evaluated,,345600,327.6845,2032.07287556181,890.4718646306472,False
20,0,5,0,node_0_5_0.npy,12816,20222,evaluated,,345600,327.6845,2083.7055907878416,894.4062138431732,False
21,0,5,1,node_0_5_1.npy,12957,21231,evaluated,,345600,327.6845,2112.3850723457304,893.8377394148393,False
22,0,5,2,node_0_5_2.npy,12840,22240,evaluated,,345600,327.6845,2101.4945365536887,891.2822722025982,False
23,0,5,3,node_0_5_3.npy,12740,23249,evaluated,,345600,327.6845,2098.233663394628,885.0445414030162,False
24,1,0,0,node_1_0_0.npy,12845,24258,evaluated,,345600,327.6845,2064.5247593207014,892.2257306559843,False
25,1,0,1,node_1_0_1.npy,12955,25267,evaluated,,345600,327.6845,2073.616964347666,896.6907208118625,False
26,1,0,2,node_1_0_2.npy,12822,26276,evaluated,,345600,327.6845,2029.780413259939,892.7912828147801,False
27,1,0,3,node_1_0_3.npy,12898,27285,evaluated,,345600,327.6845,2118.2972213846115,891.693300001959,False
28,1,1,0,node_1_1_0.npy,12834,28294,evaluated,,345600,327.6845,2098.3323221193914,891.2713677897145,False
29,1,1,1,node_1_1_1.npy,12948,29303,evaluated,,345600,327.6845,2150.1117976166556,895.5432106673928,False
30,1,1,2,node_1_1_2.npy,12810,30312,evaluated,,345600,327.6845,2108.626044352291,888.9414280498945,False
31,1,1,3,node_1_1_3.npy,12820,31321,evaluated,,345600,327.6845,2069.43024271742,888.2681438989653,False
32,1,2,0,node_1_2_0.npy,12526,32330,evaluated,,345600,327.6845,2125.966321506902,882.2506539277556,False
33,1,2,1,node_1_2_1.npy,12891,33339,evaluated,,345600,327.6845,2086.610234373938,891.2282601988585,False
34,1,2,2,node_1_2_2.npy,12793,34348,evaluated,,345600,327.6845,2110.105612009946,893.4064017890913,False
35,1,2,3,node_1_2_3.npy,12611,35357,evaluated,,345600,327.6845,2057.4035025463013,885.7765108620805,False
36,1,3,0,node_1_3_0.npy,12895,36366,evaluated,,345600,327.6845,2106.5941053687984,895.0742993550296,False
37,1,3,1,node_1_3_1.npy,12922,37375,evaluated,,345600,327.6845,2088.437942011122,889.772112493989,False
38,1,3,2,node_1_3_2.npy,12797,38384,evaluated,,345600,327.6845,2044.2695447556482,891.7866283913221,False
39,1,3,3,node_1_3_3.npy,12730,39393,evaluated,,345600,327.6845,2066.4482144878575,890.1282785239557,False
40,1,4,0,node_1_4_0.npy,12792,40402,evaluated,,345600,327.6845,2019.4397519861275,884.6431330568121,False
41,1,4,1,node_1_4_1.npy,12678,41411,evaluated,,345600,327.6845,2041.98204010603,887.8458260539135,False
42,1,4,2,node_1_4_2.npy,12902,42420,evaluated,,345600,327.6845,2083.0641691450346,893.4696268707638,False
43,1,4,3,node_1_4_3.npy,12891,43429,evaluated,,345600,327.6845,2125.8801476419094,898.9078233936788,False
44,1,5,0,node_1_5_0.npy,12738,44438,evaluated,,345600,327.6845,2085.9940570282633,887.535504495357,False
45,1,5,1,node_1_5_1.npy,12905,45447,evaluated,,345600,327.6845,2129.465574444123,891.109798524959,False
46,1,5,2,node_1_5_2.npy,12829,46456,evaluated,,345600,327.6845,2125.5088130194827,892.987550129191,False
47,1,5,3,node_1_5_3.npy,12937,47465,evaluated,,345600,327.6845,2122.4173712887387,892.9918633614024,False
48,2,0,0,node_2_0_0.npy,12719,48474,evaluated,,345600,327.6845,2060.880241543353,887.2888491271806,False
49,2,0,1,node_2_0_1.npy,12901,49483,evaluated,,345600,327.6845,2130.028115605123,890.6943979786231,False
50,2,0,2,node_2_0_2.npy,12929,50492,evaluated,,345600,327.6845,2047.7233319688469,889.8491071500177,False
51,2,0,3,node_2_0_3.npy,12540,51501,evaluated,,345600,327.6845,2146.4626147850763,882.5816514166393,False
52,2,1,0,node_2_1_0.npy,12781,52510,evaluated,,345600,327.6845,2080.1139420195473,890.7638686558977,False
53,2,1,1,node_2_1_1.npy,12954,53519,evaluated,,345600,327.6845,2046.330698315485,894.8458434385717,False
54,2,1,2,node_2_1_2.npy,12566,54528,evaluated,,345600,327.6845,2100.551250087194,884.2377346945775,False
55,2,1,3,node_2_1_3.npy,12688,55537,evaluated,,345600,327.6845,2077.7069114028122,886.9285768977987,False
56,2,2,0,node_2_2_0.npy,12907,56546,evaluated,,345600,327.6845,2086.432864524045,890.8586058999384,False
57,2,2,1,node_2_2_1.npy,12866,57555,evaluated,,345600,327.6845,2113.266870371075,892.2391410396817,False
58,2,2,2,node_2_2_2.npy,12876,58564,evaluated,,345600,327.6845,2054.641941659641,898.6609612644392,False
59,2,2,3,node_2_2_3.npy,12886,59573,evaluated,,345600,327.6845,2104.8757258427295,891.5906950994222,False
60,2,3,0,node_2_3_0.npy,12823,60582,evaluated,,345600,327.6845,2106.5680749546796,889.8571879874349,False
61,2,3,1,node_2_3_1.npy,12889,61591,evaluated,,345600,327.6845,2134.301713405196,894.4478274028435,False
62,2,3,2,node_2_3_2.npy,12770,62600,evaluated,,345600,327.6845,2106.552653885199,889.6558988850759,False
63,2,3,3,node_2_3_3.npy,12779,63609,evaluated,,345600,327.6845,2028.6022746114509,888.9866857191987,False
64,2,4,0,node_2_4_0.npy,12758,64618,evaluated,,345600,327.6845,2104.4571675723178,888.0880815551147,False
65,2,4,1,node_2_4_1.npy,12852,65627,evaluated,,345600,327.6845,2077.962951350507,892.2353410273166,False
66,2,4,2,node_2_4_2.npy,12751,66636,evaluated,,345600,327.6845,2130.6445312056285,886.9251482675123,False
67,2,4,3,node_2_4_3.npy,12857,67645,evaluated,,345600,327.6845,2116.060063588128,888.9532702677739,False
68,2,5,0,node_2_5_0.npy,12974,68654,evaluated,,345600,327.6845,2036.7577706650993,894.9433850314572,False
69,2,5,1,node_2_5_1.npy,12653,69663,evaluated,,345600,327.6845,2141.141643816893,885.2956164161044,False
70,2,5,2,node_2_5_2.npy,12972,70672,evaluated,,345600,327.6845,2110.5395484539386,891.8166434199118,False
71,2,5,3,node_2_5_3.npy,12715,71681,evaluated,,345600,327.6845,2077.9280183125356,887.5004733471466,False
72,3,0,0,node_3_0_0.npy,12790,72690,evaluated,,345600,327.6845,2098.877120751161,891.4459442430312,False
73,3,0,1,node_3_0_1.npy,12798,73699,evaluated,,345600,327.6845,2060.4918162210374,890.4606833915673,False
74,3,0,2,node_3_0_2.npy,12915,74708,evaluated,,345600,327.6845,2035.1818114831328,890.7943076408854,False
75,3,0,3,node_3_0_3.npy,12895,75717,evaluated,,345600,327.6845,2072.0793608492972,896.0291975438286,False
76,3,1,0,node_3_1_0.npy,12770,76726,evaluated,,345600,327.6845,2099.621830797566,889.1945320971749,False
77,3,1,1,node_3_1_1.npy,12537,77735,evaluated,,345600,327.6845,2059.7714132183414,880.3740420117884,False
78,3,1,2,node_3_1_2.npy,12905,78744,evaluated,,345600,327.6845,2070.251911989352,887.1950743255985,False
79,3,1,3,node_3_1_3.npy,12842,79753,evaluated,,345600,327.6845,2128.757079950475,891.7572741865241,False
80,3,2,0,node_3_2_0.npy,12633,80762,evaluated,,345600,327.6845,2009.6783058180283,890.2405160570372,False
81,3,2,1,node_3_2_1.npy,12782,81771,evaluated,,345600,327.6845,2079.169249028923,893.5069986538845,False
82,3,2,2,node_3_2_2.npy,12915,82780,evaluated,,345600,327.6845,2085.5124057740613,894.2896516201931,False
83,3,2,3,node_3_2_3.npy,12649,83789,evaluated,,345600,327.6845,2069.4764986970135,882.8748050004585,False
84,3,3,0,node_3_3_0.npy,12772,84798,evaluated,,345600,327.6845,2049.232673484275,883.5713022909714,False
85,3,3,1,node_3_3_1.npy,12806,85807,evaluated,,345600,327.6845,2047.6014243618922,890.1090077911556,False
86,3,3,2,node_3_3_2.npy,12690,86816,evaluated,,345600,327.6845,2018.090004432326,889.1237147196188,False
87,3,3,3,node_3_3_3.npy,12672,87825,evaluated,,345600,327.6845,2114.702071319418,887.0434396103885,False
88,3,4,0,node_3_4_0.npy,12890,88834,evaluated,,345600,327.6845,2133.635761435933,892.8820554660916,False
89,3,4,1,node_3_4_1.npy,12719,89843,evaluated,,345600,327.6845,2142.046426885214,885.7125943416997,False
90,3,4,2,node_3_4_2.npy,12750,90852,evaluated,,345600,327.6845,2063.841755453373,890.4044360182336,False
