method,node_id,row,rack,node,file,generation_mode,timing_mode,num_requests,seed,status,reason,num_timesteps,min_power_w,max_power_w,mean_power_w
ours,162,6,4,2,ours/node_6_4_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12809,163500,evaluated,,345600,560.95,2865.2069871395975,730.3228683060756
ours,163,6,4,3,ours/node_6_4_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12798,164509,evaluated,,345600,560.95,2855.7771270674516,725.8495045813443
ours,164,6,5,0,ours/node_6_5_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12824,165518,evaluated,,345600,560.95,2859.029131583342,727.9902883422554
ours,165,6,5,1,ours/node_6_5_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12860,166527,evaluated,,345600,560.95,2871.3978962117,726.5782754972286
ours,166,6,5,2,ours/node_6_5_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12620,167536,evaluated,,345600,560.95,2869.7603139058347,723.9600037922853
ours,167,6,5,3,ours/node_6_5_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12676,168545,evaluated,,345600,560.95,2876.0345296492937,727.0895987922914
ours,168,7,0,0,ours/node_7_0_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,13054,169554,evaluated,,345600,560.95,2857.3460776863694,728.8358673573046
ours,169,7,0,1,ours/node_7_0_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12675,170563,evaluated,,345600,560.95,2854.259955765436,726.0481494636554
ours,170,7,0,2,ours/node_7_0_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12961,171572,evaluated,,345600,560.95,2889.5956880789636,725.8559096584643
ours,171,7,0,3,ours/node_7_0_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12730,172581,evaluated,,345600,560.95,2861.973940462685,725.0155640054509
ours,172,7,1,0,ours/node_7_1_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12694,173590,evaluated,,345600,560.95,2857.775856514238,727.4137809446879
ours,173,7,1,1,ours/node_7_1_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12703,174599,evaluated,,345600,560.95,2852.1301636900816,722.2697398023879
ours,174,7,1,2,ours/node_7_1_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12852,175608,evaluated,,345600,560.95,2866.727368303825,728.784239263038
ours,175,7,1,3,ours/node_7_1_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12890,176617,evaluated,,345600,560.95,2862.4630867559754,729.9500073311191
ours,176,7,2,0,ours/node_7_2_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12623,177626,evaluated,,345600,560.95,2862.750042606114,722.1617095290317
ours,177,7,2,1,ours/node_7_2_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12698,178635,evaluated,,345600,560.95,2858.575942029415,724.0729992485641
ours,178,7,2,2,ours/node_7_2_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12776,179644,evaluated,,345600,560.95,2867.607892053523,723.4392321017941
ours,179,7,2,3,ours/node_7_2_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12789,180653,evaluated,,345600,560.95,2852.7474732239652,724.8096958159172
ours,180,7,3,0,ours/node_7_3_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12673,181662,evaluated,,345600,560.95,2864.2612759304957,725.9767454139476
ours,181,7,3,1,ours/node_7_3_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12962,182671,evaluated,,345600,560.95,2851.6057581058394,727.5723519295955
ours,182,7,3,2,ours/node_7_3_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12866,183680,evaluated,,345600,560.95,2857.4394454181847,731.849379187568
ours,183,7,3,3,ours/node_7_3_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12628,184689,evaluated,,345600,560.95,2860.040049623365,724.6761803287227
ours,184,7,4,0,ours/node_7_4_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12864,185698,evaluated,,345600,560.95,2852.886632054817,720.6715467057887
ours,185,7,4,1,ours/node_7_4_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12824,186707,evaluated,,345600,560.95,2862.6680635506136,730.2145900907212
ours,186,7,4,2,ours/node_7_4_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12713,187716,evaluated,,345600,560.95,2858.698226490865,723.3562901203078
ours,187,7,4,3,ours/node_7_4_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12932,188725,evaluated,,345600,560.95,2876.7594684565647,727.4396635975637
ours,188,7,5,0,ours/node_7_5_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12897,189734,evaluated,,345600,560.95,2857.5515702209555,728.7945207832952
ours,189,7,5,1,ours/node_7_5_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12611,190743,evaluated,,345600,560.95,2865.4074796535615,725.4197778999893
ours,190,7,5,2,ours/node_7_5_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12811,191752,evaluated,,345600,560.95,2862.636022614336,727.6633318561844
ours,191,7,5,3,ours/node_7_5_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12946,192761,evaluated,,345600,560.95,2865.2520821307257,721.2030134767587
ours,192,8,0,0,ours/node_8_0_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12730,193770,evaluated,,345600,560.95,2865.316939615813,720.3471147051883
ours,193,8,0,1,ours/node_8_0_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12919,194779,evaluated,,345600,560.95,2881.2032238824986,727.1741022339339
ours,194,8,0,2,ours/node_8_0_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12511,195788,evaluated,,345600,560.95,2871.144221115405,723.2377592798455
ours,195,8,0,3,ours/node_8_0_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12696,196797,evaluated,,345600,560.95,2859.6961878609454,721.5807003853455
ours,196,8,1,0,ours/node_8_1_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12917,197806,evaluated,,345600,560.95,2868.2521840307495,724.5666239379291
ours,197,8,1,1,ours/node_8_1_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12800,198815,evaluated,,345600,560.95,2875.3496636137493,725.9385451827028
ours,198,8,1,2,ours/node_8_1_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12817,199824,evaluated,,345600,560.95,2883.368573027,724.6083608904798
ours,199,8,1,3,ours/node_8_1_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12757,200833,evaluated,,345600,560.95,2878.5825712689652,726.6037925716812
ours,200,8,2,0,ours/node_8_2_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,13007,201842,evaluated,,345600,560.95,2868.729738200199,730.2698683212702
ours,201,8,2,1,ours/node_8_2_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12896,202851,evaluated,,345600,560.95,2861.599740538869,726.746357391536
ours,202,8,2,2,ours/node_8_2_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12628,203860,evaluated,,345600,560.95,2861.573714675223,723.8795553689312
ours,203,8,2,3,ours/node_8_2_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12953,204869,evaluated,,345600,560.95,2865.1097294284955,727.1912515035365
ours,204,8,3,0,ours/node_8_3_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12616,205878,evaluated,,345600,560.95,2860.959310662182,727.3138458119874
ours,205,8,3,1,ours/node_8_3_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12862,206887,evaluated,,345600,560.95,2853.995313287425,729.6601506295801
ours,206,8,3,2,ours/node_8_3_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12932,207896,evaluated,,345600,560.95,2865.16527866525,726.2963062925703
ours,207,8,3,3,ours/node_8_3_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12782,208905,evaluated,,345600,560.95,2874.0038358934007,726.3705123898026
ours,208,8,4,0,ours/node_8_4_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12816,209914,evaluated,,345600,560.95,2859.46171234869,723.1130806153571
ours,209,8,4,1,ours/node_8_4_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12844,210923,evaluated,,345600,560.95,2867.6123938939754,730.7614457015535
ours,210,8,4,2,ours/node_8_4_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12848,211932,evaluated,,345600,560.95,2867.4613136510093,725.0271724629478
ours,211,8,4,3,ours/node_8_4_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12875,212941,evaluated,,345600,560.95,2869.5862576675463,726.5593416604673
ours,212,8,5,0,ours/node_8_5_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12863,213950,evaluated,,345600,560.95,2851.7772580968312,723.451954640219
ours,213,8,5,1,ours/node_8_5_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12710,214959,evaluated,,345600,560.95,2866.269331704213,724.3204929563302
ours,214,8,5,2,ours/node_8_5_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12908,215968,evaluated,,345600,560.95,2859.1683781853903,724.5558905153113
ours,215,8,5,3,ours/node_8_5_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12729,216977,evaluated,,345600,560.95,2871.6893646608924,723.7848273734264
ours,216,9,0,0,ours/node_9_0_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12884,217986,evaluated,,345600,560.95,2854.168014178362,730.8411591022905
ours,217,9,0,1,ours/node_9_0_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12549,218995,evaluated,,345600,560.95,2872.9790678482987,721.0633631711581
ours,218,9,0,2,ours/node_9_0_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12763,220004,evaluated,,345600,560.95,2856.0699569531253,724.9049713767995
ours,219,9,0,3,ours/node_9_0_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12866,221013,evaluated,,345600,560.95,2856.976804431551,728.7083508883236
ours,220,9,1,0,ours/node_9_1_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12846,222022,evaluated,,345600,560.95,2850.642446864716,726.4127144003867
ours,221,9,1,1,ours/node_9_1_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12919,223031,evaluated,,345600,560.95,2870.063849322543,732.527617857532
ours,222,9,1,2,ours/node_9_1_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12788,224040,evaluated,,345600,560.95,2863.007595021799,723.1835759493744
ours,223,9,1,3,ours/node_9_1_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12535,225049,evaluated,,345600,560.95,2867.876421756342,728.3055812882227
ours,224,9,2,0,ours/node_9_2_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12724,226058,evaluated,,345600,560.95,2868.338918007258,726.5191929510623
ours,225,9,2,1,ours/node_9_2_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12621,227067,evaluated,,345600,560.95,2856.92224754614,722.8653562494571
ours,226,9,2,2,ours/node_9_2_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12493,228076,evaluated,,345600,560.95,2858.568139069162,725.1050923431374
ours,227,9,2,3,ours/node_9_2_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12755,229085,evaluated,,345600,560.95,2873.1917654383883,731.1479078242209
ours,228,9,3,0,ours/node_9_3_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12790,230094,evaluated,,345600,560.95,2872.9251484784872,722.1423379738111
ours,229,9,3,1,ours/node_9_3_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12837,231103,evaluated,,345600,560.95,2891.2984123098026,722.5948631071144
ours,230,9,3,2,ours/node_9_3_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12915,232112,evaluated,,345600,560.95,2863.295524763531,726.4674467891435
ours,231,9,3,3,ours/node_9_3_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12863,233121,evaluated,,345600,560.95,2871.8551342262626,724.0296864094917
ours,232,9,4,0,ours/node_9_4_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,13044,234130,evaluated,,345600,560.95,2862.735647355128,728.3013588411969
ours,233,9,4,1,ours/node_9_4_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12814,235139,evaluated,,345600,560.95,2862.2051943682864,725.5837107536533
ours,234,9,4,2,ours/node_9_4_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12660,236148,evaluated,,345600,560.95,2878.5502815071877,723.6082992359961
ours,235,9,4,3,ours/node_9_4_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12650,237157,evaluated,,345600,560.95,2864.533440954459,720.0348891123715
ours,236,9,5,0,ours/node_9_5_0.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12923,238166,evaluated,,345600,560.95,2863.6607851731806,728.0725808879072
ours,237,9,5,1,ours/node_9_5_1.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12933,239175,evaluated,,345600,560.95,2880.3693745092864,723.8246137341172
ours,238,9,5,2,ours/node_9_5_2.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12958,240184,evaluated,,345600,560.95,2855.958911760742,730.6215346950959
ours,239,9,5,3,ours/node_9_5_3.npy,selected_request_scheduler_power,selected_vllm_v1_decode_first,12690,241193,evaluated,,345600,560.95,2874.2098621390874,721.8303647260425
splitwise_strict,0,0,0,0,splitwise_strict/node_0_0_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12725,42,evaluated,,345600,571.6218749999997,3256.8834374999997,832.6404151634306
splitwise_strict,1,0,0,1,splitwise_strict/node_0_0_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12843,1051,evaluated,,345600,571.6218749999997,3256.852983398437,834.2136501042636
splitwise_strict,2,0,0,2,splitwise_strict/node_0_0_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12649,2060,evaluated,,345600,571.6218749999997,3256.8834374999997,828.8967769439884
splitwise_strict,3,0,0,3,splitwise_strict/node_0_0_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12860,3069,evaluated,,345600,571.6218749999997,3256.8834374999997,837.5803455015091
splitwise_strict,4,0,1,0,splitwise_strict/node_0_1_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12891,4078,evaluated,,345600,571.6218749999997,3256.873286132812,834.355717566401
splitwise_strict,5,0,1,1,splitwise_strict/node_0_1_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12916,5087,evaluated,,345600,571.6218749999997,3256.8834374999997,832.1713108354271
splitwise_strict,6,0,1,2,splitwise_strict/node_0_1_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12611,6096,evaluated,,345600,571.6218749999997,3256.8834374999997,835.2059242197488
splitwise_strict,7,0,1,3,splitwise_strict/node_0_1_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12907,7105,evaluated,,345600,571.6218749999997,3256.8834374999997,834.3122444904435
splitwise_strict,8,0,2,0,splitwise_strict/node_0_2_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12603,8114,evaluated,,345600,571.6218749999997,3256.873286132812,832.3351134889464
splitwise_strict,9,0,2,1,splitwise_strict/node_0_2_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12806,9123,evaluated,,345600,571.6218749999997,3256.8834374999997,833.1121428065397
splitwise_strict,10,0,2,2,splitwise_strict/node_0_2_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12723,10132,evaluated,,345600,571.6218749999997,3256.8834374999997,832.0483952099778
splitwise_strict,11,0,2,3,splitwise_strict/node_0_2_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12915,11141,evaluated,,345600,571.6218749999997,3256.873286132812,832.1566208319413
splitwise_strict,12,0,3,0,splitwise_strict/node_0_3_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12822,12150,evaluated,,345600,571.6218749999997,3256.852983398437,830.4607260027109
splitwise_strict,13,0,3,1,splitwise_strict/node_0_3_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12689,13159,evaluated,,345600,571.6218749999997,3256.8834374999997,828.2483937768932
splitwise_strict,14,0,3,2,splitwise_strict/node_0_3_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12664,14168,evaluated,,345600,571.6218749999997,3256.8834374999997,825.748116701422
splitwise_strict,15,0,3,3,splitwise_strict/node_0_3_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12713,15177,evaluated,,345600,571.6218749999997,3256.8834374999997,835.569299431063
splitwise_strict,16,0,4,0,splitwise_strict/node_0_4_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12601,16186,evaluated,,345600,571.6218749999997,3256.8834374999997,826.2301003269349
splitwise_strict,17,0,4,1,splitwise_strict/node_0_4_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12848,17195,evaluated,,345600,571.6218749999997,3256.873286132812,834.7512570003993
splitwise_strict,18,0,4,2,splitwise_strict/node_0_4_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12678,18204,evaluated,,345600,571.6218749999997,3256.8834374999997,824.1531631856986
splitwise_strict,19,0,4,3,splitwise_strict/node_0_4_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12948,19213,evaluated,,345600,571.6218749999997,3256.8631347656246,831.1547647710852
splitwise_strict,20,0,5,0,splitwise_strict/node_0_5_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12816,20222,evaluated,,345600,571.6218749999997,3256.8834374999997,837.7771248925608
splitwise_strict,21,0,5,1,splitwise_strict/node_0_5_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12957,21231,evaluated,,345600,571.6218749999997,3256.852983398437,836.2634666612773
splitwise_strict,22,0,5,2,splitwise_strict/node_0_5_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12840,22240,evaluated,,345600,571.6218749999997,3256.873286132812,832.4891003474208
splitwise_strict,23,0,5,3,splitwise_strict/node_0_5_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12740,23249,evaluated,,345600,571.6218749999997,3256.8834374999997,827.3070995673608
splitwise_strict,24,1,0,0,splitwise_strict/node_1_0_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12845,24258,evaluated,,345600,571.6218749999997,3256.8834374999997,831.6513996923518
splitwise_strict,25,1,0,1,splitwise_strict/node_1_0_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12955,25267,evaluated,,345600,571.6218749999997,3256.873286132812,839.8939104062941
splitwise_strict,26,1,0,2,splitwise_strict/node_1_0_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12822,26276,evaluated,,345600,571.6218749999997,3256.8834374999997,833.2483853298125
splitwise_strict,27,1,0,3,splitwise_strict/node_1_0_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12898,27285,evaluated,,345600,571.6218749999997,3256.8834374999997,835.4812872327575
splitwise_strict,28,1,1,0,splitwise_strict/node_1_1_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12834,28294,evaluated,,345600,571.6218749999997,3256.8428320312496,833.6938018684028
splitwise_strict,29,1,1,1,splitwise_strict/node_1_1_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12948,29303,evaluated,,345600,571.6218749999997,3256.8631347656246,836.0567903052932
splitwise_strict,30,1,1,2,splitwise_strict/node_1_1_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12810,30312,evaluated,,345600,571.6218749999997,3256.8834374999997,829.7159419515901
splitwise_strict,31,1,1,3,splitwise_strict/node_1_1_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12820,31321,evaluated,,345600,571.6218749999997,3256.8834374999997,831.9958725511317
splitwise_strict,32,1,2,0,splitwise_strict/node_1_2_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12526,32330,evaluated,,345600,571.6218749999997,3256.873286132812,830.6229200183103
splitwise_strict,33,1,2,1,splitwise_strict/node_1_2_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12891,33339,evaluated,,345600,571.6218749999997,3256.873286132812,831.7759223022351
splitwise_strict,34,1,2,2,splitwise_strict/node_1_2_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12793,34348,evaluated,,345600,571.6218749999997,3256.873286132812,838.3313303813932
splitwise_strict,35,1,2,3,splitwise_strict/node_1_2_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12611,35357,evaluated,,345600,571.6218749999997,3256.8834374999997,831.7808288356875
splitwise_strict,36,1,3,0,splitwise_strict/node_1_3_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12895,36366,evaluated,,345600,571.6218749999997,3256.873286132812,839.1440771722497
splitwise_strict,37,1,3,1,splitwise_strict/node_1_3_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12922,37375,evaluated,,345600,571.6218749999997,3256.8834374999997,832.9931603601391
splitwise_strict,38,1,3,2,splitwise_strict/node_1_3_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12797,38384,evaluated,,345600,571.6218749999997,3256.8834374999997,834.8054393700129
splitwise_strict,39,1,3,3,splitwise_strict/node_1_3_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12730,39393,evaluated,,345600,571.6218749999997,3256.873286132812,833.9401868177941
splitwise_strict,40,1,4,0,splitwise_strict/node_1_4_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12792,40402,evaluated,,345600,571.6218749999997,3256.8834374999997,828.1722926366284
splitwise_strict,41,1,4,1,splitwise_strict/node_1_4_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12678,41411,evaluated,,345600,571.6218749999997,3256.8631347656246,831.9965787094495
splitwise_strict,42,1,4,2,splitwise_strict/node_1_4_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12902,42420,evaluated,,345600,571.6218749999997,3256.8834374999997,835.5339538883248
splitwise_strict,43,1,4,3,splitwise_strict/node_1_4_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12891,43429,evaluated,,345600,571.6218749999997,3256.873286132812,840.1318469405809
splitwise_strict,44,1,5,0,splitwise_strict/node_1_5_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12738,44438,evaluated,,345600,571.6218749999997,3256.873286132812,832.687441875575
splitwise_strict,45,1,5,1,splitwise_strict/node_1_5_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12905,45447,evaluated,,345600,571.6218749999997,3256.873286132812,836.749635789431
splitwise_strict,46,1,5,2,splitwise_strict/node_1_5_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12829,46456,evaluated,,345600,571.6218749999997,3256.8834374999997,838.9455145924597
splitwise_strict,47,1,5,3,splitwise_strict/node_1_5_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12937,47465,evaluated,,345600,571.6218749999997,3256.8834374999997,835.8525335551559
splitwise_strict,48,2,0,0,splitwise_strict/node_2_0_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12719,48474,evaluated,,345600,571.6218749999997,3256.8834374999997,827.184068145858
splitwise_strict,49,2,0,1,splitwise_strict/node_2_0_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12901,49483,evaluated,,345600,571.6218749999997,3256.8834374999997,833.3090581846125
splitwise_strict,50,2,0,2,splitwise_strict/node_2_0_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12929,50492,evaluated,,345600,571.6218749999997,3256.873286132812,833.6542043955413
splitwise_strict,51,2,0,3,splitwise_strict/node_2_0_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12540,51501,evaluated,,345600,571.6218749999997,3256.8834374999997,829.8129463218146
splitwise_strict,52,2,1,0,splitwise_strict/node_2_1_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12781,52510,evaluated,,345600,571.6218749999997,3256.873286132812,835.1201454220716
splitwise_strict,53,2,1,1,splitwise_strict/node_2_1_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12954,53519,evaluated,,345600,571.6218749999997,3256.8834374999997,836.2364140129336
splitwise_strict,54,2,1,2,splitwise_strict/node_2_1_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12566,54528,evaluated,,345600,571.6218749999997,3256.8834374999997,826.6246506679231
splitwise_strict,55,2,1,3,splitwise_strict/node_2_1_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12688,55537,evaluated,,345600,571.6218749999997,3256.8834374999997,832.4010694427279
splitwise_strict,56,2,2,0,splitwise_strict/node_2_2_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12907,56546,evaluated,,345600,571.6218749999997,3256.8834374999997,834.8363694009892
splitwise_strict,57,2,2,1,splitwise_strict/node_2_2_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12866,57555,evaluated,,345600,571.6218749999997,3256.852983398437,834.5158403473573
splitwise_strict,58,2,2,2,splitwise_strict/node_2_2_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12876,58564,evaluated,,345600,571.6218749999997,3256.8834374999997,841.0270812712639
splitwise_strict,59,2,2,3,splitwise_strict/node_2_2_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12886,59573,evaluated,,345600,571.6218749999997,3256.8834374999997,835.610095409233
splitwise_strict,60,2,3,0,splitwise_strict/node_2_3_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12823,60582,evaluated,,345600,571.6218749999997,3256.7819238281245,831.2083127714515
splitwise_strict,61,2,3,1,splitwise_strict/node_2_3_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12889,61591,evaluated,,345600,571.6218749999997,3256.852983398437,836.4233661944864
splitwise_strict,62,2,3,2,splitwise_strict/node_2_3_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12770,62600,evaluated,,345600,571.6218749999997,3256.8834374999997,828.6625058772042
splitwise_strict,63,2,3,3,splitwise_strict/node_2_3_3.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12779,63609,evaluated,,345600,571.6218749999997,3256.8834374999997,830.1012290159932
splitwise_strict,64,2,4,0,splitwise_strict/node_2_4_0.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12758,64618,evaluated,,345600,571.6218749999997,3256.8834374999997,830.2061975661496
splitwise_strict,65,2,4,1,splitwise_strict/node_2_4_1.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12852,65627,evaluated,,345600,571.6218749999997,3256.8834374999997,836.0542939456042
splitwise_strict,66,2,4,2,splitwise_strict/node_2_4_2.npy,splitwise_style_lut,splitwise_prompt_biased_preemptive_fifo,12751,66636,evaluated,,345600,571.6218749999997,3256.873286132812,831.1313110084776
