cell,split,role,samples,target_idle_w,model_gain,duty_gain_w,zero_shot_energy_error_pct,idle_only_energy_error_pct,energy_error_pct,correlation,rmse_w,std_ratio,mean_bias_w,measured_p95_w,predicted_p95_w,p95_error_pct,soft_dtw_diagonal_divergence,soft_dtw_one_sample_divergence,soft_dtw_one_sample_band_effect_fraction,constant_mean_soft_dtw_diagonal_divergence,duty_null_correlation,duty_null_rmse_w,duty_null_std_ratio,duty_null_mean_bias_w,duty_null_measured_p95_w,duty_null_predicted_p95_w,duty_null_p95_error_pct,duty_null_soft_dtw_diagonal_divergence,duty_null_soft_dtw_one_sample_divergence,duty_null_soft_dtw_one_sample_band_effect_fraction,duty_null_constant_mean_soft_dtw_diagonal_divergence,model_to_duty_null_loss_ratio,accept_correlation,accept_std_ratio,accept_p95_error,accept_duty_null_loss,accept_accepted
rate-1-repeat-0,evaluation,prefill,1331,87.86,10.73368256330378,335.00376210799755,64.09259171962823,58.93020133922687,8.402385880798787,0.9080333786152414,68.58007018992657,0.9818986018969409,21.615917313708962,421.435,431.0339710002287,2.2776871878768223,0.03753729201023012,0.028196870677267366,0.2488304518721593,0.18685586097176815,0.8788095086328219,78.64278942551819,1.0333523685023465,17.16812079068069,421.435,422.86376210799756,0.3390231252737804,0.0493611088301011,0.019048737518497085,0.6140942136437402,0.18685586097176815,0.7604629008524072,True,True,True,True,True
rate-1-repeat-0,evaluation,decode,1331,83.14,0.9194129177446739,122.59082338222713,8.121851201706303,1.520451963510111,4.290080180816545,0.6829456466029143,51.000016610365165,0.6211733087584824,-5.563397896247906,246.21,199.68367033075327,18.897010547600313,0.09359861780220552,0.0630726581717987,0.32613686341944587,0.17209644536075822,0.4988301267959069,61.942075484833204,0.6225857534147076,-13.084779025221678,246.21,205.44572606084836,16.556709288473925,0.138070312105622,0.05820118809295933,0.5784670346190268,0.17209644536075822,0.6779054553784457,False,False,False,True,False
rate-1-repeat-1,evaluation,prefill,1304,87.86,10.73368256330378,335.00376210799755,64.84497752494256,59.812147684107956,7.278795985510061,0.9057937593641864,68.24979143968018,0.975742847226746,19.207426952222875,421.57,430.0557482790969,2.01289187539363,0.038105290491288295,0.028490491247271044,0.2523218986144563,0.19024657280091775,0.8976134627231561,71.512673527879,1.025539976573144,14.665354704374465,421.57,422.86376210799756,0.3068914078320482,0.04183585497317969,0.019132555057266895,0.5426756529887466,0.19024657280091775,0.9108285348946972,True,True,True,True,True
rate-1-repeat-1,evaluation,decode,1304,83.14,0.9194129177446739,122.59082338222713,9.133923589941613,2.6500561406640446,5.420638504393994,0.6423318386603365,54.14095160436378,0.6173497695914969,-7.156934281173875,246.16049999999998,196.63152648049612,20.120601607286247,0.10440254038637217,0.0663448399826273,0.364528490043453,0.17444260667748943,0.5553590000104843,60.21176042656252,0.6268797210406218,-14.603461771424648,246.16049999999998,204.98063779344534,16.72886681923162,0.12912845255182215,0.058678152759772687,0.545583087226854,0.17444260667748943,0.8085169327377597,False,False,False,True,False
rate-2-repeat-0,calibration,prefill,1501,87.86,10.73368256330378,335.00376210799755,73.9594769303131,70.6139341020436,0.012719464249233802,0.9312855489560458,35.01799998761293,0.9330954740005274,-0.05049217928319649,443.6,430.3499070380936,2.986946114045634,0.008984032920827447,0.008970013570603882,0.0015604740484714311,0.06769633222738544,0.9302824782095132,35.263047743623616,0.9306204950169072,-0.009403523549678994,443.6,422.86376210799756,4.67453514247125,0.009110209170659333,0.00878260469314839,0.035960148814808496,0.06769633222738544,0.9861500161556932,True,True,True,False,False
rate-2-repeat-0,calibration,decode,1501,83.14,0.9194129177446739,122.59082338222713,9.463184390853709,4.259337054055103,7.902033333580123,0.16970841425719013,79.05876780813013,0.4899791756733405,-12.999451305584756,247.99,203.5044904445814,17.93842878963612,0.22016679577789408,0.1257435291393463,0.4288715121866182,0.1994968954655276,0.14838817051280603,85.1574752140719,0.5813229828782306,-25.52418169663278,247.99,205.73082338222713,17.04067769578325,0.25544493334329393,0.12054674686441222,0.5280910633588151,0.1994968954655276,0.8618953325725621,False,False,False,True,False
rate-2-repeat-1,evaluation,prefill,1506,87.86,10.73368256330378,335.00376210799755,73.97338519834385,70.6276125271857,0.17433987760378145,0.9336929032769163,34.65229850180685,0.9307222309558619,-0.6920256594214038,443.46,430.50527700560576,2.9212833162842684,0.008793559158776696,0.00873160219994372,0.007045720363538872,0.06855103907867363,0.933209866161555,34.774150269118735,0.9318225582173353,-0.7495361321156224,443.46,422.86376210799756,4.644440962432332,0.008855511450981922,0.008685630517670689,0.019183638827816773,0.06855103907867363,0.9930040977815754,True,True,True,False,False
rate-2-repeat-1,evaluation,decode,1506,83.14,0.9194129177446739,122.59082338222713,9.65585930548487,4.44643499519939,8.06968880788546,0.14266385918534127,80.47977536796925,0.4870686587144455,-13.261045539437077,247.99,203.6643512561385,17.87396618567745,0.22742304896337925,0.12984852985485157,0.42904410768074613,0.20145320743890813,0.16957187380926664,84.85569791420312,0.5796525537394187,-25.75380393371944,247.99,205.73082338222713,17.04067769578325,0.25282672910443776,0.1261705538060248,0.500960384003124,0.20145320743890813,0.8995213827626399,False,False,False,True,False
rate-2-repeat-2,evaluation,prefill,1505,87.86,10.73368256330378,335.00376210799755,74.23353491441497,70.92069958498519,1.1992708423127685,0.9296470715991727,36.854424720082115,0.9124035726847338,-4.807721658637206,449.89,430.34112082187676,4.345257546983314,0.009709338027020939,0.009895650637135942,-0.019189012638812016,0.07014958627847719,0.9231584584202892,38.39925258565654,0.9145937873108033,-4.856894687252634,449.89,422.86376210799756,6.0072990935567425,0.010540370835405663,0.009497452434515448,0.09894513363675947,0.07014958627847719,0.921157156483218,True,True,True,True,True
rate-2-repeat-2,evaluation,decode,1505,83.14,0.9194129177446739,122.59082338222713,11.403611907029855,6.2927859292955475,9.844415186129636,0.17193456148677785,79.67815457288465,0.4893775212746711,-16.489577934563613,248.32,202.50155301863472,18.451372012469907,0.18008286047694588,0.1093143657744373,0.3929774022640446,0.16091175429371582,0.11602556320310604,87.53594243195016,0.5817132326491125,-28.912489575802397,248.32,205.73082338222713,17.150924862183015,0.21735351627421196,0.1025150452245554,0.5283488071330624,0.16091175429371582,0.8285251766976455,False,False,False,True,False
