cell,time_s,measured_prefill_w,predicted_prefill_w,duty_null_prefill_w,measured_decode_w,predicted_decode_w,duty_null_decode_w
rate-2-repeat-2,0.06016659736633301,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,0.3081667423248291,88.7,87.86,87.86,83.73,83.14,83.14
rate-2-repeat-2,0.559166669845581,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,0.809166669845581,88.79,87.86,87.86,83.22,83.14,83.14
rate-2-repeat-2,1.061166763305664,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,1.309166669845581,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,1.558166742324829,88.7,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,1.808166742324829,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,2.057166814804077,88.79,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,2.308166742324829,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,2.557166814804077,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,2.809166669845581,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,3.058166742324829,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,3.310166597366333,88.79,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,3.560166597366333,88.79,87.86,87.86,83.73,83.14,83.14
rate-2-repeat-2,3.809166669845581,88.7,87.86,87.86,83.73,83.14,83.14
rate-2-repeat-2,4.059166669845581,88.79,87.86,87.86,83.73,83.14,83.14
rate-2-repeat-2,4.309166669845581,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,4.559166669845581,88.7,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,4.808166742324829,88.97,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,5.060166597366333,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,5.312166690826416,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,5.560166597366333,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,5.809166669845581,88.46,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,6.059166669845581,88.46,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,6.310166597366333,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,6.560166597366333,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,6.809166669845581,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,7.059166669845581,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,7.308166742324829,88.79,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,7.559166669845581,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,7.810166597366333,88.7,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,8.059166669845581,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,8.309166669845581,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,8.560166597366333,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,8.810166597366333,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,9.059166669845581,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,9.308166742324829,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,9.557166814804077,88.7,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,9.809166669845581,88.79,87.86,87.86,83.73,83.14,83.14
rate-2-repeat-2,10.060166597366333,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,10.309166669845581,88.7,87.86,87.86,83.73,83.14,83.14
rate-2-repeat-2,10.559166669845581,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,10.810166597366333,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,11.060166597366333,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,11.308166742324829,88.79,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,11.558166742324829,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,11.812166690826416,89.06,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,12.062166690826416,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,12.311166763305664,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,12.562166690826416,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,12.810166597366333,88.7,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,13.062166690826416,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,13.311166763305664,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,13.560166597366333,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,13.812166690826416,88.46,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,14.063166618347168,88.7,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,14.310166597366333,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,14.561166763305664,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,14.811166763305664,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,15.062166690826416,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,15.312166690826416,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,15.561166763305664,88.79,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,15.811166763305664,88.36,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,16.063166618347168,88.36,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,16.311166763305664,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,16.5641667842865,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,16.812166690826416,88.79,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,17.063166618347168,88.79,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,17.313166618347168,88.7,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,17.562166690826416,88.36,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,17.813166618347168,88.7,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,18.0641667842865,88.79,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,18.313166618347168,88.7,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,18.562166690826416,88.36,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,18.8141667842865,88.46,87.86,87.86,83.22,83.14,83.14
rate-2-repeat-2,19.06516671180725,88.46,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,19.3141667842865,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,19.563166618347168,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,19.8141667842865,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,20.0641667842865,88.79,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,20.31516671180725,88.46,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,20.563166618347168,88.36,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,20.8141667842865,88.79,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,21.06516671180725,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,21.31516671180725,88.36,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,21.563166618347168,88.46,87.86,87.86,83.22,83.14,83.14
rate-2-repeat-2,21.8141667842865,88.79,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,22.0641667842865,88.7,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,22.3141667842865,88.36,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,22.5641667842865,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,22.81516671180725,88.46,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,23.0641667842865,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,23.316166639328003,88.7,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,23.596166610717773,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,23.816166639328003,88.79,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,24.0641667842865,88.79,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,24.316166639328003,88.36,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,24.56516671180725,88.46,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,24.81516671180725,88.79,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,25.066166639328003,88.7,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,25.317166805267334,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,25.56516671180725,88.7,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,25.816166639328003,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,26.066166639328003,88.36,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,26.316166639328003,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,26.56516671180725,88.46,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,26.81516671180725,88.46,87.86,87.86,82.95,83.14,83.14
rate-2-repeat-2,27.066166639328003,88.36,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,27.317166805267334,88.36,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,27.567166805267334,88.46,87.86,87.86,83.14,83.14,83.14
rate-2-repeat-2,27.817166805267334,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,28.066166639328003,88.46,87.86,87.86,82.86,83.14,83.14
rate-2-repeat-2,28.318166732788086,88.36,213.43401515126587,382.7158652755855,83.14,83.14,83.14
rate-2-repeat-2,28.568166732788086,371.88,444.28598839792426,460.67673664961904,83.14,109.7544374826121,173.55908160782934
rate-2-repeat-2,28.818166732788086,376.11,530.1593901422979,420.4922686055458,82.86,182.99755268058885,191.20175059765404
rate-2-repeat-2,29.109166622161865,376.37,410.425745799686,248.15208828317117,240.15,198.77506405462265,179.94078468599116
rate-2-repeat-2,29.323166608810425,397.31,380.1015743300767,460.67673664961904,245.29,167.84684767892043,122.10897492240572
rate-2-repeat-2,29.574166774749756,384.22,489.5136633254725,460.67673664961904,244.69,132.82223179325015,152.13789952242718
rate-2-repeat-2,29.819166660308838,390.23,422.5963253374956,304.32799358391674,84.46,160.72622680927716,168.47827025289638
rate-2-repeat-2,30.07016682624817,388.44,333.7137830361827,217.07279072755927,243.18,166.49991133508047,145.25108100262355
rate-2-repeat-2,30.32016682624817,394.78,270.43819346211313,299.7887586235377,86.17,143.5702051095662,127.76372369847833
rate-2-repeat-2,30.569166660308838,409.23,384.6330646200448,329.8167024786683,231.43,135.99430512707465,146.67102903325127
rate-2-repeat-2,30.82116675376892,391.15,407.59887577565644,460.67673664961904,240.15,136.0682404389092,100.50156386205656
rate-2-repeat-2,31.07116675376892,395.37,482.85579748554176,460.67673664961904,84.38,127.51172357024969,191.20175059765404
rate-2-repeat-2,31.319166660308838,408.04,345.8699484255387,134.41702241075012,222.07,194.4347109540141,183.89968775004436
rate-2-repeat-2,31.57016682624817,400.78,160.5455500927489,87.86,235.65,172.9103467566942,126.3744656710402
rate-2-repeat-2,31.818166732788086,391.75,87.86,87.86,241.66,115.93397570047549,83.14
rate-2-repeat-2,32.07216668128967,396.29,113.4388062499659,152.22409093756093,84.97,83.14,83.14
rate-2-repeat-2,32.31916666030884,384.55,296.15380609990683,460.67673664961904,231.43,83.14,83.14
rate-2-repeat-2,32.56916666030884,395.37,486.9540930973882,460.67673664961904,241.07,114.33438335196752,190.3053854896314
rate-2-repeat-2,32.82016682624817,391.75,485.9562706082505,460.67673664961904,84.65,188.6682178319303,168.57369333348387
rate-2-repeat-2,33.06916666030884,403.82,490.836207212116,460.67673664961904,103.32,178.15942643367538,187.2689468937938
rate-2-repeat-2,33.318166732788086,409.55,484.7343091156951,460.67673664961904,244.37,194.069932973542,191.20175059765404
rate-2-repeat-2,33.56916666030884,405.16,489.76932841299885,460.67673664961904,237.77,187.62784903025454,140.7131947040751
rate-2-repeat-2,33.81916666030884,409.98,474.3710926530494,433.1863983468484,244.1,156.80902808785243,188.36306114570306
rate-2-repeat-2,34.07216668128967,403.82,368.23199172674754,87.86,84.38,195.7107541769849,191.20175059765404
rate-2-repeat-2,34.32016682624817,413.18,207.99441041411905,369.0451313238473,237.44,169.69860317039272,83.54378869999934
rate-2-repeat-2,34.56916666030884,395.46,366.5246726048957,296.55794621255876,134.39,97.42728909617837,128.70018177737387
rate-2-repeat-2,34.82816672325134,403.82,356.0526546072464,326.31137696422905,96.39,138.3873210298827,152.32234528055005
rate-2-repeat-2,35.074166774749756,416.48,366.30156951073445,362.92484162354594,246.21,143.33983928946205,109.46359126297641
rate-2-repeat-2,35.323166608810425,404.14,279.8139217952921,87.86,245.62,132.01953213641264,181.13566239583113
rate-2-repeat-2,35.57216668128967,393.86,87.86,87.86,92.82,157.42167030775983,83.14
rate-2-repeat-2,35.82016682624817,403.22,103.78725031960988,127.93782763349375,84.38,83.14,83.14
rate-2-repeat-2,36.074166774749756,406.62,275.6093659487567,460.67673664961904,220.55,83.14,83.14
rate-2-repeat-2,36.32016682624817,409.55,493.5705085326646,460.67673664961904,239.55,112.7708581908162,184.10213280735024
rate-2-repeat-2,36.57216668128967,411.94,486.7386530181005,460.67673664961904,244.37,190.41236013720896,191.20175059765404
rate-2-repeat-2,36.82216668128967,407.44,491.37845001436494,460.67673664961904,84.97,193.6362846962138,180.5996891394238
rate-2-repeat-2,37.07116675376892,417.08,435.22270256964646,340.33398805409536,84.65,188.23500822610333,191.20175059765404
rate-2-repeat-2,37.32016682624817,399.0,294.2726189653662,87.86,240.47,190.1004149218873,158.4532267442628
rate-2-repeat-2,37.57116675376892,391.75,247.67594763521413,458.6888803811101,84.97,139.91467927828077,83.14
rate-2-repeat-2,37.82216668128967,411.07,356.6405120544344,115.10379186633497,158.2,110.22890126832066,174.82782547390238
rate-2-repeat-2,38.073166608810425,403.82,267.9510467051514,446.33651005727944,85.84,151.90509700792882,83.14
rate-2-repeat-2,38.323166608810425,411.5,480.933357304965,460.67673664961904,245.29,108.20940822713236,167.88204168084326
rate-2-repeat-2,38.57216668128967,400.51,491.8258887700003,460.67673664961904,240.47,170.20957853795431,162.9136212883344
rate-2-repeat-2,38.82116675376892,418.6,476.56826670135933,432.5295554171896,243.77,163.38350900523477,149.84637194987846
rate-2-repeat-2,39.07116675376892,409.82,483.4840844456941,386.379053101457,243.77,164.9460519531437,191.20175059765404
rate-2-repeat-2,39.33716678619385,389.37,334.6990513868988,199.20670382299073,85.25,192.21428452324844,174.8167672157511
rate-2-repeat-2,39.574166774749756,415.56,172.45241207262757,87.86,99.1,158.01605376080545,101.11515722567614
rate-2-repeat-2,39.824166774749756,399.0,87.86,87.86,243.18,96.6707764466648,83.14
rate-2-repeat-2,40.07216668128967,413.18,87.86,87.86,84.97,83.14,83.14
rate-2-repeat-2,40.323166608810425,404.41,87.86,87.86,242.26,83.14,83.14
rate-2-repeat-2,40.57216668128967,425.52,87.86,87.86,234.46,83.14,83.14
rate-2-repeat-2,40.82516670227051,410.75,87.86,87.86,244.37,83.14,83.14
rate-2-repeat-2,41.073166608810425,417.4,87.86,87.86,147.65,83.14,83.14
rate-2-repeat-2,41.32216668128967,402.3,87.86,87.86,240.8,83.14,83.14
rate-2-repeat-2,41.57216668128967,394.78,87.86,87.86,85.57,83.14,83.14
rate-2-repeat-2,41.823166608810425,415.29,123.20396475352825,176.79621302178927,238.96,83.14,83.14
rate-2-repeat-2,42.074166774749756,405.6,312.5102924346145,460.67673664961904,85.25,83.14,83.14
rate-2-repeat-2,42.323166608810425,416.16,356.4360432456874,109.19525198627242,84.65,112.3330751323608,183.00767053642545
rate-2-repeat-2,42.574166774749756,417.08,120.3701800677261,87.86,239.28,160.33462743926867,88.56707002404374
rate-2-repeat-2,42.823166608810425,411.94,87.86,87.86,241.07,87.2497879632508,83.14
rate-2-repeat-2,43.074166774749756,413.78,87.86,87.86,219.96,83.14,83.14
rate-2-repeat-2,43.323166608810425,405.01,87.86,87.86,85.84,83.14,83.14
rate-2-repeat-2,43.573166608810425,111.72,87.86,87.86,222.67,83.14,83.14
rate-2-repeat-2,43.824166774749756,100.55,87.86,87.86,88.27,83.14,83.14
rate-2-repeat-2,44.07116675376892,97.84,87.86,87.86,84.97,83.14,83.14
rate-2-repeat-2,44.323166608810425,96.49,112.46569565087125,149.775447381628,84.74,83.14,83.14
