cell,time_s,measured_prefill_w,predicted_prefill_w,duty_null_prefill_w,measured_decode_w,predicted_decode_w,duty_null_decode_w
rate-2-repeat-2,0.5,88.685,87.86,87.86,83.4675,83.14,83.14
rate-2-repeat-2,1.5,88.5775,87.86,87.86,83.38,83.14,83.14
rate-2-repeat-2,2.5,88.5775,87.86,87.86,83.48249999999999,83.14,83.14
rate-2-repeat-2,3.5,88.7675,87.86,87.86,83.6175,83.14,83.14
rate-2-repeat-2,4.5,88.78999999999999,87.86,87.86,83.55,83.14,83.14
rate-2-repeat-2,5.5,88.6625,87.86,87.86,83.4825,83.14,83.14
rate-2-repeat-2,6.5,88.41,87.86,87.86,83.48249999999999,83.14,83.14
rate-2-repeat-2,7.5,88.7225,87.86,87.86,83.505,83.14,83.14
rate-2-repeat-2,8.5,88.6825,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,9.5,88.745,87.86,87.86,83.4475,83.14,83.14
rate-2-repeat-2,10.5,88.7225,87.86,87.86,83.52749999999999,83.14,83.14
rate-2-repeat-2,11.5,88.7525,87.86,87.86,83.48249999999999,83.14,83.14
rate-2-repeat-2,12.5,88.6625,87.86,87.86,83.38,83.14,83.14
rate-2-repeat-2,13.5,88.52,87.86,87.86,83.4825,83.14,83.14
rate-2-repeat-2,14.5,88.47,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,15.5,88.4925,87.86,87.86,83.46,83.14,83.14
rate-2-repeat-2,16.5,88.5175,87.86,87.86,83.07000000000001,83.14,83.14
rate-2-repeat-2,17.5,88.6375,87.86,87.86,82.975,83.14,83.14
rate-2-repeat-2,18.5,88.5775,87.86,87.86,82.94999999999999,83.14,83.14
rate-2-repeat-2,19.5,88.46,87.86,87.86,83.0225,83.14,83.14
rate-2-repeat-2,20.5,88.60000000000001,87.86,87.86,83.01,83.14,83.14
rate-2-repeat-2,21.5,88.5175,87.86,87.86,83.16,83.14,83.14
rate-2-repeat-2,22.5,88.49499999999999,87.86,87.86,83.1725,83.14,83.14
rate-2-repeat-2,23.5,88.6025,87.86,87.86,83.0,83.14,83.14
rate-2-repeat-2,24.5,88.60000000000001,87.86,87.86,82.9275,83.14,83.14
rate-2-repeat-2,25.5,88.58,87.86,87.86,82.975,83.14,83.14
rate-2-repeat-2,26.5,88.43499999999999,87.86,87.86,82.975,83.14,83.14
rate-2-repeat-2,27.5,88.41,87.86,87.86,83.0,83.14,83.14
rate-2-repeat-2,28.5,231.20250000000001,279.45552360085924,321.599401017972,83.0,87.61207408538127,95.37534784000786
rate-2-repeat-2,29.5,387.0325,425.83891331285145,422.86376210799756,203.6475,173.49209598028284,152.60556631667637
rate-2-repeat-2,30.5,395.9,422.50322308881425,422.86376210799756,200.2325,154.855266568533,146.1885925763687
rate-2-repeat-2,31.5,398.985,423.2330538112646,422.86376210799756,195.94,143.16598226501793,142.5904770855691
rate-2-repeat-2,32.5,391.99,422.1724351862712,422.86376210799756,160.53,164.98356527286649,130.69314029231884
rate-2-repeat-2,33.5,407.1275,421.9024757079735,422.86376210799756,207.39000000000001,144.43077119226348,153.65276251313665
rate-2-repeat-2,34.5,404.07,423.5233741030166,422.86376210799756,138.15,161.94680962308246,134.89234112389966
rate-2-repeat-2,35.5,404.425,422.9276088824481,422.86376210799756,167.25750000000002,167.73632640667142,151.85466606618536
rate-2-repeat-2,36.5,408.88750000000005,421.739998523518,422.86376210799756,197.36,150.21688793999274,146.0749875821291
rate-2-repeat-2,37.5,404.72499999999997,422.8428855511998,422.86376210799756,142.0725,146.96868515509217,128.50092319756453
rate-2-repeat-2,38.5,408.60749999999996,422.54584846174157,422.86376210799756,203.8425,151.01403974934738,147.1919719286458
rate-2-repeat-2,39.5,403.4375,422.95582150434984,422.86376210799756,167.825,178.16755294745238,143.92003199260762
rate-2-repeat-2,40.5,413.46500000000003,421.90826578061956,422.86376210799756,201.51500000000001,139.04947792395814,147.2425861393557
rate-2-repeat-2,41.5,407.4425,424.7694326104673,422.86376210799756,178.245,154.96474438866164,136.8602487366643
rate-2-repeat-2,42.5,412.695,422.336008272805,422.86376210799756,162.5625,160.88346129498967,131.37221448269068
rate-2-repeat-2,43.5,257.765,421.2393823785112,422.86376210799756,154.185,141.06520619371582,146.17229126689264
rate-2-repeat-2,44.5,170.8725,411.00484507657075,405.58431832866574,84.63749999999999,150.50444655522992,123.23412753921093
rate-2-repeat-2,45.5,123.335,171.22453148742528,152.56798799767608,124.905,121.09974608279212,113.13421786365
rate-2-repeat-2,46.5,248.16,243.27641127626202,190.488461496611,138.3275,133.04715278236046,123.99166163456032
rate-2-repeat-2,47.5,240.77499999999998,285.84481009252346,328.04436151011055,84.445,88.4223015158268,97.77878138241886
rate-2-repeat-2,48.5,411.52750000000003,425.63265840979835,422.86376210799756,164.6875,157.72268547239702,139.40682543549917
rate-2-repeat-2,49.5,408.565,425.4838437829093,422.86376210799756,162.64749999999998,157.39109023639594,137.81923107889372
rate-2-repeat-2,50.5,409.1625,419.66921612066045,422.86376210799756,164.915,135.40032604888833,146.21581813093775
rate-2-repeat-2,51.5,414.6650000000001,423.96254924810603,422.86376210799756,159.865,145.03883548306314,119.49922686195006
rate-2-repeat-2,52.5,410.84000000000003,423.63888708012524,422.86376210799756,166.635,169.14404224629254,154.30525584567317
rate-2-repeat-2,53.5,415.1825,421.4578722203236,422.86376210799756,242.355,146.86935526052994,131.57989877432874
