cell,split,role,samples,target_idle_w,model_gain,duty_gain_w,zero_shot_energy_error_pct,idle_only_energy_error_pct,energy_error_pct,correlation,rmse_w,std_ratio,mean_bias_w,measured_p95_w,predicted_p95_w,p95_error_pct,soft_dtw_diagonal_divergence,soft_dtw_one_sample_divergence,soft_dtw_one_sample_band_effect_fraction,constant_mean_soft_dtw_diagonal_divergence,duty_null_correlation,duty_null_rmse_w,duty_null_std_ratio,duty_null_mean_bias_w,duty_null_measured_p95_w,duty_null_predicted_p95_w,duty_null_p95_error_pct,duty_null_soft_dtw_diagonal_divergence,duty_null_soft_dtw_one_sample_divergence,duty_null_soft_dtw_one_sample_band_effect_fraction,duty_null_constant_mean_soft_dtw_diagonal_divergence,model_to_duty_null_loss_ratio,accept_correlation,accept_std_ratio,accept_p95_error,accept_duty_null_loss,accept_accepted
rate-1-repeat-0,evaluation,prefill,1331,87.86,7.197861883463146,372.81673664961903,64.88164932663263,59.71925894623124,21.73612252990707,0.6751020899780845,130.4847107938445,0.8974733155156502,-55.91819204600145,421.435,482.13556344845443,14.403303818727546,0.13588963839072402,0.0967657341896914,0.28790939960072237,0.18685586097176815,0.4226152024813605,173.73244076234158,0.9389589403596813,-68.63286080648356,421.435,460.67673664961904,9.311456487861483,0.2408956348727947,0.14664784699014127,0.3912390854754222,0.18685586097176815,0.5641017051325184,False,True,False,True,False
rate-1-repeat-0,evaluation,decode,1331,83.14,0.6448954084059165,108.06175059765403,8.932414240824397,2.3310150026281944,14.247465070326564,0.22641253237610615,72.82188509166723,0.5243253918053985,-18.47618549265289,246.21,182.9458040225699,25.69521789424886,0.19083262945385754,0.12187113073165108,0.3613716318826966,0.17209644536075822,0.09849196310289701,78.56247290789682,0.5634912570981242,-20.050448670986455,246.21,191.20175059765404,22.3420045499151,0.22210538633979457,0.15141649067439927,0.31826736321130805,0.17209644536075822,0.8591985660442594,False,False,False,True,False
rate-1-repeat-1,evaluation,prefill,1304,87.86,7.197861883463146,372.81673664961903,65.63338127811664,60.60055143728205,22.76722755428512,0.6742989688726035,132.24530952712337,0.9012106871931624,-60.07859830445895,421.57,482.17145113601305,14.375181140976126,0.1430682202034126,0.10183622135000692,0.2881981672434489,0.19024657280091775,0.44188575122816265,172.7028256364225,0.9387877171699769,-73.27463568602161,421.57,460.67673664961904,9.2764515144861,0.2439953254623616,0.15520403517962808,0.3639057023509672,0.19024657280091775,0.5863563981494476,False,True,False,True,False
rate-1-repeat-1,evaluation,decode,1304,83.14,0.6448954084059165,108.06175059765403,9.86193706660734,3.378069617329761,15.328037831649898,0.23127626848477276,73.81350571227867,0.5181715699269294,-20.237792896822114,246.16049999999998,183.89621850126292,25.294180625541898,0.19405773638413742,0.12498617291730207,0.35593305762419153,0.17444260667748943,0.09993022412659029,79.69601141718942,0.5587149117172729,-21.72012059378703,246.16049999999998,191.20175059765404,22.32638843451567,0.22622076663861423,0.15473787002797063,0.31598733251946287,0.17444260667748943,0.8578245899685362,False,False,False,True,False
rate-2-repeat-0,calibration,prefill,1501,87.86,7.197861883463146,372.81673664961903,74.37700577556329,71.03146294729378,28.66436438408428,0.3494505200477868,197.00077383110957,1.7354350834798569,-113.78830091898249,443.6,491.2467106375543,10.74091763695994,0.2843312029178576,0.2856047034801793,-0.004478933543884166,0.06769633222738544,0.3093169654010846,212.35328512348005,1.7530894069122844,-132.20098928509657,443.6,460.67673664961904,3.8495799480656046,0.33037458158603844,0.32802248845638227,0.00711947365431207,0.06769633222738544,0.8606328052020862,False,False,False,True,False
rate-2-repeat-0,calibration,decode,1501,83.14,0.6448954084059165,108.06175059765403,8.471828370844118,3.2679810340455124,19.67144939598622,0.11339583142813511,88.98559525491378,0.588898234470205,-32.36104401720374,247.99,196.83462799611186,20.627997904709122,0.27892738758903407,0.2194071061253419,0.21338987891496747,0.1994968954655276,0.13189110387259168,89.84013435969645,0.6055708858569716,-35.15027552396609,247.99,191.20175059765404,22.899411025584083,0.2843102550483592,0.21136354113598727,0.256574332501528,0.1994968954655276,0.9810669247283756,False,False,False,False,False
rate-2-repeat-1,evaluation,prefill,1506,87.86,7.197861883463146,372.81673664961903,74.36331836751403,71.01754569635587,28.5736140858495,0.3560326205390197,195.76010353489343,1.714848621403192,-113.42025933247425,443.46,491.39398410034954,10.809088553725154,0.2806396099272109,0.2798301058450187,0.002884496890521329,0.06855103907867363,0.3093549095520908,212.00886485490324,1.7317574090826473,-132.45271064158817,443.46,460.67673664961904,3.882365185049174,0.3291612003714008,0.32444092610233577,0.014340311870715666,0.06855103907867363,0.8525901886691329,False,False,False,True,False
rate-2-repeat-1,evaluation,decode,1506,83.14,0.6448954084059165,108.06175059765403,8.558376698154666,3.348952387869167,19.704434133866915,0.13297822512878674,88.44843804965315,0.5784791802473739,-32.380604085093296,247.99,196.83957876976825,20.62600154451057,0.2746890215596307,0.21228244171091606,0.22718993097861084,0.20145320743890813,0.10233230492534552,91.23735225975305,0.5981256614537299,-35.16604551094562,247.99,191.20175059765404,22.899411025584083,0.29228485554582995,0.20884246381141922,0.28548311741498034,0.20145320743890813,0.9397990225893147,False,False,False,True,False
rate-2-repeat-2,evaluation,prefill,1505,87.86,7.197861883463146,372.81673664961903,74.61709429483628,71.3042589654065,29.28682055233479,0.35420805712863773,198.37357608068027,1.6698347633111228,-117.40707479433576,449.89,491.1642385879193,9.174295625134873,0.2813053507854642,0.2803409841714119,0.003428184395922748,0.07014958627847719,0.30573757893133846,214.49934665861548,1.6767275903666734,-136.63374319447354,449.89,460.67673664961904,2.3976386782589207,0.3288988050794232,0.3227267743480407,0.018765743858181756,0.07014958627847719,0.8552945357084341,False,False,True,True,False
rate-2-repeat-2,evaluation,decode,1505,83.14,0.6448954084059165,108.06175059765403,10.292255439238932,5.181429461504626,21.22622639465686,0.126606497609366,89.51828253160622,0.5802848553665835,-35.55432270720732,248.32,196.93176402178682,20.694360493803632,0.22730936542340524,0.17817784981449114,0.21614382459516207,0.16091175429371582,0.10979241549269582,91.73256473428413,0.5961139824754298,-38.325394924627744,248.32,191.20175059765404,23.001872343083907,0.2386936793117584,0.17208569494624149,0.2790521498414713,0.16091175429371582,0.9523057589074901,False,False,False,False,False
