phase,epoch,train_loss,val_loss,mean_pred_sigma,lr,scheduled_sampling_prob
teacher_forcing,1.0,1.4225224256515503,1.3799479007720947,1.0265021499102287,0.001,0.0
teacher_forcing,2.0,1.3945398330688477,1.3510136604309082,1.0183356329504674,0.001,0.0
teacher_forcing,3.0,1.3675531148910522,1.3226511478424072,1.0090016457880682,0.001,0.0
teacher_forcing,4.0,1.3412476778030396,1.2946252822875977,0.99873853805927,0.001,0.0
teacher_forcing,5.0,1.3153975009918213,1.2667566537857056,0.9877014897804892,0.001,0.0
teacher_forcing,6.0,1.2898342609405518,1.2389018535614014,0.9759886222167474,0.001,0.0
teacher_forcing,7.0,1.2644171714782715,1.210951328277588,0.9636631062593908,0.001,0.0
teacher_forcing,8.0,1.2390336990356445,1.1828250885009766,0.9507616708774028,0.001,0.0
teacher_forcing,9.0,1.2135984897613525,1.1544705629348755,0.93730613387586,0.001,0.0
teacher_forcing,10.0,1.1880515813827515,1.1258628368377686,0.9233107506558476,0.001,0.0
teacher_forcing,11.0,1.1623579263687134,1.0970103740692139,0.9087851602869328,0.001,0.0
teacher_forcing,12.0,1.136509656906128,1.0679641962051392,0.8937353498016462,0.001,0.0
teacher_forcing,13.0,1.1105316877365112,1.0388271808624268,0.8781638763780282,0.001,0.0
teacher_forcing,14.0,1.0844886302947998,1.0097694396972656,0.8620712424745312,0.001,0.0
teacher_forcing,15.0,1.0584955215454102,0.9810472130775452,0.8454563872390313,0.001,0.0
teacher_forcing,16.0,1.0327340364456177,0.953018069267273,0.828318626170753,0.001,0.0
teacher_forcing,17.0,1.0074604749679565,0.9261336922645569,0.8106642645896187,0.001,0.0
teacher_forcing,18.0,0.9829998016357422,0.9009078145027161,0.7925209577864987,0.001,0.0
teacher_forcing,19.0,0.9597292542457581,0.8777539730072021,0.7739302770079547,0.001,0.0
teacher_forcing,20.0,0.9379618763923645,0.8567283749580383,0.7549458965247507,0.001,0.0
teacher_forcing,21.0,0.9177597761154175,0.8372124433517456,0.7356346261400167,0.001,0.0
