hardware,heldout_family,model,tp,rate,measured_mean_w,predicted_mean_w,bin_mape_pct
A100,dense-70b,deepseek-r1-distill-70b,4,0.125,734.1271789617485,745.0033752475548,18.090430812044715
A100,dense-70b,deepseek-r1-distill-70b,4,0.125,734.7371379781421,744.8656168908419,18.649212769857083
A100,dense-70b,deepseek-r1-distill-70b,4,0.25,1015.0229280821916,975.73635950191,16.19283348984118
A100,dense-70b,deepseek-r1-distill-70b,4,0.25,1018.6351027397261,976.0799845503005,15.491411421066243
A100,dense-70b,deepseek-r1-distill-70b,4,0.5,1178.4811179867988,1095.2050387724203,10.570767800329719
A100,dense-70b,deepseek-r1-distill-70b,4,0.5,1178.544103410341,1095.6634031879348,10.901018056627347
A100,dense-70b,deepseek-r1-distill-70b,4,1,1232.9934671436142,1177.0092331393416,7.627408641510322
A100,dense-70b,deepseek-r1-distill-70b,4,1,1235.278611552729,1176.5282258047346,7.655718332342476
A100,dense-70b,deepseek-r1-distill-70b,4,2,1240.217270531401,1280.400120382053,9.405212448981299
A100,dense-70b,deepseek-r1-distill-70b,4,2,1236.7457944176058,1280.7810998900818,9.36119084010642
A100,dense-70b,deepseek-r1-distill-70b,4,4,1311.2605430274755,1500.3744029568481,15.777644779963499
A100,dense-70b,deepseek-r1-distill-70b,4,4,1302.2303032659408,1500.1659816519975,16.492947418978392
A100,dense-70b,deepseek-r1-distill-70b,8,0.125,1071.614095511768,1154.4284722636353,21.397699323196733
A100,dense-70b,deepseek-r1-distill-70b,8,0.125,1070.4267597153805,1151.846797299758,22.215464165448097
A100,dense-70b,deepseek-r1-distill-70b,8,0.25,1477.8854230989136,1497.9460672594146,19.77818873439976
A100,dense-70b,deepseek-r1-distill-70b,8,0.25,1479.0133419096626,1501.007689229472,20.71062895005977
A100,dense-70b,deepseek-r1-distill-70b,8,0.5,1879.573746556474,1761.0103731135325,13.237731889830965
A100,dense-70b,deepseek-r1-distill-70b,8,0.5,1871.1641749311295,1765.8124600884082,12.775759611887135
A100,dense-70b,deepseek-r1-distill-70b,8,1,2055.6139331723025,1875.6943484533663,10.039849117726146
A100,dense-70b,deepseek-r1-distill-70b,8,1,2031.326782071927,1885.999389246628,9.00557807382617
A100,dense-70b,deepseek-r1-distill-70b,8,2,2071.7559512195126,1955.5226790416455,8.231604363481221
A100,dense-70b,deepseek-r1-distill-70b,8,2,2030.197650406504,1978.4007666983994,6.897416442862812
