file,model,hardware,tp,mode,K,mu,sigma,method,version,n_samples,subsampled,data_hash,cache_path
random_gpt-oss-120b_a100.npz,gpt-oss-120b,a100,2,auto,8,"[64.17843197841168, 129.17158257261846, 159.89659781423754, 352.25861199578964, 417.0783096454181, 533.1999312689131, 694.1698288099246, 728.7174295301267]","[7.90914803611868, 2.077053725019838, 7.862640051350066, 13.166716350931587, 43.81257680911052, 71.71224838947057, 34.01520041377357, 18.282331198172642]",dp-gmm+merge,v1,120672,100000,8752b9592ed33a21860c51ecd02e797be229d75c659e40f21558b99eec96f596,states_cache/a100_gpt-oss-120b_tp2_states_v1.npz
random_gpt-oss-120b_a100.npz,gpt-oss-120b,a100,4,auto,7,"[255.99254867833852, 310.85849532814984, 662.5578080281441, 769.0441377334643, 925.7738930566845, 1177.8260803616454, 1284.8537452872572]","[3.082867666913838, 20.284534152355565, 38.13190758655337, 77.49429328145263, 127.1337653951135, 77.50109653260415, 32.07122914558938]",dp-gmm+merge,v1,113130,100000,8752b9592ed33a21860c51ecd02e797be229d75c659e40f21558b99eec96f596,states_cache/a100_gpt-oss-120b_tp4_states_v1.npz
random_gpt-oss-120b_a100.npz,gpt-oss-120b,a100,8,auto,9,"[452.04984128962235, 515.6009328648007, 634.4837011054301, 792.998221895641, 1097.0403810232406, 1238.9963698487463, 1551.2436887754047, 2190.889087878981, 2369.0019824363285]","[12.876377198084173, 3.621830426330453, 15.782333545372285, 112.15128500083239, 51.25974375559091, 71.32189104649525, 316.8697384593218, 73.60976442367131, 69.48615725655473]",dp-gmm+merge,v1,105588,100000,8752b9592ed33a21860c51ecd02e797be229d75c659e40f21558b99eec96f596,states_cache/a100_gpt-oss-120b_tp8_states_v1.npz
random_gpt-oss-120b_h100.npz,gpt-oss-120b,h100,2,auto,8,"[240.38543863802798, 277.13967447630995, 389.05385220293664, 580.8765984084829, 702.7313781690763, 971.0596751436926, 1125.2873826737125, 1360.9752059968455]","[3.957438080112267, 25.73750151001894, 63.12594542365426, 50.763039630668864, 114.94002369054867, 93.16750475512717, 115.89121116497411, 17.011235625923288]",dp-gmm+merge,v1,64925,64925,388d0c45e35afe4634a83ab0428dfdac25eaf7c716a19a8b7ba189d865e79f9d,states_cache/h100_gpt-oss-120b_tp2_states_v1.npz
random_gpt-oss-120b_h100.npz,gpt-oss-120b,h100,4,auto,8,"[476.20271534663226, 506.90293552705026, 597.0976301375111, 859.6827579620748, 1124.799902301969, 1490.0550962297225, 2220.761043101483, 2396.4980564670473]","[5.724493061403754, 22.921263506671096, 57.66707445602072, 133.23356637627683, 196.83471529351212, 282.1355568080628, 116.94470127148529, 44.652011724891715]",dp-gmm+merge,v1,64925,64925,388d0c45e35afe4634a83ab0428dfdac25eaf7c716a19a8b7ba189d865e79f9d,states_cache/h100_gpt-oss-120b_tp4_states_v1.npz
random_gpt-oss-120b_h100.npz,gpt-oss-120b,h100,8,auto,9,"[934.4752454160808, 980.8606633743602, 1097.553859297603, 1460.4598883009078, 1881.1957001760043, 2246.8984448153437, 3172.4738204670634, 3558.0887654130283, 4191.1388731662555]","[8.446264358438368, 33.76943423005848, 75.27502319730277, 192.96627365565482, 291.9394604580925, 219.67261955049466, 150.0011102827973, 281.0437239833969, 73.76836799873605]",dp-gmm+merge,v1,64925,64925,388d0c45e35afe4634a83ab0428dfdac25eaf7c716a19a8b7ba189d865e79f9d,states_cache/h100_gpt-oss-120b_tp8_states_v1.npz
random_gpt-oss-20b_a100.npz,gpt-oss-20b,a100,1,auto,6,"[69.13233134071669, 85.50586880535212, 241.60244781292806, 290.8880405774093, 378.0005286689525, 395.40153263779627]","[1.1413635931563295, 3.1260548293754296, 7.231254250396329, 27.9766167968883, 16.734066458564726, 10.400866553976936]",dp-gmm+merge,v1,104580,100000,2144a4a426a1607018c445e89ef0007185c38b03b89423cd12569d498ccdc2ff,states_cache/a100_gpt-oss-20b_tp1_states_v1.npz
random_gpt-oss-20b_a100.npz,gpt-oss-20b,a100,2,auto,7,"[136.10350695861297, 165.45153080210767, 259.23416982958645, 372.76859207003304, 441.398766497802, 535.4950856265365, 720.8899419562116]","[1.545597563105449, 7.659641332877813, 50.40720377629371, 11.701647251761054, 51.393040510195554, 81.89613972560068, 18.68938799899018]",dp-gmm+merge,v1,104580,100000,2144a4a426a1607018c445e89ef0007185c38b03b89423cd12569d498ccdc2ff,states_cache/a100_gpt-oss-20b_tp2_states_v1.npz
random_gpt-oss-20b_h100.npz,gpt-oss-20b,h100,1,auto,9,"[123.95434329226653, 143.73414986896842, 188.36721594970845, 260.9425718781555, 355.51647060509896, 415.6678793867032, 543.5006201391251, 640.9563880548201, 689.9824619197406]","[1.7821952250978759, 14.093900900079502, 26.854929250598012, 42.189442422705746, 19.294573994848296, 32.9735880248891, 52.661557353478685, 27.71261266425242, 5.3097732950744945]",dp-gmm+merge,v1,107844,100000,83191a4ce4382bb808abeb8500f9a4708731ac84f8f4a78019a43c0d36d35b19,states_cache/h100_gpt-oss-20b_tp1_states_v1.npz
random_gpt-oss-20b_h100.npz,gpt-oss-20b,h100,2,auto,9,"[241.30396755583538, 272.4939626784568, 358.4102385225777, 598.0876848852736, 701.741986098524, 848.2524259945219, 1092.379503752407, 1233.2092589452482, 1298.863736278114]","[3.851931227959714, 20.61405430302076, 52.699936701565775, 78.96805105443147, 146.9775671641231, 91.55097235489981, 41.47707850900598, 55.001928394139874, 24.512041329603644]",dp-gmm+merge,v1,104576,100000,83191a4ce4382bb808abeb8500f9a4708731ac84f8f4a78019a43c0d36d35b19,states_cache/h100_gpt-oss-20b_tp2_states_v1.npz
