hardware,scope,heldout,n_bins,p_idle_w,e_f_pj,e_w_pj,e_kv_pj,r2,mape_pct
A100,pooled,,87576,80.03330237599425,0.3903501461055337,169.7056873014822,4144.175681185228,0.9383578546907465,17.794385533314745
A100,lomo,dense-70b,58168,82.8054141325086,2.0549974148634473,151.57965873996864,3366.150635751636,0.8867573198971576,4.84986516986805
A100,lomo,dense-8b,58455,81.57635847034128,0.0,171.26445533369068,5097.572989793907,0.9439563579648128,21.25609916531396
A100,lomo,moe-120b,73051,78.01254079641663,0.4963516389371093,170.1591729084795,3944.9639422727328,0.9455731256607789,11.26828905754773
A100,lomo,moe-20b,73054,79.97824675746988,0.39765177110906386,169.73087066725722,4126.9757738804665,0.9254211997917153,7.548959273455317
H100,pooled,,94786,126.02745210854148,0.8391429888255664,150.17058552049065,4148.657662269488,0.9180370468758466,20.438836290694887
H100,lomo,dense-405b,87397,126.65676149595485,0.38626734549354425,136.4769161621842,5710.783925479951,0.9108638925653736,18.010347598997264
H100,lomo,dense-70b,65537,119.45602156048513,0.7676723026503818,167.81594966902375,3749.133215263912,0.926104489149874,6.4230068947489345
H100,lomo,dense-8b,36638,136.13828717592315,0.7490600726964906,150.7167123925022,3912.201375550708,0.8514148374313413,20.908896656241318
