config_id,status,reason,k,k_selection_reason,auto_k,feature_set,input_dim,seed,device,best_epoch,best_val_loss,final_train_loss,final_val_loss,num_train_traces,num_val_traces,num_test_traces,num_train_points,gmm_aic,gmm_bic,bic_candidates,checkpoint_path,curve_path,norm_params_path,gmm_params_path
deepseek-r1-distill-70b_A100_tp4,trained,,10,bic_minimum_at_k=10,True,f2,2,42,cuda,1,1.914200782775879,1.3631622940301895,2.0679367184638977,12,2,4,30400,312340.68845552125,312582.0321942557,"{""10"": {""aic"": 312340.68845552125, ""bic"": 312582.0321942557}, ""12"": {""aic"": 312320.1112501536, ""bic"": 312611.38817621244}, ""14"": {""aic"": 311766.20252107707, ""bic"": 312107.41263446026}, ""16"": {""aic"": 311833.56731058663, ""bic"": 312224.71061129414}, ""18"": {""aic"": 311754.56005648075, ""bic"": 312195.63654451264}, ""20"": {""aic"": 311745.0166065302, ""bic"": 312236.02628188644}, ""6"": {""aic"": 315875.16421076976, ""bic"": 316016.6415748555}, ""8"": {""aic"": 312440.4584434093, ""bic"": 312631.86899481935}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-70b_A100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-70b_A100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-70b_A100_tp4.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-70b_A100_tp4_k10.json
deepseek-r1-distill-70b_A100_tp8,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,5,2.1130585074424744,1.6707840462525685,2.18339467048645,12,2,4,30122,336029.9781322523,336320.9335200793,"{""10"": {""aic"": 336158.49788619665, ""bic"": 336399.575207539}, ""12"": {""aic"": 336029.9781322523, ""bic"": 336320.9335200793}, ""14"": {""aic"": 335874.2552952778, ""bic"": 336215.08874958946}, ""16"": {""aic"": 335992.5931362573, ""bic"": 336383.3046570536}, ""18"": {""aic"": 335983.77645499964, ""bic"": 336424.36604228057}, ""20"": {""aic"": 335243.9637846422, ""bic"": 335734.43143840774}, ""6"": {""aic"": 336928.5424091226, ""bic"": 337069.8635974957}, ""8"": {""aic"": 336385.8969634161, ""bic"": 336577.0962182738}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-70b_A100_tp8_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-70b_A100_tp8_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-70b_A100_tp8.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-70b_A100_tp8_k12.json
deepseek-r1-distill-70b_H100_tp4,trained,,10,bic_minimum_at_k=10,True,f2,2,42,cuda,3,2.150067687034607,1.879450111162095,2.168942481279373,21,4,5,52593,638488.8103312241,638746.0501422147,"{""10"": {""aic"": 638488.8103312241, ""bic"": 638746.0501422147}, ""12"": {""aic"": 638453.7752669108, ""bic"": 638764.2371077616}, ""14"": {""aic"": 638334.8124706573, ""bic"": 638698.4963413682}, ""16"": {""aic"": 638005.730281726, ""bic"": 638422.636182297}, ""18"": {""aic"": 637834.712960599, ""bic"": 638304.8408910302}, ""20"": {""aic"": 637755.3356520268, ""bic"": 638278.6856123181}, ""6"": {""aic"": 639339.2059903964, ""bic"": 639490.0017416668}, ""8"": {""aic"": 638809.0476628052, ""bic"": 639013.0654439357}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-70b_H100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-70b_H100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-70b_H100_tp4.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-70b_H100_tp4_k10.json
deepseek-r1-distill-70b_H100_tp8,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,85,1.8224800527095795,1.6505012455440702,1.8436222970485687,21,4,5,52346,631583.5091984131,631893.8062765738,"{""10"": {""aic"": 631637.1121027378, ""bic"": 631894.215396071}, ""12"": {""aic"": 631583.5091984131, ""bic"": 631893.8062765738}, ""14"": {""aic"": 631440.3504453716, ""bic"": 631803.8413083599}, ""16"": {""aic"": 631134.0634309569, ""bic"": 631550.7480787728}, ""18"": {""aic"": 631123.9071185696, ""bic"": 631593.785551213}, ""20"": {""aic"": 630916.0085254088, ""bic"": 631439.0807428798}, ""6"": {""aic"": 638971.7082359388, ""bic"": 639122.4239596169}, ""8"": {""aic"": 631909.4233864693, ""bic"": 632113.3328949749}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-70b_H100_tp8_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-70b_H100_tp8_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-70b_H100_tp8.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-70b_H100_tp8_k12.json
deepseek-r1-distill-8b_A100_tp1,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,1,2.153997222582499,1.8424201409022014,2.1936690409978232,15,3,4,37200,265818.7616587657,266117.10390017484,"{""10"": {""aic"": 265936.5599504425, ""bic"": 266183.7578076101}, ""12"": {""aic"": 265818.7616587657, ""bic"": 266117.10390017484}, ""14"": {""aic"": 263881.524784869, ""bic"": 264231.0114105197}, ""16"": {""aic"": 263534.5892004751, ""bic"": 263935.22021036735}, ""18"": {""aic"": 263598.3385245951, ""bic"": 264050.11391872895}, ""20"": {""aic"": 263500.2986771274, ""bic"": 264003.2184555028}, ""6"": {""aic"": 299095.0655545001, ""bic"": 299239.9746431845}, ""8"": {""aic"": 266369.2308161943, ""bic"": 266565.28428912035}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-8b_A100_tp1_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-8b_A100_tp1_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-8b_A100_tp1.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-8b_A100_tp1_k12.json
deepseek-r1-distill-8b_A100_tp2,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,3,2.1584466695785522,1.699022223552068,2.187260389328003,12,2,4,29788,253452.3723439885,253742.93747572758,"{""10"": {""aic"": 253686.74224027657, ""bic"": 253927.49620657467}, ""12"": {""aic"": 253452.3723439885, ""bic"": 253742.93747572758}, ""14"": {""aic"": 253425.50592950912, ""bic"": 253765.88222668917}, ""16"": {""aic"": 253400.4854226347, ""bic"": 253790.67288525574}, ""18"": {""aic"": 253333.9748303408, ""bic"": 253773.97345840282}, ""20"": {""aic"": 252656.52166189387, ""bic"": 253146.33145539687}, ""6"": {""aic"": 256660.88737059748, ""bic"": 256802.0190060136}, ""8"": {""aic"": 253606.64782034777, ""bic"": 253797.59062120487}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-8b_A100_tp2_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-8b_A100_tp2_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-8b_A100_tp2.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-8b_A100_tp2_k12.json
deepseek-r1-distill-8b_A100_tp4,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,7,2.1246488094329834,2.051997572183609,2.1458507776260376,12,2,4,29699,298382.67822055105,298673.13862344774,"{""10"": {""aic"": 298925.5583787048, ""bic"": 299166.2255696763}, ""12"": {""aic"": 298382.67822055105, ""bic"": 298673.13862344774}, ""14"": {""aic"": 298216.71794597263, ""bic"": 298556.97156079445}, ""16"": {""aic"": 298257.53519775736, ""bic"": 298647.5820245043}, ""18"": {""aic"": 297532.7511257897, ""bic"": 297972.5911644618}, ""20"": {""aic"": 297507.1040600474, ""bic"": 297996.73731064465}, ""6"": {""aic"": 299053.590411603, ""bic"": 299194.6711787242}, ""8"": {""aic"": 298895.2521586663, ""bic"": 299086.1261377127}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-8b_A100_tp4_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-8b_A100_tp4_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-8b_A100_tp4.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-8b_A100_tp4_k12.json
deepseek-r1-distill-8b_A100_tp8,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,12,2.065797448158264,2.0681003431479135,2.078319549560547,12,2,4,29686,315982.6828870874,316273.12796624884,"{""10"": {""aic"": 316083.6103959743, ""bic"": 316324.26489013666}, ""12"": {""aic"": 315982.6828870874, ""bic"": 316273.12796624884}, ""14"": {""aic"": 316003.5068739299, ""bic"": 316343.74253809045}, ""16"": {""aic"": 315978.1055392757, ""bic"": 316368.1317884354}, ""18"": {""aic"": 315871.90169870737, ""bic"": 316311.71853286616}, ""20"": {""aic"": 315876.50137131615, ""bic"": 316366.10879047407}, ""6"": {""aic"": 318417.473412525, ""bic"": 318558.54673668917}, ""8"": {""aic"": 317947.6183414518, ""bic"": 318138.482250615}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-8b_A100_tp8_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-8b_A100_tp8_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-8b_A100_tp8.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-8b_A100_tp8_k12.json
deepseek-r1-distill-8b_H100_tp1,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,68,2.058428704738617,1.9575319517226446,2.06055223941803,21,4,5,52060,497665.53711022175,497975.64243647095,"{""10"": {""aic"": 497820.96394692693, ""bic"": 498077.90836010483}, ""12"": {""aic"": 497665.53711022175, ""bic"": 497975.64243647095}, ""14"": {""aic"": 497776.8118660341, ""bic"": 498140.0781053546}, ""16"": {""aic"": 497614.76494504214, ""bic"": 498031.1920974339}, ""18"": {""aic"": 496587.8831598852, ""bic"": 497057.47122534824}, ""20"": {""aic"": 497615.91719769774, ""bic"": 498138.6661762321}, ""6"": {""aic"": 498896.75622144924, ""bic"": 499047.3788084846}, ""8"": {""aic"": 497972.6748395127, ""bic"": 498176.4583396193}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-8b_H100_tp1_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-8b_H100_tp1_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-8b_H100_tp1.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-8b_H100_tp1_k12.json
deepseek-r1-distill-8b_H100_tp2,trained,,12,bic_minimum_at_max_k=12_may_need_higher,True,f2,2,42,cuda,1,2.0937667191028595,2.096209094637916,2.1083887219429016,21,4,5,51924,543395.5674823867,543705.5812560371,"{""10"": {""aic"": 552369.0637222186, ""bic"": 552625.932277529}, ""12"": {""aic"": 543395.5674823867, ""bic"": 543705.5812560371}, ""14"": {""aic"": 543368.5703176976, ""bic"": 543731.7293096881}, ""16"": {""aic"": 543351.6828205871, ""bic"": 543767.9870309177}, ""18"": {""aic"": 543175.9879031141, ""bic"": 543645.4373317847}, ""20"": {""aic"": 543127.065342989, ""bic"": 543649.6599899998}, ""6"": {""aic"": 552794.5207147194, ""bic"": 552945.0988333496}, ""8"": {""aic"": 552496.6213455604, ""bic"": 552700.3446825307}}",results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/checkpoints/deepseek-r1-distill-8b_H100_tp2_k12_f2_best.pt,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/training_curves/deepseek-r1-distill-8b_H100_tp2_k12_f2.csv,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/norm_params/deepseek-r1-distill-8b_H100_tp2.json,results/continuous_v1_gmm_bigru_sharegpt_all/kauto_max12_f2/gmms/deepseek-r1-distill-8b_H100_tp2_k12.json
