timestamp,query.start,query.end,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu
2026/07/24 16:42:44.211,2026/07/24 16:42:44.198,2026/07/24 16:42:44.223,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.29,1410,1593,0,0,73511,43
2026/07/24 16:42:44.211,2026/07/24 16:42:44.198,2026/07/24 16:42:44.223,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:42:44.461,2026/07/24 16:42:44.448,2026/07/24 16:42:44.474,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.29,1410,1593,0,0,73511,43
2026/07/24 16:42:44.461,2026/07/24 16:42:44.448,2026/07/24 16:42:44.474,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:42:44.712,2026/07/24 16:42:44.698,2026/07/24 16:42:44.725,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.29,1410,1593,0,0,73511,42
2026/07/24 16:42:44.712,2026/07/24 16:42:44.698,2026/07/24 16:42:44.725,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:42:44.963,2026/07/24 16:42:44.948,2026/07/24 16:42:44.978,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.29,1410,1593,0,0,73511,42
2026/07/24 16:42:44.963,2026/07/24 16:42:44.948,2026/07/24 16:42:44.978,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:42:45.211,2026/07/24 16:42:45.198,2026/07/24 16:42:45.224,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.29,1410,1593,0,0,73511,42
2026/07/24 16:42:45.211,2026/07/24 16:42:45.198,2026/07/24 16:42:45.224,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:42:45.460,2026/07/24 16:42:45.448,2026/07/24 16:42:45.472,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.29,1410,1593,0,0,73511,42
