config_id,train_points,p_prev_norm_mean,p_prev_norm_std,A_norm_mean,A_norm_std,T_arrive_norm_mean,T_arrive_norm_std,target_norm_mean,target_norm_std,max_abs_mean_dev_from_0,max_abs_std_dev_from_1
deepseek-r1-distill-70b_A100_tp4,33088,0.0007939872965108553,0.9993908556616286,0.0002658239399610768,1.0001063922794018,-0.0004313842481726373,0.9999508984898834,0.0007966673330402063,0.9993856160498918,0.0007966673330402063,0.0006143839501081549
deepseek-r1-distill-70b_A100_tp8,30264,0.0006912360838096182,0.9995921680827332,0.0002372138279400561,1.00012711397704,-0.00044514237554212614,0.9999388861776585,0.0006956843660020289,0.999584358750725,0.0006956843660020289,0.00041564124927495616
deepseek-r1-distill-70b_H100_tp4,52858,0.0005155372402836699,0.9996916530298393,0.00028396960882954685,1.0000969338648087,-0.00039315229557560866,0.9999948745499494,0.0007343542569122776,0.9994541044166056,0.0007343542569122776,0.0005458955833943513
deepseek-r1-distill-70b_H100_tp8,52480,0.0003984889870223913,0.9999139883934384,0.00019060759464415109,1.0001543530799908,-0.00045822695147518705,0.9999310988158705,0.0005487587103465191,0.99980801207668,0.0005487587103465191,0.0001919879233199806
deepseek-r1-distill-8b_A100_tp1,37633,0.0005516004461463203,0.999815505111712,0.0001883612622918987,1.00015448330411,-0.0003769125924921212,1.0000143424981087,0.0005919695714423862,0.9997590788587225,0.0005919695714423862,0.00024092114127749475
deepseek-r1-distill-8b_A100_tp2,32605,0.00041636213148823256,0.9999227877011035,0.0001721050305210032,1.000161815641609,-0.0003248320156364166,1.000060429095314,0.0004903291081781519,0.9998954481121604,0.0004903291081781519,0.00016181564160899775
deepseek-r1-distill-8b_A100_tp4,32589,0.00046547375120128373,0.9999241947780343,0.00015516311251238148,1.0001688071759929,-0.0002870369460123366,1.0000883357630093,0.0004705227395999893,0.9999180136455988,0.0004705227395999893,0.00016880717599287998
deepseek-r1-distill-8b_A100_tp8,27511,0.0004617002252384766,0.9999262298035527,0.00011795006207909182,1.0001819687137363,-0.0003007313039638992,1.0000798064183634,0.0004942411070901926,0.9998870483205928,0.0004942411070901926,0.00018196871373632462
deepseek-r1-distill-8b_H100_tp1,52412,0.00021537802776415118,1.0000346919598375,0.00010965838556406853,1.000184868222197,-0.0003736537428363665,1.0000190742541923,0.000304548850245091,1.000046130864243,0.0003736537428363665,0.00018486822219698773
deepseek-r1-distill-8b_H100_tp2,52256,0.00012031489479100918,1.000030780814261,4.927671471107648e-05,1.0001972625333866,-0.00035699414270681904,1.000037287414877,0.00034050285060584093,1.0000136161197988,0.00035699414270681904,0.0001972625333865885
deepseek-r1-distill-8b_H100_tp4,49699,0.000270885252577749,1.0000480865116226,-0.00010592122800311955,1.0001863484491311,-0.0004241012186564565,0.9999741126491082,0.0003518180654319262,1.000042855679014,0.0004241012186564565,0.00018634844913112403
deepseek-r1-distill-8b_H100_tp8,52419,0.0003006984910846566,1.0000558676170501,-4.73433647591673e-06,1.0001995713361829,-0.0003256231962005054,1.0000593239661824,0.00035045747197283525,1.000033709322151,0.00035045747197283525,0.00019957133618286882
llama-3-405b_H100_tp8,53612,0.0005635381079837677,0.9996122853371154,0.0003326401692727364,1.0000544711206363,-0.0003400199737316155,1.0000390561665864,0.0011176278260015607,0.9985992389564794,0.0011176278260015607,0.0014007610435206042
llama-3-70b_A100_tp4,53547,0.0008119203582668098,0.9993367132036524,0.0002962948988638826,1.000084029556752,-0.00037562485482286784,1.0000074041230014,0.0008465892645997534,0.9992790763200556,0.0008465892645997534,0.000720923679944363
llama-3-70b_A100_tp8,48172,0.0007874442900193126,0.999407717482589,0.00030942714159016313,1.0000756501046837,-0.00034572345928566547,1.0000357819271155,0.0007945120284436059,0.9993931243801498,0.0007945120284436059,0.0006068756198501779
llama-3-70b_H100_tp4,50161,0.000412460858324873,0.9998500640648098,0.0002449237370029505,1.0001238753169748,-0.0004209147938196959,0.999970926637601,0.0005607205498150653,0.9997543666610316,0.0005607205498150653,0.00024563333896843176
llama-3-70b_H100_tp8,50173,0.0003310449861412923,0.9998988580855095,0.0002503181369943839,1.00012041558133,-0.0003662507800562848,1.0000221370900024,0.0005601943732551606,0.999746878374756,0.0005601943732551606,0.000253121625244046
llama-3-8b_H100_tp1,52342,0.00025222986978580775,0.99996970207465,0.00018514576004166502,1.000157475414412,-0.00028385695850501605,1.0000933256090636,0.00042834787453876414,0.9999212479308079,0.00042834787453876414,0.00015747541441202273
llama-3-8b_H100_tp2,49788,0.00019202530946604499,1.0000163135302496,6.727171660599732e-05,1.0001946732642812,-0.00032847173493425846,1.0000600799677783,0.00028219979084618835,1.0000569589901587,0.00032847173493425846,0.0001946732642812421
llama-3-8b_H100_tp4,52334,0.0002681622550076301,1.000040467942703,-6.854525037747936e-06,1.0001998611354166,-0.00032857953579574237,1.0000598169767414,0.0003428345285962846,1.0000302596669561,0.0003428345285962846,0.00019986113541659023
llama-3-8b_H100_tp8,52304,0.00029362226004704553,1.0000614164724357,-4.429099400424928e-05,1.0001975525291333,-0.0003494086366804341,1.0000407374856757,0.000344694478384758,1.0000446893065786,0.0003494086366804341,0.00019755252913333798
