config_id,num_traces,num_train_traces,num_training_timesteps,power_min_w,power_max_w,power_range_w,A_min,A_max,A_range,num_unique_rates,rates
deepseek-r1-distill-70b_A100_tp4,18,13,33088,248.37,1755.29,1506.92,0.0,53.0,53.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-70b_A100_tp8,17,12,30264,550.03,3198.4,2648.37,0.0,35.0,35.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-70b_H100_tp4,30,21,52858,420.61,2283.11,1862.5,0.0,32.0,32.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-70b_H100_tp8,30,21,52480,934.6099999999999,3390.49,2455.88,0.0,24.0,24.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_A100_tp1,22,15,37633,59.3,450.67,391.37,0.0,23.0,23.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_A100_tp2,18,13,32605,125.71,814.76,689.05,0.0,18.0,18.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_A100_tp4,18,13,32589,248.23,1143.3600000000001,895.1300000000001,0.0,13.0,13.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_A100_tp8,16,11,27511,548.1700000000001,1619.63,1071.46,0.0,12.0,12.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_H100_tp1,30,21,52412,70.76,506.63,435.87,0.0,14.0,14.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_H100_tp2,30,21,52256,138.68,832.8299999999999,694.1499999999999,0.0,12.0,12.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_H100_tp4,29,20,49699,327.4,1362.8700000000001,1035.4700000000003,0.0,10.0,10.0,6,0.125;0.25;0.5;1;2;4
deepseek-r1-distill-8b_H100_tp8,30,21,52419,934.11,2135.92,1201.81,0.0,10.0,10.0,6,0.125;0.25;0.5;1;2;4
llama-3-405b_H100_tp8,30,21,53612,973.3299999999999,5207.52,4234.1900000000005,0.0,53.0,53.0,6,0.125;0.25;0.5;1;2;4
llama-3-70b_A100_tp4,30,21,53547,269.53499999999997,1752.18,1482.645,0.0,53.0,53.0,6,0.125;0.25;0.5;1;2;4
llama-3-70b_A100_tp8,27,19,48172,530.7,3266.35,2735.6499999999996,0.0,36.0,36.0,6,0.125;0.25;0.5;1;2;4
llama-3-70b_H100_tp4,29,20,50161,362.07,2309.48,1947.41,0.0,32.0,32.0,6,0.125;0.25;0.5;1;2;4
llama-3-70b_H100_tp8,29,20,50173,938.0799999999999,3430.0299999999997,2491.95,0.0,24.0,24.0,6,0.125;0.25;0.5;1;2;4
llama-3-8b_H100_tp1,30,21,52342,70.19,506.71,436.52,0.0,16.0,16.0,6,0.125;0.25;0.5;1;2;4
llama-3-8b_H100_tp2,29,20,49788,146.39,835.8299999999999,689.4399999999999,0.0,13.0,13.0,6,0.125;0.25;0.5;1;2;4
llama-3-8b_H100_tp4,30,21,52334,286.40000000000003,1390.0600000000002,1103.66,0.0,10.0,10.0,6,0.125;0.25;0.5;1;2;4
llama-3-8b_H100_tp8,30,21,52304,940.06,2156.25,1216.19,0.0,10.0,10.0,6,0.125;0.25;0.5;1;2;4
