timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784658519.6742682,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658519.933262,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658520.1893764,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658520.4452379,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658520.7012446,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658520.9595814,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658521.2177165,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658521.4753757,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658521.731047,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658521.9855309,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658522.2430618,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658522.5007017,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658522.75888,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658523.0173616,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658523.2756033,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658523.531063,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658523.7888317,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658524.0476716,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658524.3028224,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658524.5576844,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658524.81215,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658525.070406,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658525.3293986,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658525.5881255,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658525.8468146,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
1784658526.1054413,0.0,0.0,3.986605007177957e-05,1.0,1.0,2.0,1.0,0.022725578397512436,0.0,0.0,1.0,0.0
