timestamp,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu
2026/07/21 11:28:39.711,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.88,1410,1593,0,0,73331,36
2026/07/21 11:28:39.961,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:40.211,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:40.461,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:40.712,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:40.962,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:41.212,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.88,1410,1593,0,0,73331,36
2026/07/21 11:28:41.462,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:41.712,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:41.962,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.88,1410,1593,0,0,73331,36
2026/07/21 11:28:42.212,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:42.462,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:42.712,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:42.962,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:43.212,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:43.463,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:43.713,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:43.963,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:44.213,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.56,1410,1593,0,0,73331,36
2026/07/21 11:28:44.463,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.29,1410,1593,0,0,73331,36
2026/07/21 11:28:44.713,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.37,1410,1593,0,0,73331,36
2026/07/21 11:28:44.963,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,82.96,1410,1593,0,0,73331,36
2026/07/21 11:28:45.213,0,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.29,1410,1593,0,0,73331,36
