run_id,model,hardware,family,tp,rate,role,surface_supported,interpolated_power_bins,seconds,energy_error_pct,rmse_w_per_gpu,nrmse_range,ks_agreement,acf_r2
0,deepseek-r1-distill-70b,A100,dense-70b,4,0.125,heldout_model,True,28,611,1.3437627125487295,15.329979589346385,0.06039824119672329,0.6366612111292962,0.9983716552691367
1,deepseek-r1-distill-70b,A100,dense-70b,4,0.125,heldout_model,True,27,611,1.2015750136343684,15.589367578701166,0.06043415338337841,0.6252045826513912,0.998138537137149
2,deepseek-r1-distill-70b,A100,dense-70b,4,0.125,heldout_model,True,28,611,1.3749802314212167,15.544842297485976,0.061796079009884854,0.6415711947626841,0.9976783649381245
3,deepseek-r1-distill-70b,A100,dense-70b,4,0.25,heldout_model,True,23,584,0.9777183030181564,14.441903377776907,0.055140052174845564,0.5462328767123288,0.9963860673229383
4,deepseek-r1-distill-70b,A100,dense-70b,4,0.25,heldout_model,True,18,584,0.5989649807756516,14.442906693347608,0.05485759151225901,0.5667808219178083,0.9964171014378539
5,deepseek-r1-distill-70b,A100,dense-70b,4,0.25,heldout_model,True,20,584,1.1678874384522728,14.697148350164142,0.05474397189697787,0.4811643835616439,0.9968238572556939
6,deepseek-r1-distill-70b,A100,dense-70b,4,0.5,heldout_model,True,20,607,0.19911047618605385,9.580147363858513,0.03528761863385414,0.7973640856672158,0.9963767044617976
7,deepseek-r1-distill-70b,A100,dense-70b,4,0.5,heldout_model,True,16,607,0.1903352857546691,8.537403181363118,0.03141580902416914,0.827018121911038,0.9914984583469485
8,deepseek-r1-distill-70b,A100,dense-70b,4,0.5,heldout_model,True,15,607,0.5080783398960409,9.851226816544006,0.0357450599414234,0.6820428336079077,0.99149933817714
9,deepseek-r1-distill-70b,A100,dense-70b,4,1.0,heldout_model,True,16,630,0.857892648348926,8.4001498937881,0.10768732637379655,0.7650793650793651,-20.776681593379678
10,deepseek-r1-distill-70b,A100,dense-70b,4,1.0,heldout_model,True,13,630,0.6710572607881636,7.809402891257817,0.1343264311547226,0.7555555555555555,-11.774547988085775
11,deepseek-r1-distill-70b,A100,dense-70b,4,1.0,heldout_model,True,11,630,1.4597189075713912,8.71137095959891,0.17521409355631368,0.6000000000000001,-32.26557639113234
12,deepseek-r1-distill-70b,A100,dense-70b,4,2.0,heldout_model,True,11,621,3.0802940570634365,16.21651269332974,0.1265567916442819,0.428341384863124,-29.773704918719062
13,deepseek-r1-distill-70b,A100,dense-70b,4,2.0,heldout_model,True,15,621,3.3739619772797353,16.062187293929963,0.21862983351726598,0.3655394524959743,-50.93256742744331
14,deepseek-r1-distill-70b,A100,dense-70b,4,2.0,heldout_model,True,18,621,3.3618128177048194,15.833422991935155,0.20092220220401882,0.3784219001610306,-43.260495881271034
15,deepseek-r1-distill-70b,A100,dense-70b,4,4.0,heldout_model,True,17,644,2.196836603190508,16.607806836329033,0.11169347046674533,0.7018633540372671,-0.9317331789556682
16,deepseek-r1-distill-70b,A100,dense-70b,4,4.0,heldout_model,True,16,644,2.905601984451554,18.422242414586822,0.13933022549226054,0.6428571428571429,-0.9209716599762885
17,deepseek-r1-distill-70b,A100,dense-70b,4,4.0,heldout_model,True,14,643,2.747837587857509,16.424505988734655,0.18576080514303703,0.6547433903576982,-1.3355807916088605
18,deepseek-r1-distill-70b,A100,dense-70b,8,0.125,heldout_model,True,30,609,3.2942086147495244,20.467387271971692,0.09569607717899734,0.5977011494252873,0.9962702641003301
19,deepseek-r1-distill-70b,A100,dense-70b,8,0.125,heldout_model,True,36,609,3.352474625772933,21.86730883752405,0.1118630766452879,0.6535303776683087,0.9958901156123501
20,deepseek-r1-distill-70b,A100,dense-70b,8,0.125,heldout_model,True,32,609,3.5577501726528267,21.798483212106195,0.11160555551265085,0.6486042692939245,0.9963400465830342
21,deepseek-r1-distill-70b,A100,dense-70b,8,0.25,heldout_model,True,23,583,2.6254396299267264,22.354789035575415,0.1055009260528527,0.7204116638078902,0.9945056509237064
22,deepseek-r1-distill-70b,A100,dense-70b,8,0.25,heldout_model,True,29,583,2.605876693173109,22.256940153356577,0.1146792052419439,0.6895368782161235,0.995016469944348
23,deepseek-r1-distill-70b,A100,dense-70b,8,0.25,heldout_model,True,20,583,2.5145553876042643,22.607578210544826,0.11573580107816916,0.6483704974271012,0.9945367011779954
24,deepseek-r1-distill-70b,A100,dense-70b,8,0.5,heldout_model,True,14,605,0.08273028591085961,14.428876799357209,0.06470538757158334,0.5586776859504132,0.9911635985325064
25,deepseek-r1-distill-70b,A100,dense-70b,8,0.5,heldout_model,True,18,605,0.4966340911118084,14.097453201955664,0.07184902964986045,0.5454545454545454,0.9940114853354529
26,deepseek-r1-distill-70b,A100,dense-70b,8,0.5,heldout_model,True,13,605,0.7757343719357448,13.926812237584379,0.07164493295458274,0.6198347107438016,0.9940946701491021
27,deepseek-r1-distill-70b,A100,dense-70b,8,1.0,heldout_model,True,9,621,0.19056262843045702,9.358097412504907,0.04197373826118878,0.7198067632850241,0.8064757214769862
28,deepseek-r1-distill-70b,A100,dense-70b,8,1.0,heldout_model,True,9,621,1.0132094316687883,9.378689763512916,0.048049258720697374,0.6215780998389694,0.9695435843337454
29,deepseek-r1-distill-70b,A100,dense-70b,8,1.0,heldout_model,True,15,621,1.4217476023595785,10.04577629471596,0.05174592650323613,0.6022544283413849,0.9647789612772155
30,deepseek-r1-distill-70b,A100,dense-70b,8,2.0,heldout_model,True,16,616,1.3199327613364922,10.055109644320877,0.0689885974983471,0.45779220779220775,-21.609071240227316
31,deepseek-r1-distill-70b,A100,dense-70b,8,2.0,heldout_model,True,18,615,3.3987254389892443,10.816603482901728,0.08002370009729888,0.16097560975609748,0.5917922428399642
32,deepseek-r1-distill-70b,A100,dense-70b,8,2.0,heldout_model,True,14,616,4.020159473296458,11.859744745096993,0.09119044436669689,0.11201298701298701,0.611252078161282
33,deepseek-r1-distill-70b,A100,dense-70b,8,4.0,heldout_model,True,19,634,2.74114781511594,13.887075969110938,0.16621027176865427,0.4337539432176656,-70.79080416218261
34,deepseek-r1-distill-70b,A100,dense-70b,8,4.0,heldout_model,True,11,634,2.5914571780138105,14.252224944549004,0.17790333018367308,0.4148264984227129,-55.8576616591153
35,deepseek-r1-distill-70b,A100,dense-70b,8,4.0,heldout_model,True,12,634,2.8893260933698786,15.241166973784681,0.18644270757063655,0.41955835962145116,-63.01215921756622
36,deepseek-r1-distill-70b,H100,dense-70b,4,0.125,train,True,15,609,0.4879137742173778,13.98187138788235,0.040464048324283484,0.46798029556650245,0.9978634210943895
37,deepseek-r1-distill-70b,H100,dense-70b,4,0.125,train,True,17,609,0.2397888553037157,14.432185612243023,0.04176659428000935,0.47619047619047616,0.9973352847140611
38,deepseek-r1-distill-70b,H100,dense-70b,4,0.125,train,True,25,609,1.8189318990688925,12.37097412927245,0.03576873338712894,0.45648604269293924,0.997804099990104
39,deepseek-r1-distill-70b,H100,dense-70b,4,0.25,heldout_rate,True,18,583,0.6097732043998279,16.49541987465517,0.04797420270629307,0.7512864493996569,0.9980542271677717
40,deepseek-r1-distill-70b,H100,dense-70b,4,0.25,heldout_rate,True,13,583,0.4377087373999632,17.19411361834565,0.049531043639604845,0.7392795883361921,0.9980070095624556
41,deepseek-r1-distill-70b,H100,dense-70b,4,0.25,heldout_rate,True,14,583,1.823536043500613,15.93896264346243,0.046238088401904125,0.7341337907375642,0.9976785079798528
42,deepseek-r1-distill-70b,H100,dense-70b,4,0.5,train,True,13,607,0.9263741375502422,15.100622340435065,0.04257406673896447,0.8253706754530478,0.9952043875875437
43,deepseek-r1-distill-70b,H100,dense-70b,4,0.5,train,True,15,607,0.9461106831634176,14.18981433423149,0.040062577305993434,0.8088962108731466,0.9956897978062109
44,deepseek-r1-distill-70b,H100,dense-70b,4,0.5,train,True,14,607,2.3585399632512036,17.07349853017238,0.04771082748237884,0.616144975288303,0.9947412565373409
45,deepseek-r1-distill-70b,H100,dense-70b,4,1.0,heldout_rate,True,9,621,1.051056362439428,10.920732093039653,0.02953345167477418,0.7053140096618358,0.9891554769108633
46,deepseek-r1-distill-70b,H100,dense-70b,4,1.0,heldout_rate,True,8,621,1.1980768585249078,11.130676267847003,0.03013008888674522,0.6602254428341385,0.9909386669123496
47,deepseek-r1-distill-70b,H100,dense-70b,4,1.0,heldout_rate,True,10,619,2.5099467295876527,14.610876390237545,0.0395759623366633,0.39579967689822293,0.9908552474102555
48,deepseek-r1-distill-70b,H100,dense-70b,4,2.0,train,True,13,616,0.410982885156553,10.030710500117166,0.027031035656253546,0.8198051948051948,0.8977039671838732
49,deepseek-r1-distill-70b,H100,dense-70b,4,2.0,train,True,10,615,2.871517091262429,15.152867395793079,0.039643841705260086,0.44227642276422763,0.9843563519837343
50,deepseek-r1-distill-70b,H100,dense-70b,4,2.0,train,True,13,615,1.796419237765225,13.215469765447372,0.03608984526963286,0.5804878048780487,0.8554500075559336
51,deepseek-r1-distill-70b,H100,dense-70b,4,4.0,heldout_rate,True,9,633,0.43763142680018097,5.495367416276558,0.05549474795532947,0.9146919431279621,0.7380053751449975
52,deepseek-r1-distill-70b,H100,dense-70b,4,4.0,heldout_rate,True,11,633,1.8033774431887004,10.20562348426928,0.11313105838995323,0.7030015797788309,0.7791066443522596
53,deepseek-r1-distill-70b,H100,dense-70b,4,4.0,heldout_rate,True,13,633,1.6147444694736113,9.367434909766656,0.09885496722373431,0.7251184834123223,0.7692160612584686
54,deepseek-r1-distill-70b,H100,dense-70b,8,0.125,heldout_tp,True,21,608,3.4412840860957883,10.80860910928979,0.04133988134975156,0.4078947368421053,0.9996726148089042
55,deepseek-r1-distill-70b,H100,dense-70b,8,0.125,heldout_tp,True,19,608,3.6882505563054426,12.2123301739297,0.04713502001767575,0.39309210526315785,0.9994283789751778
56,deepseek-r1-distill-70b,H100,dense-70b,8,0.125,heldout_tp,True,16,608,3.9587661247008756,13.387301186488267,0.052045733616117265,0.39473684210526316,0.9992884832158879
57,deepseek-r1-distill-70b,H100,dense-70b,8,0.25,heldout_tp,True,11,583,4.074049172975017,15.405125204431538,0.05847554008320115,0.6518010291595198,0.9993046380620977
58,deepseek-r1-distill-70b,H100,dense-70b,8,0.25,heldout_tp,True,19,583,4.295805841795406,15.493822422507156,0.06006907275256663,0.6449399656946826,0.9995101173552081
59,deepseek-r1-distill-70b,H100,dense-70b,8,0.25,heldout_tp,True,20,583,4.362927077035781,15.096329272042905,0.058702464195837224,0.6415094339622642,0.9994468542234487
60,deepseek-r1-distill-70b,H100,dense-70b,8,0.5,heldout_tp,True,11,604,3.7403242084972796,15.942786153339066,0.05965460408987883,0.42384105960264895,0.9990360471057773
61,deepseek-r1-distill-70b,H100,dense-70b,8,0.5,heldout_tp,True,15,604,4.109248980254997,16.299819245060775,0.06267782637255781,0.4172185430463575,0.9990829978361874
62,deepseek-r1-distill-70b,H100,dense-70b,8,0.5,heldout_tp,True,13,604,4.314036727299085,17.399770847984932,0.06696364542180744,0.4155629139072847,0.9992724013587492
63,deepseek-r1-distill-70b,H100,dense-70b,8,1.0,heldout_tp,True,10,616,3.283664809275471,14.613226709899424,0.05409507520030492,0.2061688311688311,0.9945277338428975
64,deepseek-r1-distill-70b,H100,dense-70b,8,1.0,heldout_tp,True,9,616,3.6771764959443063,14.957927676011225,0.0575591322644149,0.15909090909090917,0.9960699888630101
65,deepseek-r1-distill-70b,H100,dense-70b,8,1.0,heldout_tp,True,9,616,4.028352690906518,16.23668700837471,0.06249799833618878,0.15746753246753253,0.9966604873377136
66,deepseek-r1-distill-70b,H100,dense-70b,8,2.0,heldout_tp,True,12,613,3.6642943109441806,15.832161530288086,0.05708645620891774,0.19249592169657415,0.9782048486359216
67,deepseek-r1-distill-70b,H100,dense-70b,8,2.0,heldout_tp,True,11,613,3.6666557789885035,15.805163155966019,0.056902005038155054,0.19412724306688423,0.9774749790162872
68,deepseek-r1-distill-70b,H100,dense-70b,8,2.0,heldout_tp,True,10,613,3.819116961776267,16.099253265772052,0.05865758803938891,0.17292006525285486,0.9797565245546572
69,deepseek-r1-distill-70b,H100,dense-70b,8,4.0,heldout_tp,True,9,628,6.495774640385688,26.375286462683107,0.5088530834147297,0.13216560509554143,-18.568913354274905
70,deepseek-r1-distill-70b,H100,dense-70b,8,4.0,heldout_tp,True,12,628,6.635317475356,26.857868300197985,0.41209245658585225,0.12738853503184722,-17.75765278733516
71,deepseek-r1-distill-70b,H100,dense-70b,8,4.0,heldout_tp,True,10,628,6.85724563385437,27.56509141392298,0.5203200229140605,0.1146496815286624,-18.735457526300433
72,deepseek-r1-distill-8b,A100,dense-8b,1,0.125,heldout_rate,True,35,608,0.8512864596374919,13.651920977862,0.05582694437663346,0.59375,0.9961359568334359
73,deepseek-r1-distill-8b,A100,dense-8b,1,0.125,heldout_rate,True,51,608,0.5891603477621158,15.661383897073133,0.06559810635534641,0.5740131578947368,0.9965344502225747
74,deepseek-r1-distill-8b,A100,dense-8b,1,0.125,heldout_rate,True,34,608,0.8512279148657381,14.935713252241083,0.062231490306313565,0.4917763157894737,0.9981264795599691
75,deepseek-r1-distill-8b,A100,dense-8b,1,0.25,train,True,26,583,0.7741416852285862,17.486272908641165,0.0792094261127065,0.6192109777015438,0.9978370613526562
76,deepseek-r1-distill-8b,A100,dense-8b,1,0.25,train,True,24,583,0.5871509961671495,17.01318758540725,0.07539384946393173,0.6072041166380788,0.996858182887044
77,deepseek-r1-distill-8b,A100,dense-8b,1,0.25,train,True,26,583,0.42924894778175465,17.314057515516208,0.0687495459087173,0.6192109777015438,0.9983531642492478
78,deepseek-r1-distill-8b,A100,dense-8b,1,0.5,heldout_rate,True,22,605,1.2693856709680467,13.686303939310443,0.056279970554256105,0.5107438016528926,0.9963021917923672
79,deepseek-r1-distill-8b,A100,dense-8b,1,0.5,heldout_rate,True,26,605,0.7043677770240991,15.32201292174913,0.06080586120761985,0.5338842975206612,0.9970611003823102
80,deepseek-r1-distill-8b,A100,dense-8b,1,0.5,heldout_rate,True,22,605,0.7280990289335565,14.90397862388915,0.05677868367244431,0.4694214876033058,0.9965918141400203
81,deepseek-r1-distill-8b,A100,dense-8b,1,1.0,train,True,20,616,0.9915253259320873,12.461123906038441,0.04638034747150673,0.4496753246753247,0.9828657486227967
82,deepseek-r1-distill-8b,A100,dense-8b,1,1.0,train,True,19,616,1.2129378190716982,12.240370589215832,0.048464239262034664,0.4058441558441558,0.9751559821071747
83,deepseek-r1-distill-8b,A100,dense-8b,1,1.0,train,True,21,616,1.5769206563480624,11.633394118735183,0.04238493867721477,0.35876623376623373,0.9837933606283724
84,deepseek-r1-distill-8b,A100,dense-8b,1,2.0,heldout_rate,True,15,612,0.9472142461087038,8.820292674169464,0.034429051667897254,0.5588235294117647,0.9380623253136153
85,deepseek-r1-distill-8b,A100,dense-8b,1,2.0,heldout_rate,True,14,612,0.9718525714444498,9.91791177915625,0.036058905386001365,0.5392156862745098,0.9323428255354186
86,deepseek-r1-distill-8b,A100,dense-8b,1,2.0,heldout_rate,True,11,612,1.659187142391191,10.403960573556782,0.03964319682044179,0.32352941176470595,0.9105395586003021
87,deepseek-r1-distill-8b,A100,dense-8b,1,4.0,train,True,18,628,2.2236727257941538,14.635988147067645,0.1419763613150722,0.7722929936305732,-0.3935729858173076
88,deepseek-r1-distill-8b,A100,dense-8b,1,4.0,train,True,14,628,2.1666741278209742,13.893487605007483,0.129672983223346,0.75,-0.23858323275378757
89,deepseek-r1-distill-8b,A100,dense-8b,1,4.0,train,True,17,628,1.1513600208290098,13.829395205888675,0.08860311185359397,0.8184713375796179,-0.2780942160030071
90,deepseek-r1-distill-8b,A100,dense-8b,2,0.125,heldout_tp,True,40,608,1.3674171658471297,12.88155706935811,0.0665644743145827,0.5279605263157895,0.9940934042628367
91,deepseek-r1-distill-8b,A100,dense-8b,2,0.125,heldout_tp,True,33,608,1.9236147928623633,11.718940177553241,0.056126536447487656,0.5049342105263157,0.9940694729016317
92,deepseek-r1-distill-8b,A100,dense-8b,2,0.125,heldout_tp,True,38,608,1.7335043371393402,10.165657977132874,0.05156208277617252,0.48848684210526316,0.9928475885910504
93,deepseek-r1-distill-8b,A100,dense-8b,2,0.25,heldout_tp,True,26,583,2.167761329518985,15.410498738672135,0.07950112844960822,0.7307032590051459,0.9940029638000686
94,deepseek-r1-distill-8b,A100,dense-8b,2,0.25,heldout_tp,True,33,583,2.368245016281458,15.641403328689814,0.08066581140741082,0.7032590051457976,0.9943694402331241
95,deepseek-r1-distill-8b,A100,dense-8b,2,0.25,heldout_tp,True,28,583,2.3727924119480703,14.789265155253815,0.06581892290260184,0.7238421955403087,0.9944487313273563
96,deepseek-r1-distill-8b,A100,dense-8b,2,0.5,heldout_tp,True,28,605,2.854866040681126,16.20716028851018,0.0792414772422464,0.6181818181818182,0.9948285971324576
97,deepseek-r1-distill-8b,A100,dense-8b,2,0.5,heldout_tp,True,22,605,3.2712140986508023,14.981029263364517,0.07145477392110679,0.5917355371900826,0.9967694177419313
98,deepseek-r1-distill-8b,A100,dense-8b,2,0.5,heldout_tp,True,27,605,3.4058774411587973,17.158085320977683,0.08420267982346677,0.5917355371900826,0.990913974807317
99,deepseek-r1-distill-8b,A100,dense-8b,2,1.0,heldout_tp,True,15,612,3.476804928087599,15.325976843754187,0.07011168820588018,0.3267973856209151,0.9888697526392561
100,deepseek-r1-distill-8b,A100,dense-8b,2,1.0,heldout_tp,True,21,612,4.106962098285908,17.178367548747513,0.07751577390023039,0.3088235294117647,0.9862480853167624
101,deepseek-r1-distill-8b,A100,dense-8b,2,1.0,heldout_tp,True,19,612,4.065434918257032,15.521492569682215,0.07378581860598686,0.31209150326797386,0.9894909200814933
102,deepseek-r1-distill-8b,A100,dense-8b,2,2.0,heldout_tp,True,18,610,3.590155673360623,12.192674317215193,0.05374714546771642,0.14590163934426237,0.9645387545167257
