model,label,traces,points,nrmse_range_median,nrmse_range_low,nrmse_range_high,ks_agreement_median,ks_agreement_low,ks_agreement_high,energy_error_pct_median,energy_error_pct_low,energy_error_pct_high,acf_r2_median,acf_r2_low,acf_r2_high
deepseek-r1-distill-70b,DeepSeek-R1-Distill 70B,63,21,6.267782637255781,5.708645620891774,11.160555551265086,0.6215780998389694,0.4172185430463575,0.6547433903576982,2.74114781511594,1.1980768585249078,3.3987254389892443,0.99149933817714,0.7692160612584686,0.9962702641003301
deepseek-r1-distill-8b,DeepSeek-R1-Distill 8B,126,42,5.709819110983415,4.470443052657508,7.187438336960446,0.5706131363244176,0.5036433503368929,0.670539740779026,1.7787892463528652,1.0200743916720487,2.886353417052841,0.9944816710481363,0.9832304368207732,0.9963804511900409
gpt-oss-120b,GPT-OSS 120B,27,9,7.389029491287753,5.638204378195173,7.980173510837972,0.8,0.3476112026359144,0.9013157894736842,1.3033522736112917,0.3727926030937454,2.803527501020147,0.9475904663713222,0.9201904112243274,0.9823432124684466
gpt-oss-20b,GPT-OSS 20B,18,6,6.276714257271513,5.261313504892289,6.526164481629449,0.832187826768909,0.4078178822824622,0.9522465299171516,0.9757234711618048,0.2292014518489594,4.0803292985100335,0.962639683125013,0.9441055309811556,0.9755714399379414
llama-3-405b,Llama 3 405B,9,3,10.922871041421601,5.42233523805603,15.867552013010583,0.5681444991789819,0.5305466237942122,0.6194398682042834,1.9157805861862207,1.781778787413682,3.5553341121662148,0.9822283267284837,0.8827438985508129,0.9974546012393202
llama-3-70b,Llama 3 70B,36,12,6.746589551172418,4.636821340887024,11.806395054037573,0.4282285185235612,0.29845798931558876,0.6719445061591252,2.6703132981912665,1.4690285139411983,3.7210306155920376,0.9822153009287804,-0.37303683355704176,0.9977778652811423
llama-3-8b,Llama 3 8B,54,18,4.2115812758467985,3.5412316950531904,6.569754853561726,0.5984458428680397,0.5039131226111752,0.7484544742765797,1.399773575879255,0.6648326736904394,2.386106149689053,0.9949170693263218,0.9904431428849421,0.9972753202409661
