timestamp,query.start,query.end,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu
2026/07/24 16:28:59.530,2026/07/24 16:28:59.517,2026/07/24 16:28:59.543,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,88.97,1410,1593,0,0,73511,42
2026/07/24 16:28:59.530,2026/07/24 16:28:59.517,2026/07/24 16:28:59.543,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:28:59.782,2026/07/24 16:28:59.767,2026/07/24 16:28:59.797,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,88.97,1410,1593,0,0,73511,42
2026/07/24 16:28:59.782,2026/07/24 16:28:59.767,2026/07/24 16:28:59.797,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.14,1410,1593,0,0,73511,35
2026/07/24 16:29:00.032,2026/07/24 16:29:00.017,2026/07/24 16:29:00.047,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,88.97,1410,1593,0,0,73511,42
2026/07/24 16:29:00.032,2026/07/24 16:29:00.017,2026/07/24 16:29:00.047,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.86,1410,1593,0,0,73511,35
2026/07/24 16:29:00.282,2026/07/24 16:29:00.267,2026/07/24 16:29:00.297,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,89.06,1410,1593,0,0,73511,42
2026/07/24 16:29:00.282,2026/07/24 16:29:00.267,2026/07/24 16:29:00.297,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,82.86,1410,1593,0,0,73511,35
2026/07/24 16:29:00.529,2026/07/24 16:29:00.517,2026/07/24 16:29:00.541,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,88.97,1410,1593,0,0,73511,42
2026/07/24 16:29:00.529,2026/07/24 16:29:00.517,2026/07/24 16:29:00.541,1,GPU-713d5b24-2a1e-fd4a-7685-c3d195ff9230,83.46,1410,1593,0,0,73511,35
